"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
486459,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","Hardcoded timeout in BluetoothLE calls to gatttool","2016-01-25 05:35:38"
488158,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","org.eclipse.kura.example.ble.tisensortag sample  not working","2016-02-22 17:28:59"
519283,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","Kura plugin(DP) remote installation is not working on actual device (Raspberry Pi-2)","2017-07-06 04:39:42"
529220,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","!MESSAGE Could not bind a reference of component","2018-01-02 02:02:22"
534805,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---",,"2018-05-17 06:40:59"
537848,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","getting error while setting up eclipse kura environment","2018-08-10 05:06:33"
543879,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","unvalid user name and passward accepted","2019-01-28 01:56:46"
549561,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","site engineer core network ericsson","2019-07-25 08:11:05"
506614,"Kura","Core","kura.core-inbox","NEW"," ---","[Website]Typo in sub-menu ""Kura Documenation""","2016-10-27 07:44:23"
506615,"Kura","Core","kura.core-inbox","NEW"," ---","[website] Broken image link in header demo","2016-10-27 07:48:00"
497274,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Missing Constraint: Import-Package: javax.microedition.io","2016-07-05 13:52:33"
510249,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Eclipse Kura uses a vulnerable version of Apache Commons Fileupload","2019-03-27 06:16:24"
514681,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","CVE-2017-7649: Remote code execution vulnerability over IPv6","2019-04-09 03:41:10"
545832,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Guava CVE-2018-10237","2019-04-09 03:42:50"
545833,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Possible path injection attack in skinServlet","2019-04-09 10:34:25"
545834,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Jetty version reported in Server Reply","2019-04-09 11:56:52"
545835,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Possible XXE attacks to XML parsers","2019-04-09 10:34:18"
545836,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Kura uses Apache FileUpload version 1.3.2","2019-04-09 03:42:18"
497746,"Kura","Core","kura.core-inbox","CLOSED","MOVED","Assign different name to ""extended"" packages","2016-07-12 09:13:51"
497749,"Kura","Core","kura.core-inbox","CLOSED","MOVED","Kura Debian package should declare dependency on java","2016-07-12 09:12:49"
497751,"Kura","Core","kura.core-inbox","CLOSED","MOVED","The Kura documentation should mention the default login credentials admin/admin","2016-07-12 09:11:40"
497752,"Kura","Core","kura.core-inbox","CLOSED","MOVED","The Camel Quickstart example is not working","2016-07-12 09:10:15"
524618,"Kura","Core","kura.core-inbox","CLOSED","INVALID","HD~Movies! Watch Kingsman: The Golden Circle 2017 oNline Free Streaming","2017-09-26 01:58:15"
531623,"Kura","Core","kura.core-inbox","CLOSED","INVALID","Support SCR/Declarative Services 1.3+","2018-02-26 12:58:10"
