"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
494564,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Code formatting fails at formatting some tables","2016-05-25 11:33:48"
532247,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","parser failure using shorthand method calls using colon","2018-03-09 10:11:41"
533151,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Member functions do not show in Outline View(including Ctrl + O)","2018-04-03 10:53:48"
537517,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Failed start, ""Could not install bundle"". Fresh download of Stable 1.4.1 64-bit Windows. Windows Build 1803","2018-08-12 23:28:36"
546200,"LDT","Metalua","ldt-inbox","UNCONFIRMED"," ---","Global functions  not in IScriptModel when referenced before they are declared","2019-04-08 09:38:57"
546599,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","LDT won't open","2019-04-20 15:49:51"
559347,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Tilde character combo (Alt Gr + 4 , then space) no longer works in LDT 1.4.2","2020-01-21 00:20:38"
563760,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","LDT Compatibility with Eclipse 2020-03","2020-05-30 13:53:08"
495162,"LDT","LuaDevelopmentTools","ldt-inbox","NEW"," ---","Fix build version of commons IO to 2.2","2016-06-01 09:31:09"
495642,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","INVALID","Unable to install Lua Plugin is Eclipse Kepler","2017-06-01 11:29:17"
500236,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","Download not available","2016-08-25 09:28:55"
500361,"LDT","General","ldt-inbox","RESOLVED","WONTFIX","[auto-complete] Completion after a function call doesn't work if the function is global and defined after the function call","2017-06-01 12:29:08"
509214,"LDT","General","ldt-inbox","RESOLVED","WONTFIX","Missing product IUs in milestone repository","2017-06-01 11:38:53"
516328,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","(CTRL + LBMouse) inside ```for (a,b,c) do``` not work","2017-06-02 08:31:36"
540744,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","32 bit download of ldt 1.4.1 stable release is unavailable !!","2018-11-05 08:12:42"
501097,"LDT","General","ldt-inbox","VERIFIED","FIXED","Bounced email for Marc Aubry","2016-09-09 09:35:14"
487924,"LDT","LuaDevelopmentTools","ldt-inbox","CLOSED","INVALID","No ouput in console after opening file in lua editor","2016-02-19 03:05:22"
540742,"LDT","LuaDevelopmentTools","ldt-inbox","CLOSED","DUPLICATE","32 bit of stable re","2018-11-04 02:20:56"
540743,"LDT","LuaDevelopmentTools","ldt-inbox","CLOSED","DUPLICATE","32 bit of stable release version is um","2018-11-04 02:21:21"
546598,"LDT","LuaDevelopmentTools","ldt-inbox","CLOSED","DUPLICATE","LDT won't open","2019-04-20 15:49:51"
562294,"LDT","LuaDevelopmentTools","ldt-inbox","CLOSED","FIXED","LDT and Lua 5.4 Release","2020-04-22 00:53:20"
