"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
370156,"Libra","OSGi Facet","kaloyan","NEW"," ---","NPE when moving persistence.xml","2014-05-14 08:59:57"
373309,"Libra","Editors","libra.editors-inbox","NEW"," ---","Unhandled event loop exception when refreshing Bundle Overview page of the Virgo server editor","2012-03-05 21:24:25"
373998,"Libra","Launchers","libra.launchers-inbox","NEW"," ---","[build] Hard version dependency on WST","2012-03-15 12:41:56"
375257,"Libra","Launchers","libra.launchers-inbox","NEW"," ---","StackOverflow Exception when Require-Bundle is used","2012-03-26 17:04:44"
379219,"Libra","Launchers","libra.launchers-inbox","NEW"," ---","Can not publish  my bundle on equinox","2012-05-25 08:25:13"
430630,"Libra","Launchers","libra.launchers-inbox","NEW"," ---","Circular dependencies","2014-03-18 16:11:10"
384298,"Libra","OSGi Facet","libra.osgifacet-inbox","NEW"," ---","Cannot create web application bundle with dynamic web module version 3.0","2012-07-09 14:49:41"
368776,"Libra","WAR Products","libra.warproducts-inbox","NEW"," ---","Consider adding -consolelog parameter in web.xml","2012-01-17 08:51:31"
378324,"Libra","WAR Products","libra.warproducts-inbox","NEW"," ---","WAR Product export doesnt pack META-INF folder","2012-05-14 14:18:58"
382267,"Libra","WAR Products","libra.warproducts-inbox","NEW"," ---","[WAR Product] Improvement with 3 bugs (cycle+ ban org.eclipse.jetty+  3 types of launches in workspace)","2014-01-28 02:24:02"
382600,"Libra","WAR Products","libra.warproducts-inbox","NEW"," ---","[WAR Product] WAR Product should embed the ServletBridge JARs+Plug-In to export WAR from OSGi launches (not RAP).","2012-06-14 05:07:01"
382602,"Libra","WAR Products","libra.warproducts-inbox","NEW"," ---","[WAR Product] Manage Start-Level+Auto-Start in the WAR Product","2012-06-14 05:11:29"
398879,"Libra","WAR Products","libra.warproducts-inbox","NEW"," ---","NPE when exporting the war","2013-01-23 08:49:52"
400867,"Libra","WAR Products","hannes","ASSIGNED"," ---","Add option to include the bundles required for '-console'","2016-10-21 20:28:41"
381816,"Libra","General","kaloyan","RESOLVED","FIXED","Bundles without about.html files","2012-06-06 08:53:24"
370800,"Libra","OSGi Facet","Dimo.Stoilov","RESOLVED","FIXED","""Bundle-RequiredExecutionEnvironment"" header is not set in manifest when installing OSGI bundle facet.","2012-02-13 02:27:52"
377582,"Libra","Editors","kaloyan","RESOLVED","FIXED","Assertion failed when selecting bundle in overview","2012-05-15 14:31:08"
395789,"Libra","OSGi Facet","kaloyan","RESOLVED","FIXED","Installing OSGi facet overwrites existing headers in the manifest","2012-12-14 02:33:32"
434843,"Libra","General","kaloyan","RESOLVED","FIXED","Use shared CBI license feature","2014-05-14 11:05:48"
373308,"Libra","Editors","libra.editors-inbox","RESOLVED","DUPLICATE","Errors when selecting Bundles from the Bundle Overview page of the Virgo server editor","2012-05-11 14:27:46"
384306,"Libra","Editors","libra.editors-inbox","RESOLVED","WORKSFORME","MBean not found: osgi.core:type=bundleState,version 1.5","2016-10-21 21:16:18"
378790,"Libra","General","libra.general-inbox","RESOLVED","FIXED","Backporting Frameworks and Editors to Indigo Branch","2012-05-11 16:13:17"
389855,"Libra","General","libra.general-inbox","RESOLVED","WORKSFORME","Missing bundles in update site for OSGi features","2019-09-30 09:11:53"
425811,"Libra","General","libra.general-inbox","RESOLVED","WORKSFORME","Move Libra HTTPS repos to Gerrit","2014-02-18 15:00:50"
434373,"Libra","General","libra.general-inbox","RESOLVED","INVALID","The Libra project hasn't done a release review","2014-05-12 16:00:46"
476318,"Libra","General","libra.general-inbox","RESOLVED","FIXED","Migrate or remove Hudson jobs on the shared instance","2016-10-21 20:33:36"
384304,"Libra","Launchers","libra.launchers-inbox","RESOLVED","DUPLICATE","Could not find bundle: org.eclipse.equinox.console","2016-10-21 20:27:39"
372945,"Libra","WAR Products","libra.warproducts-inbox","RESOLVED","WONTFIX","Exporting Eclipse RAP war with OSGi bundles with external bundle-path","2016-10-21 21:09:11"
398780,"Libra","WAR Products","libra.warproducts-inbox","RESOLVED","FIXED","Remove dependency to servletbridge.extensionbundle","2013-05-31 14:43:02"
400866,"Libra","WAR Products","libra.warproducts-inbox","RESOLVED","WONTFIX","War Product export misses plug-ins required by RAP 2.0","2016-10-21 21:21:18"
402651,"Libra","WAR Products","libra.warproducts-inbox","RESOLVED","FIXED","Remove ""-ws=rap"" from web.xml","2013-05-07 05:36:05"
434837,"Libra","WAR Products","libra.warproducts-inbox","RESOLVED","FIXED","WARProduct does not implement inherited abstract methods from IProduct","2016-10-21 21:15:00"
467011,"Libra","WAR Products","libra.warproducts-inbox","RESOLVED","FIXED","WAR Product Export does not report compile errors found during the export","2016-09-12 03:26:56"
467416,"Libra","WAR Products","libra.warproducts-inbox","RESOLVED","FIXED","NullPointerException at WARProductValidateAction.validateErrors() [WITH PATCH]","2016-09-12 03:26:03"
373305,"Libra","Editors","milesparker","RESOLVED","FIXED","Unhandled event loop exception when refreshing Bundle Dependency graph in Virgo server editor","2012-05-14 12:45:33"
378210,"Libra","Launchers","naci.dai","RESOLVED","FIXED","JMX Console Parameters","2012-05-16 11:17:21"
407742,"Libra","Launchers","kaloyan","VERIFIED","FIXED","Inapproprite provider name in many libra features","2013-05-30 13:29:42"
381847,"Libra","General","emo","CLOSED","DUPLICATE","Missing about files in Libra bundles","2012-06-06 08:53:24"
404773,"Libra","Launchers","libra.launchers-inbox","CLOSED","INVALID","sadtgdfhyd","2013-04-03 05:39:54"
370937,"Libra","OSGi Facet","libra.osgifacet-inbox","CLOSED","DUPLICATE","failed to install OSGI bundle facet on non-java project","2012-02-08 10:22:25"
383812,"Libra","WAR Products","libra.warproducts-inbox","CLOSED","DUPLICATE","Include jboss-web.xml in WAR","2016-10-21 20:40:16"
