"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
418869,"Linux Tools","RPM","akurtakov","NEW"," ---","RPM build error when multiple spec files in same project","2019-09-11 12:55:28"
418870,"Linux Tools","RPM","akurtakov","NEW"," ---","Specfile structure viewer does not display packages/sub-packages structure nodes","2019-09-10 07:09:57"
418873,"Linux Tools","RPM","akurtakov","NEW"," ---","handle RPM builds correctly when trying to download from invalid URL","2019-09-10 18:45:14"
428302,"Linux Tools","RPM","akurtakov","NEW"," ---","""update RPM packages proposal list"" runs forever","2020-10-26 09:36:10"
454176,"Linux Tools","RPM","akurtakov","NEW"," ---","StackOverflowError in UiUtils.resolveDefines","2020-11-05 07:29:23"
411065,"Linux Tools","perf","cabernal","NEW"," ---","Perf views should handle being launched as part of a 'Launch Group' properly.","2019-07-24 10:28:02"
462640,"Linux Tools","GCov","cdt-core-inbox","NEW"," ---","Mutliple gcov runs trigger error ""Missing function or duplicate counter tag""","2019-06-07 17:19:23"
402703,"Linux Tools","Libhover","cdt-doc-inbox","NEW"," ---","No STL documentation for code completion popup window.","2014-03-24 22:40:18"
377724,"Linux Tools","Valgrind","ebaron","NEW"," ---","Open callgrind files in post-mortem mode","2013-07-12 13:57:41"
399310,"Linux Tools","Valgrind","ebaron","NEW"," ---","Valgrind: allow users to select unvalid options combination","2019-01-10 16:37:35"
447561,"Linux Tools","Libhover","jjohnstn","NEW"," ---","Add context sensitive help URL","2014-10-16 09:19:46"
471669,"Linux Tools","Docker","jjohnstn","NEW"," ---","read a ~/.docker/.dockerconfig file from $USER_HOME","2020-04-03 09:05:08"
472970,"Linux Tools","GProf","jjohnstn","NEW"," ---","[test] GProf test plugin packages binary test resources","2019-07-02 08:40:29"
475325,"Linux Tools","Docker","jjohnstn","NEW"," ---","Docker tooling: Not able to pull an image from a private registry","2019-05-17 05:16:55"
476768,"Linux Tools","Docker","jjohnstn","NEW"," ---","Possible but often occurring lockup when having multiple docker connections","2020-05-12 14:03:33"
477192,"Linux Tools","Docker","jjohnstn","NEW"," ---","Search images window improvements","2015-09-21 16:38:20"
477837,"Linux Tools","GProf","jjohnstn","NEW"," ---","GProf view apparently (on my system) defaults to white text on a white background","2019-08-30 07:29:57"
481026,"Linux Tools","GCov","jjohnstn","NEW"," ---","GCov Relative Sources","2015-11-02 11:07:23"
