"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
517855,"Lyo","Core","lyo.core-inbox","NEW"," ---","OSLC resources with recursive loops cannot be persisted in a triplestore","2018-05-29 16:32:15"
494300,"Lyo","Core","andriib","NEW"," ---","Generator: creation & selection dialogs code broken","2017-11-06 12:52:58"
512776,"Lyo","docs","andriib","NEW"," ---","Stock Bugzilla adaptor points to the wrong Bugzilla Landfill installation","2017-11-06 12:52:47"
512777,"Lyo","docs","andriib","NEW"," ---","Stock Bugzilla adaptor fails authentication using correct credentials","2017-11-06 12:52:48"
515016,"Lyo","docs","andriib","NEW"," ---","Replace Archives link on the website","2017-04-10 06:02:21"
515261,"Lyo","Tools","andriib","NEW"," ---","Add library to automate triplestore synchronisation for the fat OSLC Server","2017-11-06 12:53:29"
518519,"Lyo","Tools","andriib","NEW"," ---","Generator shall use generic collection types","2017-06-20 10:32:44"
518935,"Lyo","Tools","andriib","NEW"," ---","Move MyResource.*html methods into another class MyResourceRenderer","2017-06-29 05:19:49"
526151,"Lyo","Tools","andriib","NEW"," ---","The toolchain tree cannot be expanded if a specification is present","2018-02-15 14:34:14"
531982,"Lyo","Core","andriib","NEW"," ---","Allow returning a Model","2018-03-04 17:20:54"
533284,"Lyo","Tools","andriib","NEW"," ---","JSON is assembled by hand in JSP pages","2018-04-07 15:47:58"
495311,"Lyo","Core","christian.ekholm","NEW"," ---","EMF2OSLC for code generator","2017-11-06 12:52:54"
512775,"Lyo","Tools","jad","NEW"," ---","Copyright headers should not have lines with keywords TODO, BUG, FIXME etc.","2017-11-06 12:52:46"
513530,"Lyo","Tools","jad","NEW"," ---","AdaptorManager cannot return an immutable list of Resources","2017-03-12 13:03:41"
513531,"Lyo","Tools","jad","NEW"," ---","Make constructServiceProviderURI method public","2017-03-12 13:21:08"
514348,"Lyo","Tools","jad","NEW"," ---","License of the generated code","2017-03-29 07:47:49"
514638,"Lyo","Tools","jad","NEW"," ---","Do not hotlink to the Landfill resources","2017-04-03 08:31:44"
514655,"Lyo","Tools","jad","NEW"," ---","DUI JSON data is not escaped","2017-04-03 12:37:03"
514656,"Lyo","Tools","jad","NEW"," ---","Align tools versioning with the rest of the project","2017-04-10 07:44:08"
515252,"Lyo","Tools","jad","NEW"," ---","Add prefix/suffix to the resource class names","2017-11-06 12:53:30"
521222,"Lyo","Tools","jad","NEW"," ---","Generator: generate code per-adaptor","2017-11-06 12:54:09"
521223,"Lyo","Tools","jad","NEW"," ---","Generator: Handling adapters that expose resources from several domain specification","2017-11-06 12:54:10"
525498,"Lyo","Tools","jad","NEW"," ---","Need more flexible ways of setting the server's base URI","2017-11-06 12:14:45"
526712,"Lyo","Tools","jad","NEW"," ---","Modify help expressions of the elements in Vocabulary Diagram.","2017-11-06 12:43:50"
527166,"Lyo","Tools","jad","NEW"," ---","Make sure all Java code in Lyo Designer is under org.eclipse.lyo package","2017-11-12 13:32:53"
527408,"Lyo","Tools","jad","NEW"," ---","2 different conflicting configurations of code generator","2017-11-30 17:09:41"
530253,"Lyo","Tools","jad","NEW"," ---","Introduce some kind of Scala's Either class support","2018-01-24 10:46:21"
531187,"Lyo","Tools","jad","NEW"," ---","generated JavaScript files (.js) have the wrong comment style","2018-02-15 04:48:07"
531206,"Lyo","Tools","jad","NEW"," ---","jsp page that lists resources no longer lists the resources","2018-02-15 11:20:13"
531223,"Lyo","Tools","jad","NEW"," ---","generated adaptor.css file has wrong comment style","2018-02-15 13:51:04"
531312,"Lyo","Tools","jad","NEW"," ---","Clean up the old p2 folders","2018-02-17 17:28:58"
532671,"Lyo","Tools","jad","NEW"," ---","Lyo Designer should externalize strings to support translations","2018-03-21 07:36:18"
532673,"Lyo","Tools","jad","NEW"," ---","Need more flexible means of specifying baseurl","2018-03-21 15:04:04"
533313,"Lyo","Tools","jad","NEW"," ---","index.jsp is missing includes","2018-04-06 11:29:48"
535059,"Lyo","Tools","jad","NEW"," ---","method ordering keeps changing in generated Manager and Factory classes","2018-05-26 06:05:19"
535291,"Lyo","Tools","jad","NEW"," ---","Code generator should consider refactoring the *manager.java class into separate classes.","2018-05-29 12:55:40"
535352,"Lyo","Tools","jad","NEW"," ---","Migrate the domain models from the tools repo to github/lyo.domains repo","2018-06-05 10:36:09"
535647,"Lyo","Tools","jad","NEW"," ---","Deleting a reference property allocated to a resource, wrongly deletes the property itself","2018-06-07 08:16:13"
518792,"Lyo","Core","jamsden","NEW"," ---","Align folder names with maven artifactId","2018-08-08 16:23:54"
519253,"Lyo","Client","jamsden","NEW"," ---","Update httpclient and junit dependencies","2017-07-05 13:53:39"
527089,"Lyo","RIO","jamsden","NEW"," ---","Update TRS API, RIO and Sample for OSLC4J 2.2.0","2017-11-09 16:13:46"
491341,"Lyo","Client","lyo.client-inbox","NEW"," ---","Provide a sample delegated dialog client","2017-11-06 12:52:53"
497414,"Lyo","Client","lyo.client-inbox","NEW"," ---","Could not find artifact net.oauth.core:oauth-httpclient4:jar:20090617","2017-11-06 12:52:56"
507048,"Lyo","Client","lyo.client-inbox","NEW"," ---","Updating a resource fails with HTTP 405 ""Method not allowed""","2017-11-06 12:42:00"
508182,"Lyo","Client","lyo.client-inbox","NEW"," ---","License token is never released on DOORS 9.6.1.4","2017-11-06 12:43:37"
