"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
442575,"M2T","Core","m2t.core-inbox","NEW"," ---","BPMN2 Call Activity is not working as expected","2014-08-26 08:24:48"
400200,"M2T","Shared","m2t.shared-inbox","NEW"," ---","[Xtend]The Finish button should be disabled when creating Xtend/Check file without selecting parent folder","2013-02-07 06:41:40"
396670,"M2T","Website","nboldt","NEW"," ---","Site is not updated","2012-12-15 17:44:21"
395445,"M2T","Website","webmaster","NEW"," ---","Links to update sites are broken","2012-12-30 14:08:27"
461364,"M2T","Xpand","m2t.xpand-inbox","RESOLVED","FIXED","RE in FileSystemResourceManager.read (795)","2018-10-05 04:42:40"
463753,"M2T","Xpand","m2t.xpand-inbox","RESOLVED","WONTFIX","PE in ParseFacade$3.handleError (96)","2018-10-05 04:43:19"
465260,"M2T","Xpand","m2t.xpand-inbox","RESOLVED","WONTFIX","NPE in BackendBuilder.build (115)","2018-10-05 04:45:31"
468910,"M2T","Xpand","m2t.xpand-inbox","RESOLVED","WONTFIX","JavaModelException in JavaElement.newJavaModelException (544)","2018-10-05 04:46:36"
470020,"M2T","Xpand","m2t.xpand-inbox","RESOLVED","WONTFIX","ResourceException in Resource.checkExists (334)","2018-10-05 04:47:00"
425483,"M2T","Xpand","bork","CLOSED","FIXED","[typesystem.uml2] Resolving EClassTypes for Classifiers defined in UML Profiles fails","2017-10-31 10:58:53"
425484,"M2T","Xpand","bork","CLOSED","WONTFIX","Extend Xpand's API to support UML Lab's Round-Trip-Engineering","2020-04-30 13:54:13"
410475,"M2T","Xpand","darius.jockel","CLOSED","FIXED","[Content Assist] No assist on Check import section","2017-10-31 10:58:10"
420395,"M2T","Xpand","darius.jockel","CLOSED","WONTFIX","Remove @since tags inherited from oAW","2020-04-30 13:53:58"
419847,"M2T","Xpand","dennis.huebner","CLOSED","WONTFIX","Xpand documentation not available on help.eclipse.org","2020-04-30 13:54:28"
422689,"M2T","Xpand","dennis.huebner","CLOSED","FIXED","xpand runtime package doesn't contain xpand","2017-10-31 11:16:28"
370549,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Cast shows error if one instance is of Type ecore::EObject","2013-02-21 08:13:49"
374876,"M2T","Xpand","karsten.thoms","CLOSED","WONTFIX","org.eclipse.xpand.incremental and emf.compare 2.0","2020-04-30 14:12:06"
385174,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","UML Typesystem produces ""Couldn't find operation '...' for 'java::lang::String'"" on UML2 4.0","2017-10-31 11:26:36"
385587,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Reduce memory footprint of class Identifier","2017-10-31 11:18:33"
385663,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Reduce memory footprint of XpandExecutionContextImpl","2017-10-31 11:25:19"
385730,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[stdlib] AbstractStatefulExtension looks suspicious to me","2017-10-31 11:25:54"
386253,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","error message 'Couldn't find property xxx for inner type Void' displays erroneously","2017-10-31 11:31:21"
388232,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","UML Profile Metaclass extension not work since eclipse juno","2017-10-31 11:30:38"
388373,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Calling typeSelect() fails for MultipleStereotypeType instances","2017-10-31 10:57:47"
388751,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","XtendXpandBuilder performance improvements","2017-10-31 11:26:28"
390009,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","ResourceID#hashCode","2017-10-31 10:58:31"
390087,"M2T","Xpand","karsten.thoms","CLOSED","DUPLICATE","CppBeautifer does not find DefaultCodeFormatterOptions","2013-05-21 03:38:37"
394564,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[Typesystem] Reduce memory footprint of BuiltinMetaModel","2017-10-31 11:25:09"
395258,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Replace empty arrays in AST elements by constants","2017-10-31 10:59:22"
395422,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Project Wizard: MWE2, Encoding etc.","2017-10-31 10:58:41"
395600,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[XtendXpandBuilder] Improve feedback in progress view","2017-10-31 11:17:05"
395690,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Add AdapterFactory for Xpand resources, make IXtendXpandProject/Resource adaptable","2017-10-31 10:59:44"
395727,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[TypesystemImpl] Caching getAllTypes/getNamespaces, avoid garbage","2017-10-31 10:59:34"
399045,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[Check] if statement not correctly highlighted","2017-10-31 10:59:55"
400224,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","ERROR Statement should use logger instead of System.err","2017-10-31 11:25:42"
400672,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","The XMLBeautifers lineSeparator feature is misspelled","2017-10-31 11:18:53"
400675,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","XtendXpandProject.findCachedXtendXpandResource is O(n^2)","2017-10-31 11:30:44"
401053,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Xpand project wizard fails when Xtext is not installed","2017-10-31 10:58:40"
401097,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Remove Xpand/XtendLocationAddingParser","2017-10-31 11:24:26"
401144,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","The type system performance can be improved by avoiding expensive regular expressions","2017-10-31 10:59:45"
401167,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Ambiguous Definitions Marker creation on wrong resource","2017-10-31 11:26:40"
401282,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Xpand/Xtend Parser performance improvements","2017-10-31 11:24:48"
401505,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Inefficient Algorithm for checkAmbiguousDefinitions","2017-10-31 11:25:55"
401681,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","JDTUtil: use String#replace instead of regexp replacement","2017-10-31 11:23:51"
402003,"M2T","Xpand","karsten.thoms","CLOSED","DUPLICATE","ClassCastException during build.","2013-05-06 06:46:53"
402092,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[deps] use import-package for guava dependencies","2017-10-31 10:58:04"
405010,"M2T","Xpand","karsten.thoms","CLOSED","WONTFIX","[xpand.ui] Restore Defaults button in Syntax Coloring preference page does not work correctly","2020-04-30 13:54:22"
405165,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Cache for NullResource not correctly working","2017-10-31 10:58:32"
405769,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","New line suppression after ENDREM","2017-10-31 11:26:19"
406630,"M2T","Xpand","karsten.thoms","CLOSED","WONTFIX","Move ResourceID to non-ui plugin","2020-04-30 13:54:51"
406653,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Open components (Xtend, Xpand and Check) API for subclassing","2017-10-31 10:59:35"
406765,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Missed support for java.lang.Object[] cause ClassCastException","2017-10-31 10:58:01"
407101,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Wrong usage of delimiter in QualifiedName.create(String, String) when delimiter is longer than one character","2017-10-31 11:18:59"
407934,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[Content Assist] Builder registers only first resource of Jar","2017-10-31 11:26:30"
409883,"M2T","Xpand","karsten.thoms","CLOSED","WORKSFORME","Bad coding in documentation","2017-10-31 10:57:47"
411937,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","XpandPluginExecutionContext doesn't clone reusable caches","2017-10-31 11:26:17"
414545,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[typesystem] Inconsistency between EMFRegistryMetamodel and JavaBeansMetamodel","2017-10-31 11:24:10"
415128,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[typesystem] BuiltinMetaModel cache very slow for large collections","2017-10-31 11:17:19"
415664,"M2T","Xpand","karsten.thoms","CLOSED","WONTFIX","Builder Job refactoring","2020-04-30 13:53:56"
415881,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","[ui] Decorator must filter for objectClass IProject","2017-10-31 11:26:58"
416427,"M2T","Xpand","karsten.thoms","CLOSED","WONTFIX","Xpand 2.0","2020-04-30 13:54:28"
416887,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","The return type of stdlib.io extensions should not be explicitly defined","2017-10-31 11:17:11"
417896,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Performance of org.eclipse.internal.xtend.util.Cache can be improved","2017-10-31 10:58:07"
418104,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Remove ProfileCollector","2017-10-31 11:24:51"
418105,"M2T","Xpand","karsten.thoms","CLOSED","WONTFIX","Remove deprecated features","2020-04-30 13:54:02"
418154,"M2T","Xpand","karsten.thoms","CLOSED","FIXED","Performance of org.eclipse.xtend.typesystem.AbstractTypeImpl.operationsCache can be improved","2017-10-31 10:57:21"
