"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
520873,"MDMBL","General","mdmbl-inbox","NEW"," ---","Refine Jenkins build","2017-11-23 02:03:52"
522452,"MDMBL","General","mdmbl-inbox","NEW"," ---","Add TypeScript analysis to SonarQube","2017-11-23 02:03:32"
526804,"MDMBL","General","mdmbl-inbox","NEW"," ---","Loading errors of certain EntityTypes due to misusage should report correct usage and explanation","2018-10-02 03:06:45"
518124,"MDMBL","General","a.nehmer","CLOSED","FIXED","Configure JIPP and Sonar for mdmbl projects","2018-10-16 06:01:56"
518335,"MDMBL","General","a.nehmer","CLOSED","FIXED","Set executable flag for gradlew in git repo","2018-10-16 06:00:03"
518823,"MDMBL","General","a.nehmer","CLOSED","FIXED","[REQU-91] Context Information","2018-10-16 06:14:24"
519453,"MDMBL","General","a.nehmer","CLOSED","WORKSFORME","org.eclipse.mdm.openatfx build can't download dependency","2020-05-29 04:27:31"
519993,"MDMBL","General","a.nehmer","CLOSED","FIXED","Create Gradle composite build","2018-10-16 05:59:27"
520248,"MDMBL","General","a.nehmer","CLOSED","FIXED","Build of org.eclipse.mdm.api.odsadapter only works with ""gradle clean install""","2018-10-16 05:56:10"
520330,"MDMBL","General","a.nehmer","CLOSED","FIXED","Improve development setup in Eclipse","2018-10-16 06:13:52"
526883,"MDMBL","General","a.nehmer","CLOSED","FIXED","[REQU-101] Make MDM business objects editable via openMDM5 RESTful API (CRUD operations)","2018-10-16 06:19:03"
506686,"MDMBL","General","angelika.wittek","CLOSED","FIXED","import issue for odsadapter and openatfx.mdf components","2018-10-16 06:09:51"
517286,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Deployment of org.eclipse.mdm.nuclues.war in application server fails","2017-09-11 03:37:18"
518060,"MDMBL","General","angelika.wittek","CLOSED","FIXED","ODSAdapter - junit tests fail","2018-10-16 06:11:38"
519215,"MDMBL","General","angelika.wittek","CLOSED","FIXED","[ORGA-181] deployable artifacts Version 0.6","2017-09-11 03:44:46"
519217,"MDMBL","General","angelika.wittek","CLOSED","FIXED","[ORGA-246] Setup Guide on mdmbl project page","2017-11-08 08:09:28"
519219,"MDMBL","General","angelika.wittek","CLOSED","FIXED","[ORGA-181] Update the mbmbl project page","2017-11-08 08:08:49"
519220,"MDMBL","General","angelika.wittek","CLOSED","FIXED","[ORGA-181]deployment guide for version 0.6","2018-10-16 06:06:23"
520297,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Fulltextsearch should support Elastic Search Version 7","2020-04-27 04:12:22"
522278,"MDMBL","General","angelika.wittek","CLOSED","FIXED","[REQU-98] Search Parameter Parser","2018-10-16 06:12:47"
526163,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Resolve unmet dependency error cause by ng2-dropdown-multiselect","2018-10-16 06:02:30"
526683,"MDMBL","General","angelika.wittek","CLOSED","WONTFIX","Error while deploying nucleus war file","2018-02-26 05:20:48"
527205,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Remove workarounds for Peak ODS Server in WriteRequestHandler.createCore","2020-02-05 04:17:28"
527673,"MDMBL","General","angelika.wittek","CLOSED","FIXED","ValueType.UNKNOWN.createValue() throws NPE due to ValueType.type not being set","2018-10-16 06:07:21"
528015,"MDMBL","General","angelika.wittek","CLOSED","WONTFIX","[REQU-101] (1): add REST-API for administrative business objects","2018-02-26 05:21:12"
528149,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Search tab in web UI should accept attribute values even if no suggestions are present","2018-10-16 06:19:47"
528193,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Autocomplete text box in search UI should accept custom values automatically","2018-10-16 06:03:42"
528260,"MDMBL","General","angelika.wittek","CLOSED","FIXED","ValueType.UNKNOWN should have Object rather than Void as representation type","2018-10-16 06:02:21"
528261,"MDMBL","General","angelika.wittek","CLOSED","FIXED","ODS EntityConfigRepository.find(EntityType) should throw IllegalArgumentException if requested entity type is not found","2018-10-16 06:00:25"
528262,"MDMBL","General","angelika.wittek","CLOSED","WONTFIX","ValueType.create(String, String, boolean, Object) is typed incorrectly","2018-10-16 05:58:39"
528478,"MDMBL","General","angelika.wittek","CLOSED","WORKSFORME","Feedback for V0.9","2018-07-23 06:33:47"
529050,"MDMBL","General","angelika.wittek","CLOSED","INVALID","openMDM5 v09 - not working with Elasticsearch","2018-10-16 06:10:10"
528033,"MDMBL","General","eclipse.99.ggh","CLOSED","FIXED","Web client does not quote entity IDs in filter strings","2018-10-16 06:05:57"
518821,"MDMBL","General","florian.schmitt","CLOSED","FIXED","[REQU-97] Change handling of ODS enumerations","2018-10-16 06:12:32"
519448,"MDMBL","General","florian.schmitt","CLOSED","FIXED","Build of of freetextindexer in org.eclipse.mdm.nucleus fails","2018-10-16 06:04:10"
519995,"MDMBL","General","florian.schmitt","CLOSED","FIXED","Setup Guide and avalon","2017-09-11 03:43:30"
521059,"MDMBL","General","florian.schmitt","CLOSED","WONTFIX","Data model xmls","2020-01-13 04:49:13"
521592,"MDMBL","General","florian.schmitt","CLOSED","FIXED","[REQU-74] Empty Interface","2018-10-16 06:04:01"
521665,"MDMBL","General","florian.schmitt","CLOSED","FIXED","[REQU-77] Name convention","2018-10-16 06:00:43"
521880,"MDMBL","General","florian.schmitt","CLOSED","FIXED","Component with empty FileLink can not be updated","2018-10-16 06:09:38"
525536,"MDMBL","General","florian.schmitt","CLOSED","FIXED","[REQU-50] Modelling of relations","2018-10-16 06:14:41"
525681,"MDMBL","General","florian.schmitt","CLOSED","DUPLICATE","Modelling of relations","2018-02-26 05:20:30"
525980,"MDMBL","General","florian.schmitt","CLOSED","FIXED","Remove version range in org.eclipse.mdm.api.base/build.gradle","2018-10-16 06:07:29"
526141,"MDMBL","General","florian.schmitt","CLOSED","FIXED","Remove version range in org.eclipse.mdm.api.odsadapter/build.gradle","2018-10-16 06:06:04"
526147,"MDMBL","General","florian.schmitt","CLOSED","FIXED","wrong logic in org.eclipse.mdm.api.default/src/main/java/org/eclipse/mdm/api/dflt/model/EntityFactory","2018-10-16 06:03:54"
526260,"MDMBL","General","florian.schmitt","CLOSED","FIXED","Writing enumeration values","2018-10-16 06:00:34"
526763,"MDMBL","General","florian.schmitt","CLOSED","FIXED","Issues in dynamic enumeration handling","2018-10-16 05:55:50"
526877,"MDMBL","General","florian.schmitt","CLOSED","WONTFIX","[REQU-46] Interface Entity","2017-11-27 04:07:57"
526879,"MDMBL","General","florian.schmitt","CLOSED","WONTFIX","[REQU-47] Management Entity State","2018-10-16 06:14:17"
526881,"MDMBL","General","florian.schmitt","CLOSED","FIXED","[REQU-75] Specifications","2018-10-16 06:17:08"
518063,"MDMBL","General","ganesh.deshvini","CLOSED","FIXED","Nucleus: config-dir is missing in the build artefact mdm-web.zip","2018-10-16 06:05:43"
