"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
383956,"MDT.RMF","Other","eclipse","NEW"," ---","Cleanup all warnings","2015-08-11 04:44:02"
417155,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","[New Feature] RMF should support reading and writing excel","2015-09-02 04:21:58"
420591,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","[New Feature] RMF should support HTML character entities","2015-08-10 05:47:27"
428392,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","Provide Feature for JDT User Library with RMF core on the classpath.","2015-08-11 05:16:03"
447061,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","ReqIF10Util.getAttributeForValue triggers containment change in default value in createAttributeValue","2014-10-14 07:14:29"
451526,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","Feature: XML deserializer should allow for namespace defaulting","2014-11-14 06:45:34"
461622,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","Cleanup ReqIF identifier handling","2015-03-06 16:08:48"
467458,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","Ensure TITLE tag always gets written","2015-05-17 06:25:05"
468333,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","Cleanup RMF Features, update site, working sets and bugzilla","2015-08-11 05:48:44"
477919,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","Do not change the prefix of namespaces","2015-09-21 05:08:50"
496865,"MDT.RMF","Reqif-1.0","eclipse","NEW"," ---","Publish ReqIf projects to Eclipse Maven repository","2016-09-14 11:09:06"
392293,"MDT.RMF","ProR","iw","NEW"," ---","Print the whole ReqIF Model (with links), not just a Specification","2015-12-19 07:06:40"
397001,"MDT.RMF","ProR","iw","NEW"," ---","Datatype of Requirement Atribute is not set in Datatype Configuration Dialog","2015-12-19 07:04:51"
421310,"MDT.RMF","Reqif-1.0","iw","NEW"," ---","RMF should check all constraints mentioned in the ReqIF spec","2015-11-10 08:59:03"
388421,"MDT.RMF","Other","lukas.ladenberger","NEW"," ---","Feature: Create script to bump version numbers for release","2012-08-30 07:35:10"
414183,"MDT.RMF","Other","lukas.ladenberger","NEW"," ---","Consider using JUnitBenchmarks for benchmark testing","2015-08-11 04:53:10"
474703,"MDT.RMF","Other","lukas.ladenberger","NEW"," ---","Consider harmonization of RMF git branches with structure typically used","2015-08-11 07:43:36"
474706,"MDT.RMF","Other","lukas.ladenberger","NEW"," ---","Remove obsolete CQs from IPLog","2015-08-11 08:55:07"
388118,"MDT.RMF","ProR","michael","NEW"," ---","When selecting a link the specification editor, the corresponding row header is not selected","2012-10-18 03:29:40"
409249,"MDT.RMF","ProR","michael","NEW"," ---","NPE from virtual node in some circumstances","2013-05-28 04:17:25"
451473,"MDT.RMF","ProR","michael","NEW"," ---","Agile Grid Header Row Height wrong, depending on Screen Scale","2017-12-29 13:12:48"
451531,"MDT.RMF","ProR","michael","NEW"," ---","Deleting reqif files causes either NOP or NPE under certain circumstances","2014-11-14 07:23:59"
466445,"MDT.RMF","ProR","michael","NEW"," ---","Search for very long documents does not work","2015-05-05 10:30:06"
466907,"MDT.RMF","ProR","michael","NEW"," ---","Feature: Rendering of Links / SpecRelations in the agile grid","2015-05-17 06:32:18"
469625,"MDT.RMF","ProR","michael","NEW"," ---","Improvements to the search box","2015-06-09 13:00:33"
469755,"MDT.RMF","Documentation","michael","NEW"," ---","Look for ways to integrate the new Cheat Sheet with our Latex-based documentation","2015-06-09 12:51:40"
472725,"MDT.RMF","Reqif-1.0","michael","NEW"," ---","Feature 'targetStatus' not found","2015-08-05 11:16:40"
480377,"MDT.RMF","ProR","michael","NEW"," ---","NPE when opening search dialog","2015-10-22 04:04:44"
481630,"MDT.RMF","ProR","michael","NEW"," ---","exception  in creation of a new Presentation Plug-In for ProR","2015-11-06 17:54:05"
493889,"MDT.RMF","ProR","michael","NEW"," ---","Eclipse hangs when dragging an attribute in the Datatype Configuration","2016-05-18 08:42:03"
366036,"MDT.RMF","Reqif-1.0","rmf.reqif10-inbox","NEW"," ---","Source code of ReqIF core contains names and comments that refer to RIF","2012-10-18 02:58:09"
375247,"MDT.RMF","ProR","rmf.pror-inbox","NEW"," ---","Create collection of tips and show them at startup","2012-08-27 09:39:02"
381691,"MDT.RMF","ProR","iw","NEW"," ---","Column for status information","2015-12-19 07:02:53"
376579,"MDT.RMF","Reqif-1.0","eclipse","ASSIGNED"," ---","Feature: Implement an Extension Point for an ID generator for the core","2015-08-10 12:25:48"
469356,"MDT.RMF","Reqif-1.0","eclipse","ASSIGNED"," ---","Poor performance in Case of Big Files with many SpecRelations","2015-08-11 04:05:49"
423407,"MDT.RMF","ProR","hussein.mhanna","ASSIGNED"," ---","Feature: Provide a cheat sheet for ReqIF structure","2015-08-11 05:11:39"
379503,"MDT.RMF","Other","lukas.ladenberger","ASSIGNED"," ---","Make JavaDoc generation part of CI","2013-04-23 04:44:26"
444316,"MDT.RMF","ProR","michael","ASSIGNED"," ---","Dragging a ReqIF into Eclipse causes a hang","2015-08-11 05:34:45"
420715,"MDT.RMF","Reqif-1.0","eclipse","ASSIGNED"," ---","Optimize RMF serialization with respect to memory consumption","2015-08-11 05:10:35"
474676,"MDT.RMF","Reqif-1.0","eclipse","ASSIGNED"," ---","Integration with Eclipse Sphinx","2015-08-11 08:47:15"
367303,"MDT.RMF","ProR","hussein.mhanna","ASSIGNED"," ---","Implement ""Locate Value"" Action in Properties View","2015-08-11 04:09:36"
375237,"MDT.RMF","ProR","hussein.mhanna","ASSIGNED"," ---","Renaming a ReqIF file does not propagate to the editor","2015-08-11 04:31:06"
377779,"MDT.RMF","ProR","hussein.mhanna","ASSIGNED"," ---","Properties View causes SWT exception","2015-08-11 04:42:35"
400287,"MDT.RMF","ProR","hussein.mhanna","ASSIGNED"," ---","Support canEdit method for default presentations","2015-08-11 04:48:30"
438371,"MDT.RMF","ProR","hussein.mhanna","ASSIGNED"," ---","DataType Configuration Dialog needs a cancel button","2015-08-11 05:31:14"
409945,"MDT.RMF","Reqif-1.0","iw","ASSIGNED"," ---","RMF should support schema validation against the ReqIF schema files","2015-11-10 08:58:58"
376954,"MDT.RMF","Other","lukas.ladenberger","ASSIGNED"," ---","Remove Test Suites and implement automatic test detection on Hudson","2012-10-18 03:41:05"
367304,"MDT.RMF","ProR","michael","ASSIGNED"," ---","Allow deletion of SpecHierarchy together with SpecObject","2014-10-30 13:32:24"
424309,"MDT.RMF","ProR","michael","ASSIGNED"," ---","Allow setting the size of plain text","2015-08-11 05:12:37"
457441,"MDT.RMF","ProR","michael","ASSIGNED"," ---","quicksearch broken on large specifications (NPE)","2015-08-11 05:41:29"
409980,"MDT.RMF","Reqif-1.0","eclipse","REOPENED"," ---","RMF should contain the requirements on RMF as example ReqIF files","2015-08-10 05:46:23"
451515,"MDT.RMF","ProR","michael","REOPENED"," ---","Scrolling behavior of AgileGrid with very long cells","2015-08-11 05:37:44"
368037,"MDT.RMF","Reqif-1.0","eclipse","RESOLVED","FIXED","ReqIF Files that use Presentations loose that information upon reopening","2012-04-12 10:20:12"
422959,"MDT.RMF","ProR","hussein.mhanna","RESOLVED","FIXED","Property View does not update upon opening spec","2014-08-03 15:30:53"
423291,"MDT.RMF","ProR","hussein.mhanna","RESOLVED","FIXED","Date in ""Document Properties"" is incorrect","2014-08-03 12:56:14"
367293,"MDT.RMF","ProR","iw","RESOLVED","FIXED","Right-Clicking in Spec Editor doesn't correctly update selection","2012-11-09 10:09:28"
374203,"MDT.RMF","ProR","iw","RESOLVED","FIXED","Drag and Drop of multiple Spec Elements does not work","2012-11-09 10:09:01"
367295,"MDT.RMF","ProR","lukas.ladenberger","RESOLVED","FIXED","Line space problem under Windows","2012-03-27 09:01:27"
371330,"MDT.RMF","ProR","lukas.ladenberger","RESOLVED","FIXED","Copy and Paste doesn't work as expected (text vs. model element)","2012-05-10 08:28:22"
367296,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Allow to set Presentations as default handlers for certain Datatypes","2013-02-02 07:34:29"
367306,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Dynamically adjust the row size when editing","2013-04-25 05:48:29"
369069,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Upon opening, ReqIF Files are immediately marked as changed","2012-11-14 16:52:22"
369457,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Creation of new SpecObjects in an empty Specification is not intuitive","2014-03-14 09:12:03"
372461,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Handling of AttributeValueBoolean is broken.","2013-08-09 09:46:34"
374225,"MDT.RMF","ProR","michael","RESOLVED","FIXED","ID must not be is editable","2012-06-13 08:22:02"
382331,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Label is no refreshed after changing datatype in presentation configuration dialog","2013-05-10 04:19:33"
386012,"MDT.RMF","ProR","michael","RESOLVED","FIXED","The label configuration may be empty","2012-08-07 06:04:10"
397186,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Link not created as intended with DND","2013-01-08 08:27:13"
397550,"MDT.RMF","ProR","michael","RESOLVED","FIXED","When the AgileGrid background is selected (i.e. by right-clicking), this should select the associated Specification","2013-01-31 09:39:47"
397661,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Flickering on Drag & Drop","2014-03-14 09:18:10"
399901,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Set intelligent labels on .reqif-Files with no ProR tool extensions","2013-02-06 11:15:13"
400149,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Support default values","2013-02-06 16:09:55"
403156,"MDT.RMF","ProR","michael","RESOLVED","FIXED","NPE at org.eclipse.rmf.reqif10.pror.presentation.id.provider.IdConfigurationItemProvider.updateSpecElementIfNecessary(IdConfigurationItemProvider.java:311)","2014-02-14 06:23:05"
406424,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Selection lost after editing in the Specification View","2013-05-10 04:19:14"
413028,"MDT.RMF","ProR","michael","RESOLVED","WORKSFORME","Typing enter in a text field inserts a linefeed, before closing (Linewrap Presentation)","2013-08-07 07:26:07"
413029,"MDT.RMF","ProR","michael","RESOLVED","WORKSFORME","Up and Down Arrow keys do not work in Linewrap Presentatijon","2013-08-07 07:27:35"
413767,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Allow resetting of an AttributeValue","2013-07-30 07:57:43"
414552,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Automatically set version number on splash screen","2013-08-07 07:18:53"
420475,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Linewrap Presentation is broken","2013-12-02 08:39:06"
422953,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Dates are not correctly rendered, and cannot be created","2013-12-02 10:02:17"
374181,"MDT.RMF","ProR","sasal002","RESOLVED","FIXED","Deleting last SpecElement in Specification Editor causes Exception","2012-08-29 08:13:40"
391425,"MDT.RMF","ProR","sasal002","RESOLVED","FIXED","Relations are not refreshed in specification editor after actions like delete, add, etc.","2012-10-18 10:48:44"
366018,"MDT.RMF","Reqif-1.0","eclipse","RESOLVED","FIXED","Some attributes in the reqif10 model are not typed correctly","2012-11-14 16:48:50"
