"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
425476,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","BehavioredClassifier::conformsTo overload should extend the conformance to realized interfaces","2014-01-14 09:55:10"
472393,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","UI freeze in UMLEditor$9.selectionChanged (1026) -  - NamespaceOperations.getNamesOfMember (401)","2015-07-10 11:45:07"
473259,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","UI freeze in CommandActionHandler.run (86) -  - DeleteCommand.findReferences (172)","2015-07-22 03:53:07"
510302,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","UML2Util.destroy removes all adapters","2017-01-12 15:11:28"
513686,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","SubsetSupersetEObjectEList removes inverse from subset upon basicRemove","2017-03-23 04:20:00"
159899,"MDT.UML2","Core","camle","NEW"," ---","Some UML strings not translated","2007-08-24 14:08:49"
80307,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Validation Rules","2016-04-15 05:11:24"
80308,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Unit Tests","2012-06-19 17:07:44"
132461,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BiDi3.2: Disorder of elements path contains mixed text on Linux","2010-10-05 16:15:49"
133152,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BiDi3.2: node naming problem when the name  starts with a digit.","2010-10-05 16:16:01"
133539,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BiDi3.2: Names of UML nodes are not correctly ordered.","2010-10-05 16:16:10"
157982,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Support for conversion of owned ends","2010-05-28 14:55:33"
160682,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BiDi Support","2012-06-19 15:32:39"
182451,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BIDI3.3:HCG_Location path is corrupted when using Hebrew name folders/files","2010-10-05 16:17:05"
182453,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BIDI3.3:HCG_Path variable is corrupted when define complex variable name","2010-10-05 16:17:12"
182455,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BIDI3.3:HCG_Label in variable extension dialog is corrupted when define complex variable name","2010-10-05 16:17:19"
182515,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BIDI3.3:HCG_UML model path is corrupted when UML file name contains complex expression  in UML model editor","2010-10-05 16:17:25"
182522,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BIDI3.3:HCG_Complex expression model name is displayed wrongly in UML model editor","2010-10-05 16:17:31"
182526,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BIDI3.3:HCG_Elements path contain complex expression is displayed wrongly in properties view of UML model editor","2010-10-05 16:17:37"
204201,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Enhanced Documentation","2015-11-23 14:36:34"
205484,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Integrated programmers guide.","2010-10-05 16:17:54"
206644,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","English String ""Abstract"" shows up on the Korean Version","2008-07-30 17:14:54"
224130,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","BIDI3.4:HCG Wrong display for Imported Package in the UML Model Editor","2012-06-19 15:32:39"
236935,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","TVT34:TCT786: TVT FR - UML - Wrong concatenation of variables in Title bar","2008-06-12 13:25:56"
257102,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Support derived unions for reflective and dynamic delegation","2012-08-03 02:59:13"
272531,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Generate covariant return types for redefinitions","2012-06-19 16:06:40"
273832,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Bidi3.5: Arabic Data is not correctly manipulated when exporting an Arabic named UML model","2012-06-19 15:32:39"
286567,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","TVT35:TCT543: FRA - UML2 - Discrepancy between menu items and matching dialog title","2009-08-13 16:15:22"
286835,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","TVT35:TCT545: FRA - Concatenation in Create extension(s) dialog","2009-08-17 13:14:22"
