"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
83055,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Redefine not applied to types in sibling includes","2010-10-26 18:39:33"
152373,"MDT.XSD","Core","Ed.Merks","NEW"," ---","XSD2Ecore Enhancements","2012-09-21 17:43:35"
154470,"MDT.XSD","Core","Ed.Merks","NEW"," ---","XSDEcoreBuilder name mangling extension point [enhancement]","2017-11-28 08:24:39"
166638,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Support XMI serialization of an XSD instance","2017-11-28 08:24:46"
183743,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Defaulted DOM attributes should be respected by XSD.","2017-11-28 08:24:50"
186398,"MDT.XSD","Core","Ed.Merks","NEW"," ---","xml schema unique constraint is not used when validation XML file","2007-11-03 15:31:40"
198247,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Investigate how WSDL 2.0 might be implemented as an extension to XSD","2012-04-11 12:47:48"
204125,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Investigate support for XML Schema 1.1","2016-01-19 10:13:43"
241379,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Validating elements with large content (sequence of 500 optional elements) is slow","2011-01-26 17:07:30"
252896,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Need a flag to skip unique particle validation checking","2009-12-11 13:19:06"
262495,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Investigate potential benefits of using MinimalEObjectImpl in the XSD Infoset model","2009-01-26 20:22:17"
265179,"MDT.XSD","Core","Ed.Merks","NEW"," ---","DCR: suppressedGetVisibility=""false"" for mixed featuremap from XSD","2009-02-17 11:30:24"
303683,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Enhance QName resolution diagnostics","2010-04-14 18:31:07"
319816,"MDT.XSD","Core","Ed.Merks","NEW"," ---","[hotbug_request] XSDConcreteComponentImpl leaves spaces in source afrer forceNiceRemoveChild - EMF command undo/redo broken","2010-07-16 10:49:21"
322878,"MDT.XSD","Core","Ed.Merks","NEW"," ---","XSDSchema Validation returns bad diagnostics for elements with duplicate names","2010-12-07 14:03:45"
337309,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Null Pointer Exception when running the XSD Examples","2011-04-13 09:53:41"
344149,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Should http://www.w3.org/2001/03/xml.xsd be cached","2011-05-03 17:31:45"
346999,"MDT.XSD","Core","Ed.Merks","NEW"," ---","The canonical literal provided by XSDSimpleTypeDefinition.Assessment isn't actually canonical.","2011-05-24 11:19:11"
355685,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Attribute 'must present as in the base', attributeGroup problems","2015-02-05 08:09:46"
357420,"MDT.XSD","Core","Ed.Merks","NEW"," ---","XSD performance","2012-11-29 12:34:43"
