"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
400537,"MMT.ATL","Doc","mmt-atl.doc-inbox","UNCONFIRMED"," ---","Map including operation not property documented within eclipse","2013-02-12 04:41:28"
467342,"MMT.ATL","Doc","mmt-atl.doc-inbox","UNCONFIRMED"," ---","Language guide does not cover endpoint rules","2015-05-14 13:32:47"
385715,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","ATL engine should tell, when trying to apply a stereotype when no profile is applied","2012-07-23 07:53:07"
385849,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Switching to Debug Mode throws java.io.UTFDataFormatException","2013-08-14 04:08:41"
394376,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","IllegalAccessException when computing the size of an empty SubSequence","2012-11-15 05:44:12"
394876,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Containment references cannot span across models","2012-11-22 06:31:06"
395900,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","CoreServices API Injector Bug","2013-10-04 08:12:52"
396197,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","ATL Editor duplicates character in string literal when formatting","2012-12-10 10:14:49"
397692,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","error in declaration in to section not sufficiently catched","2013-01-08 11:34:07"
398943,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Stackunderflow due to missing do clause in called rule","2013-01-24 02:47:22"
400015,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","AtlParser: comments present twice and proliferate when removing items from ATL code model","2013-02-05 13:58:25"
401443,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","multiple entrypoint rules accepted, but only first one executed","2013-02-21 12:46:00"
404344,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","ATL2006 compiler does not preserve XMI IDs","2014-05-07 04:10:13"
405347,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Problem with the '\' char in a string","2013-04-10 08:34:32"
412272,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Problem with ATL compiling","2013-07-04 04:33:14"
428549,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Adding XCore support to ATL","2014-02-19 09:20:14"
476860,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Editor confused by double quotes ("")","2020-09-04 10:53:55"
477125,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Can not load UML state machine file","2015-09-10 22:07:34"
376587,"MMT.ATL","Doc","mmt-atl.doc-inbox","NEW"," ---","problem ocurrs when facing two nested ""distinct..foreach"" ?","2012-04-12 08:15:12"
205582,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","ATL - NullPointerException in org.eclipse.m2m.atl.engine.vm.nativelib.ASMOclAny","2007-10-05 11:21:03"
215332,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","operator 'in' does not work in lazy rules","2008-01-15 07:27:16"
229334,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","Unique lazy rules do not work properly with multiple source pattern elements.","2008-04-29 10:39:22"
232122,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","Boolean operators are not optimized","2011-05-12 06:51:14"
252593,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","Structuring a transformation in different files / libraries for better readability","2012-06-06 15:44:10"
276277,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","Allow injection of in memory resource into a model","2009-08-27 10:31:19"
276529,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","ATL 3.0.0M7 Debugger cannot connect to debugged ATL process","2009-05-15 12:29:29"
289416,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","result of undefined subSequence","2009-09-15 02:25:19"
310977,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","ATL.ACG cannot be parsed by ACG parser included in ATL+TCS bundle","2010-04-29 06:59:29"
315199,"MMT.ATL","UI","mmt-atl.toolkit-inbox","NEW"," ---","Paste VMException into ATL Console for links to ATL File","2010-06-01 08:31:33"
315944,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","ATL EMF driver does not manage properly modular metamodels.","2012-06-05 05:33:51"
317233,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","Splitting a model into several files fails since inter-model references are not set properly in XMI files.","2012-06-05 05:33:58"
324432,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","NEW"," ---","Collision for newly created EMF model elements during transformation","2010-09-03 10:57:25"
330687,"MMT.ATL","UI","mmt-atl.toolkit-inbox","NEW"," ---","Initialize properties and java file of new ATL files","2010-11-19 12:35:38"
331887,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","Model serialization performance improvement","2010-12-06 05:57:30"
332194,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","Dangling cross-references remain after deletion.","2010-12-09 03:48:49"
333454,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","[ATL] enable use of EMF enumeration","2011-01-04 05:14:45"
333455,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","[ATL] toString = programmatic behavior not coherent with usual behavior","2012-03-19 12:19:01"
338064,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","inheritance between abstract rules does not work","2011-02-24 05:45:13"
