"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
253336,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Confirm Intent","2012-07-12 15:02:04"
253361,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Communicate","2012-07-12 15:02:15"
253386,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Intent","2012-07-12 15:02:05"
253413,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Attendance","2012-07-12 15:01:55"
253437,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Ramp Down Policy","2012-07-12 15:02:08"
253462,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","IP","2012-07-12 15:02:00"
253486,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","APIs","2012-07-12 15:02:08"
253510,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Message Bundles","2012-07-12 15:02:14"
253536,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Version Numbering","2012-07-12 15:02:16"
253562,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Leverage OSGi","2012-07-12 15:02:17"
253588,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Execution Environment","2012-07-12 15:01:52"
253613,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Signing","2012-07-12 15:01:55"
253837,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Use Jars","2012-07-12 15:02:02"
254001,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Builds","2012-07-12 15:01:57"
254029,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Orbit","2012-07-12 15:02:22"
254056,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Optimization","2012-07-12 15:02:14"
254081,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","New & Noteworthy","2012-07-12 15:02:00"
254108,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Work Together","2012-07-12 15:01:58"
254134,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Capabilities","2012-07-12 15:02:12"
254160,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Localization - Babel","2012-07-12 15:02:18"
254186,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Localization - ICU4J","2012-07-12 15:02:16"
254291,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Branding","2012-07-12 15:01:51"
254339,"MMT","Releng","mmt-atl.toolkit-inbox","CLOSED","WONTFIX","Localization - Babel PTT","2012-07-12 15:02:05"
254347,"MMT","Releng","mmt-atl.toolkit-inbox","CLOSED","FIXED","Localization - UI freeze","2012-07-12 15:02:06"
254373,"MMT","Releng","mmt-atl.toolkit-inbox","CLOSED","WONTFIX","Localization - bidi","2012-07-12 15:02:18"
254215,"MMT","Releng","mmt.web-inbox","CLOSED","WONTFIX","Usability","2012-07-12 15:02:17"
254242,"MMT","Releng","mmt.web-inbox","CLOSED","WONTFIX","Accessibility","2012-07-12 15:02:01"
254268,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Performance","2012-07-12 15:02:04"
221572,"MMT","Releng","dvorak.radek","CLOSED","FIXED","QVT OML feature points to a Borland update site in modeling EPP package","2012-07-12 15:01:56"
228855,"MMT","Releng","dvorak.radek","CLOSED","FIXED","Migrate QVTO build to common modeling builder","2012-07-12 15:02:09"
255446,"MMT","Releng","dvorak.radek","CLOSED","FIXED","QVT OML 2.0M3 does not install from update site","2012-07-12 15:02:23"
220095,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Should M2M-ATL use the Modeling Project feature icon?","2012-07-12 15:02:19"
236861,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","referenced pictures (jpeg, png) missing in features","2012-07-12 15:01:53"
237741,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Wrong source folder for org.eclipse.m2m.atl.engine","2012-07-12 15:02:06"
239336,"MMT","Releng","mmt.web-inbox","CLOSED","FIXED","Convert M2M ip log to automated ip log","2012-07-12 15:02:13"
253321,"MMT","Releng","mmt.web-inbox","CLOSED","INVALID","Confirm Intent","2012-07-12 15:02:03"
301522,"MMT","Website","mmt.web-inbox","CLOSED","INVALID","TEst Bug","2012-07-12 14:54:18"
231980,"MMT","Releng","serg.boyko2011","CLOSED","FIXED","QVTO needs proper branding elements","2012-07-12 15:01:59"
