"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
305435,"MPC","wizard","mpc.wizard-inbox","NEW"," ---","[MPC] wizard looses ability to traverse by keyboard","2011-09-27 07:46:10"
322335,"MPC","Install","mpc.install-inbox","NEW"," ---","Replicate MPC installs to other users","2019-03-26 06:43:37"
314938,"MPC","wizard","mpc.wizard-inbox","NEW"," ---","Does MPC support gzip compression for API results","2016-06-07 13:39:43"
327667,"MPC","wizard","mpc.wizard-inbox","NEW"," ---","Wizard should not allow you to attempt to perform multiple installations at once.","2013-03-06 12:42:48"
352273,"MPC","wizard","mpc.wizard-inbox","NEW"," ---","[MPC] wizard list view has tiny scroll amount","2016-06-07 10:10:41"
337318,"MPC","wizard","b.muskalla","RESOLVED","DUPLICATE","mpc does not work on 3.7","2011-02-16 14:48:53"
311621,"MPC","wizard","greensopinion","RESOLVED","FIXED","MPC Should Cache Content of Tabs","2010-05-26 11:43:24"
316362,"MPC","wizard","greensopinion","RESOLVED","FIXED","MPC considers all repositories when installing","2010-06-14 10:29:38"
346325,"MPC","wizard","mpc.wizard-inbox","RESOLVED","FIXED","test failing due to p2 exception","2011-05-24 14:53:54"
334686,"MPC","Install","b.muskalla","RESOLVED","FIXED","MPC needs to be updated to p2 transport refactoring","2011-11-09 07:30:40"
338486,"MPC","wizard","b.muskalla","RESOLVED","FIXED","Failing tests in build","2011-03-14 13:50:20"
305275,"MPC","wizard","greensopinion","RESOLVED","FIXED","[MPC] the info tooltip has a non-transparent background and a tiny font","2010-05-04 23:41:00"
305437,"MPC","wizard","greensopinion","RESOLVED","FIXED","[MPC] support uninstall for items installed through MPC","2010-05-04 23:41:16"
305438,"MPC","wizard","greensopinion","RESOLVED","FIXED","[MPC] provide update button for installed items","2010-05-04 23:41:26"
305442,"MPC","wizard","greensopinion","RESOLVED","FIXED","[MPC] make it more obvious that items have been selected for install","2010-05-04 23:41:45"
314570,"MPC","wizard","greensopinion","RESOLVED","FIXED","Eclipse MP needs to be selected by default","2010-06-04 12:09:24"
305443,"MPC","wizard","nathan","RESOLVED","WONTFIX","[MPC] add ability to mark solutions as favorites","2010-05-04 23:41:54"
305440,"MPC","wizard","steffen.pingel","RESOLVED","FIXED","[MPC][releng] create build for MPC","2010-05-04 23:41:36"
313581,"MPC","Install","b.muskalla","RESOLVED","FIXED","splitting code and configuration of the Marketplace Client","2011-04-19 20:25:53"
317819,"MPC","wizard","b.muskalla","RESOLVED","FIXED","Purpose of having multiple solution catalogs isn't obvious","2015-12-16 13:59:17"
336154,"MPC","wizard","b.muskalla","RESOLVED","FIXED","solution vendors can obtain a URL facilitating installation of their solution","2011-03-07 06:29:47"
336156,"MPC","wizard","b.muskalla","RESOLVED","FIXED","user can DnD url from web browser into Eclipse to start MPC install sequence","2011-03-16 15:45:48"
336157,"MPC","wizard","b.muskalla","RESOLVED","FIXED","switch catalogs by clicking catalog icons on solutions page in MPC wizard","2011-03-16 15:46:02"
336159,"MPC","wizard","b.muskalla","RESOLVED","FIXED","user can see catalog branding in MPC wizard","2011-03-16 14:55:44"
336160,"MPC","wizard","b.muskalla","RESOLVED","FIXED","user should be able to share solution listing","2011-03-16 15:45:11"
336858,"MPC","Install","b.muskalla","RESOLVED","FIXED","Fix failing unit tests","2011-02-25 14:29:06"
338134,"MPC","wizard","b.muskalla","RESOLVED","FIXED","test MPC on Eclipse 4","2011-03-16 15:40:08"
338399,"MPC","wizard","b.muskalla","RESOLVED","FIXED","MPC blocks UI for unreachable marketplaces","2011-03-16 15:41:18"
338736,"MPC","Install","b.muskalla","RESOLVED","FIXED","update web site documentation to list releases","2011-06-22 07:06:36"
