"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
489525,"Mylyn Commons","Notifications","mylyn-triaged","NEW"," ---","IAE in PopupNotificationSink when handling notifications with inconsistent compareTo","2016-03-17 13:59:20"
514576,"Mylyn Commons","UI","mylyn-inbox","NEW"," ---","[gtk3] Task priority icons partially visible (apparently shifted down)","2017-03-31 16:04:48"
521570,"Mylyn Commons","Notifications","mylyn-inbox","NEW"," ---","FeedEntry parses hours >= 12 incorrectly","2017-08-30 04:26:10"
533028,"Mylyn Commons","Discovery","mylyn-inbox","NEW"," ---","Unexpected error accessing secure storage, falling back to in memory store for credentials. Some credentials may not be saved","2018-03-28 17:24:55"
533237,"Mylyn Commons","Discovery","mylyn-inbox","NEW"," ---","Failed to install MyLyn Hudson discovery","2018-04-05 01:24:22"
533238,"Mylyn Commons","Discovery","mylyn-inbox","NEW"," ---","Failed to update in open.collab.net","2018-04-05 01:26:46"
536703,"Mylyn Commons","UI","mylyn-inbox","NEW"," ---","[Dark Theme] DatePickerPanel not styled correctly on dark theme","2018-09-05 18:46:50"
539681,"Mylyn Commons","UI","mylyn-inbox","NEW"," ---","FeedReader fails under Java 11","2019-01-11 02:14:29"
564945,"Mylyn Commons","UI","mylyn-inbox","NEW"," ---","Use org.eclipse.core.text.StringMatcher","2020-07-15 14:28:52"
565112,"Mylyn Commons","UI","mylyn-inbox","NEW"," ---","View -> Context Menu entries missing","2020-07-31 05:47:14"
499878,"Mylyn Commons","UI","mylyn-triaged","NEW"," ---","error opening review on newly provisioned Eclipse Neon installation","2016-08-19 17:42:53"
502944,"Mylyn Commons","Discovery","mylyn-triaged","NEW"," ---","unexpected error popup when cancelling connector discovery - mylyn.discovery.core","2016-09-30 17:00:11"
549791,"Mylyn Commons","UI","eclipse","ASSIGNED"," ---","Mylyn Commons UI depends on Guava 21","2019-08-05 11:33:48"
502083,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","create configurable TableViewerSupport","2016-12-01 12:36:25"
502516,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","junit4 add ConditionalIgnoreRule to Junit4TestFixtureRunner","2016-10-08 01:34:39"
503109,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","create ManagedSuite for junit4","2016-10-22 01:36:52"
532030,"Mylyn Commons","Network","eclipse","RESOLVED","FIXED","Junit4TestFixtureRunner: sort the fixtues by Info","2018-06-28 16:37:55"
565927,"Mylyn Commons","Network","eclipse","RESOLVED","FIXED","FixtureConfiguration.isDefault() add true to legal values","2020-09-02 11:16:47"
515561,"Mylyn Commons","UI","jaxsun.mccarthy","RESOLVED","FIXED","The TextSearchControl registers the old now missing clear_co.gif","2017-06-29 19:09:30"
485773,"Mylyn Commons","Notifications","mylyn-inbox","RESOLVED","WONTFIX","AbstractUiNotification#getNotificationImage() causes resource leaks","2016-01-15 13:10:02"
497782,"Mylyn Commons","Notifications","mylyn-inbox","RESOLVED","WONTFIX","Remove unnecessary dependency from org.eclipse.mylyn.commons.notifications.ui","2016-09-20 05:28:49"
501195,"Mylyn Commons","Network","mylyn-inbox","RESOLVED","NOT_ECLIPSE","UI Freeze for long time if (first time) try to open context menu (right mouse click) in Project Explorer","2016-09-13 02:15:35"
502950,"Mylyn Commons","Discovery","mylyn-inbox","RESOLVED","WORKSFORME","Problems occurred while performing installation","2016-10-03 12:46:15"
512190,"Mylyn Commons","Network","mylyn-inbox","RESOLVED","FIXED","update GSon version to 2.7","2017-03-08 14:54:14"
531390,"Mylyn Commons","UI","mylyn-inbox","RESOLVED","FIXED","Eclipse freezes for 15 minutes at start-up","2020-04-06 17:50:18"
489215,"Mylyn Commons","UI","mylyn-triaged","RESOLVED","DUPLICATE","[gtk3] Task repositories view does not show any icons","2016-07-07 13:44:15"
511812,"Mylyn Commons","Network","steffen.pingel","RESOLVED","FIXED","upgrade HttpClient dependency to 4.5.2","2017-02-15 14:15:35"
489660,"Mylyn Commons","UI","alex.blewitt","CLOSED","FIXED","New Boolean created in TextSearchControl","2020-06-01 17:29:00"
529476,"Mylyn Commons","UI","mylyn-inbox","CLOSED","FIXED","Eclipse crashes when opening a view","2018-01-06 08:37:45"
541569,"Mylyn Commons","Notifications","mylyn-inbox","CLOSED","DUPLICATE","NoClassDefFoundError: javax/xml/bind/JAXBContext with .feed on Java11","2018-12-09 11:55:40"
544923,"Mylyn Commons","Notifications","mylyn-inbox","CLOSED","DUPLICATE","Port notification API to platform","2020-05-06 03:13:39"
