"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
442063,"Mylyn Context MFT","Releng","bork","NEW"," ---","Update to 0.9.4","2014-08-19 10:07:47"
358489,"Mylyn Context MFT","EMF Connector","milesparker","NEW"," ---","[modeling] Support hiding of contained elements such as within packages","2012-09-04 14:38:58"
437214,"Mylyn Context MFT","Releng","milesparker","NEW"," ---","Update MFT to latest version of SUA","2014-09-17 12:53:52"
371759,"Mylyn Context MFT","GMF Connector","mylyn-inbox","NEW"," ---","Model bridges should not have to decide whether GMF views on them are supported or not","2012-09-04 15:09:44"
486863,"Mylyn Context MFT","EMF Connector","mylyn-inbox","NEW"," ---","I can not see ""StepIntoToolbar"",""StepOverToolbar"" toolbar options in Eclipse 4.4.1 but i can see these options in Eclipse 3.4","2016-01-29 13:45:18"
486864,"Mylyn Context MFT","EMF Connector","mylyn-inbox","NEW"," ---","I can not see ""StepIntoToolbar"",""StepOverToolbar"" toolbar options in Eclipse 4.4.1 but i can see these options in Eclipse 3.4","2016-01-29 13:46:17"
357892,"Mylyn Context MFT","EMF Connector","mylyn-triaged","NEW"," ---","[modeling] Background colors aren't correct for edges with colored backgrounds.","2012-09-04 14:36:40"
352173,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] EMF Tree Editor UI support for Contexts","2011-12-08 05:18:59"
357745,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] Support focus in EcoreTools diagram editor outline","2011-12-06 11:50:38"
357747,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] Use Mylyn standard ""Remove from Context"" for model elements rather than ""Remove Model Element form Context""","2011-12-06 11:50:26"
357784,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] remove all static bridge instances","2011-12-06 11:50:34"
357540,"Mylyn Context MFT","EMF Connector","milesparker","REOPENED"," ---","[modeling] improve color management","2012-03-13 10:05:44"
406514,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","Mylyn failed to update model based on selection","2013-09-04 13:53:25"
371760,"Mylyn Context MFT","GMF Connector","bork","RESOLVED","FIXED","Support revealing nested figures","2012-08-27 18:39:36"
374119,"Mylyn Context MFT","GMF Connector","bork","RESOLVED","FIXED","NPE when handling a ContextChangeEvent","2012-03-14 11:52:21"
343193,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] identify EMF classes relevant for context","2011-12-06 12:11:30"
343194,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","WORKSFORME","[modeling] provide unique id for EMF model objects","2011-12-06 11:50:37"
343195,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","WONTFIX","[modeling] identify text selections of model objects","2011-12-06 11:50:33"
343200,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] quick/in-place view of model elements in context","2011-12-06 12:11:35"
343201,"Mylyn Context MFT","ECore Tools Connector","milesparker","RESOLVED","FIXED","[modeling] usage tracking for Ecore Tree Editor model editing and navigation","2012-03-13 09:01:29"
343202,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] map containment and relationships to DoI model","2011-12-06 12:11:30"
343204,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","WONTFIX","[modeling] Update DoI model elements on Model Property Changes","2011-12-06 11:50:39"
343212,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] support for landmarking model elements","2012-03-13 09:01:42"
343213,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Ecore model focusing for Common Navigators","2012-03-13 08:49:20"
343215,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] editor mementos are restored on task-reactivation","2011-12-06 12:11:33"
343217,"Mylyn Context MFT","GMF Connector","milesparker","RESOLVED","FIXED","[modeling] usage tracking for GEF diagram editing and navigation","2012-03-13 09:11:16"
343218,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] create figure highlighter for diagrams","2011-12-06 12:11:34"
343219,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] create figure filter for diagrams","2011-12-06 12:11:32"
343223,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] identify GMF elements in context","2011-12-06 12:11:34"
351886,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Implement EMF Context Bridge","2012-03-13 09:02:00"
351887,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","DUPLICATE","[modeling] Support focus for EMF TreeEditor","2011-12-06 11:50:31"
351889,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] EMF Editor Mylyn IDE Integration","2011-12-06 12:11:32"
351894,"Mylyn Context MFT","GMF Connector","milesparker","RESOLVED","FIXED","[modeling] Support Contextual Diagram Editing","2012-03-13 09:02:19"
351909,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Setup testing harness for plugin runtime","2012-03-13 09:02:35"
352032,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] track initial Mylyn Context Modeling contribution","2011-12-06 12:11:29"
352897,"Mylyn Context MFT","GMF Connector","milesparker","RESOLVED","FIXED","[modeling] Provide generic extension point for GMF / GEF diagram support","2012-03-13 09:11:38"
354171,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Support Remove From Context for Model Elements","2012-03-13 09:03:33"
354566,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Unknown expression exception on new Ecore Model","2011-12-06 12:11:37"
354567,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] CCE when selecting new class in diagram","2011-12-06 12:11:35"
354568,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Ecore class added to context without interaction","2011-12-06 12:11:33"
354569,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] NPE when activiting task and Papyrus editor is already open","2011-12-06 12:11:33"
354787,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Initial Release Bug Parade","2011-12-06 12:11:36"
354899,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Edge masking captures click for events in client area","2011-12-06 16:44:37"
355018,"Mylyn Context MFT","Papyrus Connector","milesparker","RESOLVED","FIXED","[modeling] Make Papyrus implementation work","2011-12-06 16:44:55"
355019,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Initial Mylyn Modeling Support Release Options","2011-12-06 12:11:38"
355025,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Project packaging and maintenance","2011-12-06 12:11:33"
355068,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] discuss pre-requisites of modeling bridge","2011-12-06 12:11:29"
355214,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] fix copyright headers and @author tags","2011-12-06 12:11:30"
355217,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] add .settings files for each project and reformat sources","2011-12-06 12:11:38"
355220,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] separate internal namespace from API","2011-12-06 12:11:31"
355223,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] rename classes to follow standard naming convention","2011-12-06 12:11:37"
355266,"Mylyn Context MFT","GMF Connector","milesparker","RESOLVED","FIXED","[modeling] Edges are broken.","2011-12-06 16:45:49"
355276,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] minimize the bundle dependencies","2011-12-06 12:11:30"
355623,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] NPE while running tests","2011-12-06 12:11:31"
355793,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] create poms to run build and tests","2011-12-06 12:11:34"
356107,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Create automated build and initial update site","2011-12-06 12:11:32"
356850,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Support EDataType","2011-12-06 16:45:14"
357009,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] NPE when selecting class in diagram","2011-12-06 12:11:34"
357024,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Node should not be selected after removing from context.","2011-12-06 12:11:29"
357134,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Generalize Plugin Support","2011-12-06 12:11:37"
357174,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Landmark prevents editing of Diagram Element","2011-12-06 12:11:31"
357287,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Nodes not always masked when diagram first opened","2011-12-06 12:11:30"
357297,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Support renaming of ecore model elements.","2012-03-13 08:49:51"
357298,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] NPE when opening other editors with EMF content","2011-12-06 12:11:29"
357702,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","WONTFIX","[modeling] Provide alt-click behavior","2011-12-06 11:50:27"
357742,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] (Remove support for..) Contained package decorations not shown in the expected place","2011-12-06 12:11:29"
357748,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Remove from Context and Remove Model Element from Context have the same key binding","2011-12-06 12:11:29"
357751,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] menu item to mark model elements as landmarks is missing","2011-12-06 12:11:33"
357752,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] NPE when pressing remove from context key-binding","2011-12-06 12:11:32"
357755,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Issues with context children was: not all child elements removed from context","2011-12-06 12:11:30"
357758,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] interest decoration is not consistent","2011-12-06 12:11:30"
357759,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] selecting elements in Ecore Tree editor has no effect","2011-12-06 12:11:28"
357766,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] EAttribute, EOperation and EPackage elements are not tracked","2011-12-06 12:11:36"
357768,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","DUPLICATE","[modeling] Interest is not propagated to parent resources (and Ecore file ends up with empty structure kind)","2011-12-06 11:50:30"
357772,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] NPE when toggeling focus button in Ecore diagram editor","2011-12-06 12:11:31"
357779,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Java Problem: The method isEmpty() is undefined for the type String","2011-12-06 12:11:31"
357895,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Support Attributes and Operations inside of Class Parts","2011-12-06 12:11:35"
357993,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] NPE when removing sub-package from context","2011-12-06 12:11:31"
358276,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Editor should be completely un-focussed when mouse exits","2011-12-06 12:11:36"
358791,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Adding a reference within a package throws NPE","2011-12-06 12:11:32"
358955,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","INVALID","[modeling] implementation broken","2011-12-06 11:50:30"
362520,"Mylyn Context MFT","GMF Connector","milesparker","RESOLVED","WORKSFORME","[modeling] NPE while focusing diagram editor","2012-08-27 18:40:56"
380394,"Mylyn Context MFT","Releng","milesparker","RESOLVED","FIXED","create release review slides for MFT 0.9","2012-06-04 17:11:46"
388149,"Mylyn Context MFT","Papyrus Connector","milesparker","RESOLVED","FIXED","Add Papyrus back to main build","2012-09-12 20:29:24"
391844,"Mylyn Context MFT","Releng","milesparker","RESOLVED","FIXED","Small issues with SimRel build for Juno SR2","2012-10-15 23:41:01"
409027,"Mylyn Context MFT","Releng","milesparker","RESOLVED","FIXED","Update to 0.9.2","2013-06-11 01:34:53"
413129,"Mylyn Context MFT","Releng","milesparker","RESOLVED","FIXED","Fix (or remove) Papyrus build dependencies, update simrel","2013-11-08 05:14:00"
416479,"Mylyn Context MFT","Releng","milesparker","RESOLVED","FIXED","Update Kepler Aggregation to consume MFT 0.9.2","2013-09-04 19:04:36"
352009,"Mylyn Context MFT","EMF Connector","mylyn-inbox","RESOLVED","INVALID","[modeling] Add other Resources in ResourceSet to Context","2011-12-06 11:50:41"
354900,"Mylyn Context MFT","GMF Connector","mylyn-inbox","RESOLVED","WONTFIX","[modeling] Masked Edges mask non-masked edges","2012-03-14 06:00:24"
359496,"Mylyn Context MFT","Papyrus Connector","mylyn-inbox","RESOLVED","DUPLICATE","[modeling] EcoreTools don't work when Papyrus is installed.","2012-03-13 10:07:14"
359536,"Mylyn Context MFT","EMF Connector","mylyn-inbox","RESOLVED","DUPLICATE","[modeling] unable to navigate through models in unfocused project explorer","2011-12-06 11:50:32"
411730,"Mylyn Context MFT","EMF Connector","mylyn-inbox","RESOLVED","DUPLICATE","""Path must include project and resource name"" error dialog","2013-07-22 14:35:44"
412793,"Mylyn Context MFT","EMF Connector","mylyn-inbox","RESOLVED","DUPLICATE","Constant ""Path must include project and resource name: /"" errors when switching to editor buffers of a particular project","2013-08-30 13:14:33"
371752,"Mylyn Context MFT","EMF Connector","reckord","RESOLVED","FIXED","Provide factory method for ResourceSets used in EMFStructureBridge","2012-02-16 15:26:23"
371754,"Mylyn Context MFT","ECore Tools Connector","reckord","RESOLVED","FIXED","Correct handling of fragment-less URIs and root elements in EmfStructureBridge","2012-06-05 04:46:31"
371757,"Mylyn Context MFT","GMF Connector","reckord","RESOLVED","FIXED","Adapt GMF view's domain element to MFT context's domain object","2012-02-16 15:16:39"
371898,"Mylyn Context MFT","Releng","reckord","RESOLVED","FIXED","Include source bundles in MFT SDK feature","2012-02-17 11:29:31"
378601,"Mylyn Context MFT","Releng","reckord","RESOLVED","FIXED","re-enable MFT SDK feature for Juno M7","2012-05-07 17:05:50"
360165,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","[modeling] prepare code contribution for CQ","2011-12-06 16:45:06"
360171,"Mylyn Context MFT","EMF Connector","steffen.pingel","RESOLVED","FIXED","[modeling] Papyrus UI tests hang with modal dialog","2011-12-06 12:11:37"
362500,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","[modeling] modeling bridge build fails","2011-12-06 16:44:11"
364770,"Mylyn Context MFT","EMF Connector","steffen.pingel","RESOLVED","FIXED","[modeling] change namespace to org.eclipse.mylyn.mft","2011-12-06 12:11:34"
365739,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","setup initial website and project plan","2011-12-06 12:11:29"
366694,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","add Incubation identifier to all feature names","2011-12-14 09:39:03"
366702,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","add sample projects to fix failing tests","2011-12-14 10:10:01"
366729,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","configure Hudson jobs for MFT","2011-12-14 13:47:43"
367000,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","remove Papyrus dependencies","2012-03-10 16:10:15"
371899,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","provide MFT specific branding extension","2012-03-10 15:30:07"
373876,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","provide target definition","2012-03-10 16:08:31"
373878,"Mylyn Context MFT","EMF Connector","steffen.pingel","RESOLVED","FIXED","BasicEmfResourceTest.testResourceSelect() fails spuriously","2012-06-05 14:14:36"
374065,"Mylyn Context MFT","Releng","steffen.pingel","RESOLVED","FIXED","[release] plan Model Focusing Tools 0.9 release","2012-07-02 13:56:52"
389010,"Mylyn Context MFT","Papyrus Connector","steffen.pingel","RESOLVED","FIXED","build Papyrus against Juno target","2012-09-07 16:00:51"
421302,"Mylyn Context MFT","Releng","bork","CLOSED","FIXED","Update to 0.9.3","2014-08-19 09:39:05"
343220,"Mylyn Context MFT","EMF Connector","milesparker","CLOSED","WONTFIX","[modeling] create layout for focused diagrams","2011-12-06 11:50:41"
354434,"Mylyn Context MFT","EMF Connector","milesparker","CLOSED","WONTFIX","[modeling] Move git to Eclipse Labs","2011-12-06 11:50:39"
388040,"Mylyn Context MFT","GMF Connector","milesparker","CLOSED","DUPLICATE","Model reveal behavior broken","2012-08-27 14:02:58"
350870,"Mylyn Context MFT","EMF Connector","mylyn-triaged","CLOSED","WORKSFORME","[modeling] support dynamically loaded models","2011-12-06 11:50:37"
371755,"Mylyn Context MFT","UML Connector","reckord","CLOSED","FIXED","Provide a plain UML2 connector without Papyrus dependency","2012-03-13 09:25:38"
389011,"Mylyn Context MFT","Releng","steffen.pingel","CLOSED","FIXED","update commit template to conform to Mylyn's template","2013-11-08 05:19:00"
