"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
448168,"Mylyn Context","Framework","mylyn-inbox","UNCONFIRMED"," ---","[mylyn] NPE in EditorInteractionMonitor.editorBroughtToTop/editorOpened","2014-11-05 07:44:01"
267143,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[performance][context] expand all causes expensive computations in InterestFilter","2013-03-15 20:02:41"
320350,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[context] provide a gentler introduction to navigator view focusing","2011-07-18 15:03:31"
321467,"Mylyn Context","C/C++","mylyn-inbox","NEW"," ---","[context] sometimes, switching to another file goes back to the old file immediately","2011-08-11 08:32:20"
166644,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[context] activating task should restore multiple editor configuration, including split editor layout","2017-01-28 03:29:06"
173325,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[context] duplicate elements shown when Package Explorer is focused and duplicates exist in the model","2014-04-25 13:31:32"
197942,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[performance] refresh workspace with active task hogs CPU","2016-03-02 12:51:06"
330982,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","Element selected in editor not selected in package explorer","2011-04-05 16:30:35"
334700,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[context] Opening call hierarchy adds previous call hierarchy root to context","2011-01-18 17:29:17"
338314,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","deadlock when change set manager is initialized","2011-09-09 15:12:13"
341589,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[context] Hover affordance can appear for multiple items","2012-03-23 21:21:48"
393382,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","in context preview page, landmark highlighting is based on the active task","2012-11-01 19:06:34"
399444,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","[e4] restoring of editor state failed","2013-10-03 16:42:48"
495432,"Mylyn Context","Framework","mylyn-triaged","NEW"," ---","Mylyn disables project explorer 'customize view' action and package explorer 'Filters' action","2016-06-03 19:36:05"
324808,"Mylyn Context","Framework","shawn.minto","NEW"," ---","[context] removing a project from the context does not always remove all elements from all models","2012-02-17 05:44:36"
339808,"Mylyn Context","Framework","shawn.minto","NEW"," ---","mark as landmark and remove from context key-bindings do not work on context page","2012-02-17 05:44:55"
353439,"Mylyn Context","Framework","shawn.minto","NEW"," ---","[api] add method to retrieve context bridge by content type","2012-02-17 05:46:03"
317452,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context][content assist][jdt] Content assist shows a public class as part of ArrayList","2015-07-31 20:07:59"
327981,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] class files removed from context reappear when switching back to task","2012-10-26 11:58:29"
329071,"Mylyn Context","Java","mylyn-inbox","NEW"," ---","[context] newly activated task gets polluted with last selected element in previous task","2011-08-11 08:31:37"
329249,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] Files disappear from Project Explorer when using hierarchical package presentation","2017-08-25 09:26:06"
329920,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] items should be automatically deleted from the context based on a threshold","2014-12-26 22:34:23"
330863,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] alt+click should use different keyboard shortcut when clicking whitespace","2011-07-21 18:14:04"
337360,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] Remove delayed refresh when using alt+click","2011-08-11 07:57:47"
344872,"Mylyn Context","Resources","mylyn-inbox","NEW"," ---","Sort by Resource Column Failure in Problems View while Focus on Active Task is Checked","2011-05-16 11:37:50"
345005,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","When first focusing a task, the package explorer is not correctly expanded","2011-05-06 15:19:26"
345661,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","API for storing task based SCM configuration in the Mylyn context","2012-07-05 08:15:52"
350445,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] interest is not captured for XML edit when done with WTP editor and Spring IDE","2011-08-11 08:33:32"
352917,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] automatically expanded context to elements with compile errors","2011-08-11 07:09:41"
353018,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[context] files are getting lost from active context","2011-08-11 08:33:10"
353450,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","When creating a subtask, use recent events to seed the context","2011-07-29 18:58:35"
354065,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","[api][context] provide method to determine whether a context is active","2011-08-11 06:51:32"
354185,"Mylyn Context","Java","mylyn-inbox","NEW"," ---","[context] context from stack trace population should minimize the number of projects added to context when adding plugin dependencies","2011-08-11 06:51:15"
355003,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","Provide support for cross-cutting interest mode(s)","2014-07-11 14:18:30"
356224,"Mylyn Context","Java","mylyn-inbox","NEW"," ---","Task Context Tests cannot find Junit4 tests annotated with @Test","2011-08-30 17:12:18"
362013,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","NPE in ViewerCell","2014-03-26 18:42:31"
365674,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","New projects should be added to context","2011-12-05 17:27:31"
373607,"Mylyn Context","Java","mylyn-inbox","NEW"," ---","Fold Uninteresting Elements makes typing in editor impossible","2012-03-07 19:59:23"
373641,"Mylyn Context","Resources","mylyn-inbox","NEW"," ---","support marking multiple resources as landmarks","2012-03-08 08:29:13"
374288,"Mylyn Context","Java","mylyn-inbox","NEW"," ---","Focused breakpoints view does not show breakpoints in plugin dependencies","2012-03-14 13:41:50"
378227,"Mylyn Context","Framework","mylyn-inbox","NEW"," ---","activation should not close dirty task editor","2012-07-13 17:21:16"
