"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
364091,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","You can only copy from left to right in Compare Editor","2011-11-18 05:08:18"
365084,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Intent projects appearance in the Package Explorer","2013-05-24 04:57:42"
368561,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Model Fragment support for appending a copy of other model elements","2012-01-13 11:06:23"
381043,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Quickfixes to update the modeling unit","2012-06-07 17:57:42"
381720,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Allow separate contributions to a Resource","2012-06-05 10:29:28"
381998,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Dynamic instances not recognized by the compiler","2012-06-07 17:56:55"
383611,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","GENERATED resources are not flushed","2012-06-27 03:56:16"
383615,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Filter the compare view","2012-06-27 04:05:31"
383619,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Double click on problem view doesn't work","2013-05-23 04:47:15"
383620,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Code formatting for intent","2012-06-27 04:12:04"
383621,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Refactoring utility for opposite references","2012-06-27 04:13:59"
383622,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Compiled model overview","2012-06-27 04:16:18"
383638,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","New elements not contained not detected","2012-06-27 09:20:20"
383663,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Sync warning too verbose","2012-06-27 11:01:01"
397213,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Automatic Document creation according to a model","2012-12-28 04:38:54"
400572,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Define a Jnario Bridge for Intent","2013-05-23 04:25:20"
405482,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Allow textual serialization of the Intent editor if it contains syntax errors","2013-04-11 11:11:05"
405974,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Provide a mechanism allowing to export documentation during build","2013-04-18 07:59:53"
407396,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Drag and Drop from outline and Project Explorer View","2013-05-07 08:14:21"
408788,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","Real-time rendering of images","2013-05-23 04:20:54"
410298,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Export Intent document as a .doc/.docx","2013-06-10 02:55:16"
410299,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Interface Intent with BIRT","2013-06-10 02:56:43"
411276,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","The LinkResolver does not work","2013-06-20 11:47:23"
412035,"Mylyn Docs Intent","Intent UI","mylyn.intent-inbox","NEW"," ---","[Perfo] Makes IntentPairMatcher faster","2013-07-01 12:00:43"
413599,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Interface Intent with Apache POI to export in Office formats","2013-08-06 12:30:59"
423876,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Cooperation with Papyrus modeling","2013-12-12 03:28:46"
509376,"Mylyn Docs Intent","Core","mylyn.intent-inbox","NEW"," ---","Installation error in Eclipse neon","2016-12-17 04:31:57"
384447,"Mylyn Docs Intent","CDO support","mylyn.intent-inbox","ASSIGNED"," ---","Provide CDO support for Intent","2013-05-24 04:34:19"
