"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
351122,"Mylyn Docs","HtmlText","mylyn-triaged","NEW"," ---","End tags get stripped when using the Webkit browser widget","2011-08-17 14:55:18"
386538,"Mylyn Docs","EPUB","torkildr","NEW"," ---","Set up testing of EPUB Ant task","2013-10-21 08:24:00"
442098,"Mylyn Docs","EPUB","mylyn-inbox","NEW"," ---","Automatic inclusion of referenced resources does not properly handle references above current root","2014-09-03 07:36:11"
463575,"Mylyn Docs","EPUB","mylyn-inbox","NEW"," ---","Fix building of EPUB book for documentation","2015-03-31 06:57:32"
471206,"Mylyn Docs","HtmlText","mylyn-inbox","NEW"," ---","HtmlDocumentBuilder always adds border=""0""","2015-06-27 09:32:08"
471207,"Mylyn Docs","HtmlText","mylyn-inbox","NEW"," ---","isEnableMacros() is in base API but preprocessContent() is not","2015-06-27 09:56:33"
508262,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","[asciidoc generation] several improvements","2017-03-25 00:33:20"
508529,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","extension 'md' is already registered","2016-12-05 10:37:11"
509051,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Markdown to HTML seems to miss **bold_italic_**","2016-12-12 00:51:14"
509428,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Missing text for commands.category.name","2016-12-24 10:40:20"
510931,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","[asciidoc] add support for include::[] in preview","2017-01-24 05:21:41"
511717,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","OOMPH: Error setup with new Mylyn Doc","2017-02-16 09:59:04"
512132,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Right-click Preferences dialog excludes Wikitext preference page","2017-02-13 11:43:56"
512676,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Key binding conflict in Wikitext editor","2017-02-24 04:31:15"
519479,"Mylyn Docs","Framework","mylyn-inbox","NEW"," ---","p2 repo archive (zip) missing","2017-07-10 17:45:10"
527093,"Mylyn Docs","EPUB","mylyn-inbox","NEW"," ---","Add user guide description on how to use Maven to build EPUBs","2017-11-09 18:52:06"
