"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
321072,"Mylyn Reviews","Framework","kilian.matt","NEW"," ---","Update documentation for getting involved","2010-11-08 15:11:05"
322734,"Mylyn Reviews","Tasks Connector","kilian.matt","NEW"," ---","UI Polishing","2011-09-26 03:54:32"
332591,"Mylyn Reviews","Tasks Connector","kilian.matt","NEW"," ---","separate internal name space from API","2011-05-30 19:18:19"
297439,"Mylyn Reviews","Tasks Connector","mario.bernhart","NEW"," ---","[reviews] Support for automatically attaching patch to Bugzilla after Eclipse CVS commit","2011-09-26 03:54:09"
308818,"Mylyn Reviews","Tasks Connector","mario.bernhart","NEW"," ---","Diff Editor should be larger","2011-09-24 12:44:15"
317535,"Mylyn Reviews","Tasks Connector","mario.bernhart","NEW"," ---","UI Rework","2011-09-26 03:54:43"
332593,"Mylyn Reviews","Tasks Connector","mylyn-triaged","NEW"," ---","merge o.e.m.reviews.tasks.core and o.e.m.reviews.core models","2011-04-03 21:56:33"
334611,"Mylyn Reviews","Tasks Connector","mylyn-triaged","NEW"," ---","Persist review data in textual model","2012-09-18 16:03:36"
340793,"Mylyn Reviews","Tasks Connector","mylyn-triaged","NEW"," ---","[scm] Cache task-changeset mapping","2011-04-13 17:12:45"
342870,"Mylyn Reviews","Tasks Connector","mylyn-triaged","NEW"," ---","TBR extension point für task changeset mapping","2011-04-14 16:12:20"
342871,"Mylyn Reviews","Tasks Connector","mylyn-triaged","NEW"," ---","Fix findbugs warnings","2011-04-14 16:12:14"
344087,"Mylyn Reviews","Framework","mylyn-triaged","NEW"," ---","support offline model for review modifications","2013-03-08 20:02:54"
344099,"Mylyn Reviews","Framework","mylyn-triaged","NEW"," ---","Allow adding all files to context","2012-12-19 15:58:06"
347930,"Mylyn Reviews","Gerrit Connector","mylyn-triaged","NEW"," ---","[gerrit] Add 'Create Gerrit query' to git repository context menu","2012-06-18 18:16:07"
352198,"Mylyn Reviews","Gerrit Connector","mylyn-triaged","NEW"," ---","Gerrit connector should follow redirects on login","2011-08-15 09:20:13"
354562,"Mylyn Reviews","Gerrit Connector","mylyn-triaged","NEW"," ---","decorate blocked reviews","2014-12-19 19:01:37"
357007,"Mylyn Reviews","Gerrit Connector","mylyn-triaged","NEW"," ---","set repository user name when OpenID authentication is selected","2012-02-01 09:27:25"
357239,"Mylyn Reviews","Gerrit Connector","mylyn-triaged","NEW"," ---","fetch from Gerrit dialog pre-selects wrong remote","2011-09-09 15:14:58"
357323,"Mylyn Reviews","Gerrit Connector","mylyn-triaged","NEW"," ---","support submitting from publish dialog","2014-08-14 05:59:19"
311600,"Mylyn Reviews","Tasks Connector","kilian.matt","ASSIGNED"," ---","NPE if the patch contains a file, which isn't available in the workspace","2011-09-26 03:54:20"
322736,"Mylyn Reviews","Tasks Connector","kilian.matt","ASSIGNED"," ---","Review Data synchronizing","2011-09-26 03:55:10"
337087,"Mylyn Reviews","Gerrit Connector","mylyn-triaged","REOPENED"," ---","[upstream] retrieve Gerrit configuration using Gerrit API","2015-01-06 19:29:33"
324327,"Mylyn Reviews","Framework","milesparker","RESOLVED","FIXED","Define a common model for reviews","2012-12-13 06:07:32"
355098,"Mylyn Reviews","Framework","alvsan09","RESOLVED","FIXED","[Subclipse] Use the getChangeSets Iterator api","2011-09-13 08:11:48"
355842,"Mylyn Reviews","Framework","alvsan09","RESOLVED","FIXED","[Subclipse] Very long time exiting if the subclipse connector encounters network access problems","2011-09-01 15:28:34"
344083,"Mylyn Reviews","Gerrit Connector","b.muskalla","RESOLVED","FIXED","provide content assist for repository persons","2011-05-17 18:40:10"
363226,"Mylyn Reviews","Gerrit Connector","christian.trutz","RESOLVED","FIXED","Unit tests for GerritHttpClient","2012-03-21 11:35:55"
344950,"Mylyn Reviews","Gerrit Connector","jan.von.loewenstein","RESOLVED","FIXED","DependsOn / NeededBy Sections should show the status of the other change","2011-05-06 09:43:32"
344979,"Mylyn Reviews","Gerrit Connector","jan.von.loewenstein","RESOLVED","FIXED","Gerrit timestamps are broken","2011-05-06 11:51:10"
354570,"Mylyn Reviews","Gerrit Connector","kevin","RESOLVED","FIXED","show content-type icons in patch set section","2012-03-21 11:36:49"
354753,"Mylyn Reviews","Gerrit Connector","kevin","RESOLVED","FIXED","decorate user's comments in Gerrit reviews","2012-03-21 11:36:52"
