"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
343311,"Mylyn Tasks","Framework","b.muskalla","NEW"," ---","TaskSelectionDialog causes high load","2012-01-09 14:21:06"
342313,"Mylyn Tasks","Framework","mylyn-inbox","NEW"," ---","outgoing state lost when submit fails","2011-08-18 12:22:57"
284026,"Mylyn Tasks","Bugzilla","eclipse","NEW"," ---","[upstream] support creating private comments and attachments","2012-05-23 06:40:42"
236084,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[editor] register focus listener for lazily created controls","2012-03-08 10:14:32"
238064,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","task list updated twice when partial results are returned","2011-09-27 08:09:29"
276398,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","ensure team planning fields are highlighted when changes occur","2011-09-28 06:56:56"
281007,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[patch] copy URL and Open with Browser actions should only be enabled for attachments that have URLs","2011-09-16 05:48:53"
286357,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","attachment downloading fails with NTLM authentication","2011-09-28 06:57:16"
297923,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[patch] selection items appear in the wrong layout when right to left orientation is chosen","2011-05-17 18:41:46"
328635,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","allow connectors to hide kind in tooltip","2011-02-05 16:51:03"
329312,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","unsubmitted  tasks should be grouped in Scheduled presentation mode","2011-07-21 17:55:36"
329697,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","reevaluate logout ""hack""","2011-09-28 07:51:14"
330536,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[windows] The yellow ""Insert My User ID"" icon is intractable","2011-08-11 07:45:32"
331975,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Local task is saved without prompt after switching to the context tab","2015-07-10 20:09:44"
332070,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Moving a task scheduled for this week to a category should reveal that category when focus on workweek is on","2012-02-29 13:51:36"
336298,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[api] provide task to change set mapping","2011-02-03 19:22:26"
338458,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","dragging a task to incoming schedules it for today","2011-08-26 12:48:05"
340047,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","improve scheduling support for recurring tasks","2013-06-25 14:46:58"
343211,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Incoming container should auto-expand when there are incoming tasks","2017-04-11 16:33:19"
343600,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[theme] improve task editor layout and usability","2012-01-11 09:35:24"
343779,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","When attaching from clipboard, content type is not updated if the clipboard changes","2011-11-02 04:26:23"
344386,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","IRepositoryChangeListener does not receive CREDENTIALS events from the task repository dialog","2011-09-30 14:51:19"
345041,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","no event fired when Unmatched container is created","2011-05-16 15:39:34"
346278,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","subtasks can get more than one category assigned","2012-03-05 09:05:49"
346345,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","attachment wizard should persist its size","2011-08-11 09:05:11"
348783,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","When switching to Scheduled View the Today section should be open","2012-02-09 13:14:15"
355015,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[api] provide api in tasks for opening a task from a commit message","2011-09-22 08:09:09"
360864,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","search page should honor canCreateTaskFromKey when invoked from task list","2012-02-09 15:16:07"
362508,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","read-only long_rich_text attribute missing scrollbars","2012-02-09 15:15:59"
362600,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","enable filtering of non matching subtasks by default","2011-11-01 16:27:56"
339171,"Mylyn Tasks","Framework","sam.davis","NEW"," ---","[patch] indicate changes to subtasks and CC lists in the tooltip","2012-02-15 13:05:45"
349955,"Mylyn Tasks","Framework","sam.davis","NEW"," ---","[api] move delete logic for tasks and queries to core","2013-05-12 09:20:00"
353471,"Mylyn Tasks","Framework","sam.davis","NEW"," ---","wrong task submitted on Alt+s when editor area is split","2012-07-20 17:44:36"
338352,"Mylyn Tasks","Bugzilla","eclipse","NEW"," ---","[upstream] get ""Status Whiteboard"" from configuration","2011-02-27 15:40:37"
347718,"Mylyn Tasks","Bugzilla","eclipse","NEW"," ---","create UI for private attachments","2011-09-30 16:56:57"
218896,"Mylyn Tasks","Framework","jomaroliversantos","NEW"," ---","[patch][editor] display changes of old -> new values","2016-11-25 15:00:11"
314736,"Mylyn Tasks","Framework","mik.kersten","NEW"," ---","[editor] create icons for quick outline and task list presentations","2011-02-08 16:29:34"
265346,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","[patch] support creating new Tasks/Bugs in ACCEPTED state","2011-10-04 09:54:27"
358906,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","Update Repository Configuration does not update fields in tasks created but not yet submitted","2012-04-04 02:30:28"
360895,"Mylyn Tasks","Framework","mylyn-inbox","NEW"," ---","show attachment in task editor opens it in browser instead","2011-10-18 23:59:42"
363372,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","exclude certain attributes in initializeSubTaskData","2011-11-23 10:02:09"
365937,"Mylyn Tasks","Framework","mylyn-inbox","NEW"," ---","Reply should insert quoted text at cursor","2011-12-07 12:36:45"
221162,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","Bugzilla does not handle redirects when validating","2011-09-28 06:24:03"
227015,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","[refactor] move retry handling out of BugzillaConnector to BugzillaClient","2011-09-28 07:37:51"
232417,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","installing Mylyn fails miserably without restarting immediately","2013-05-08 04:34:58"
235573,"Mylyn Tasks","Trac","mylyn-triaged","NEW"," ---","filter closed milestones","2011-09-28 08:01:06"
248154,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","Add Support SSO/Redirect on Bugzilla Login","2012-04-09 18:37:35"
255132,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","[refactor] BugzillaClient.getTaskData()","2011-09-28 07:35:29"
275419,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","[upstream] marking patch obsolete if you are not the creator gives repository error","2011-10-04 09:58:47"
286294,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","support starring of comments","2016-04-05 16:11:02"
288868,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","add test for encoding in repository config (eclipse.org)","2011-10-08 01:36:24"
290606,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[api] generalize repository configuration","2012-04-29 11:33:27"
291252,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","use a push based approach to retrieve change notifications","2012-06-20 10:57:18"
291948,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","[upstream] support closing of open bugs without resolving first","2011-10-04 06:40:50"
293403,"Mylyn Tasks","Trac","mylyn-triaged","NEW"," ---","provide improved version, component and milestone chooser (as for JIRA)","2011-12-05 08:13:58"
293741,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","new custom fields do not populate on existing tasks","2012-11-26 05:38:51"
298918,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","speed up Bugzilla tests","2011-09-28 07:47:07"
301693,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","support filtering of tasks by adjustable time span","2011-10-15 07:47:45"
304104,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[theme] improve task search","2011-10-24 13:08:52"
305127,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[releng][discovery] ensure that catalog only show features that match the installed Mylyn version","2014-02-20 10:46:45"
305446,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","""unknown repository error"" when attempting to create a new ticket to a closed product","2011-09-28 06:11:52"
308841,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","""Insert My User ID"" option is hard to use","2011-09-28 06:15:29"
312387,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","provide help text in Http authentication section","2011-07-27 07:40:29"
319357,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[api] Add and hide sections from any task editor page","2011-02-06 18:48:50"
320402,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","Mylyn Reports a Permission Denied Error, but uploads the attachment when iplog/review flag is set by a non-committer.","2011-09-28 08:21:19"
321278,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[e4] ensure that Mylyn works on Eclipse 4","2014-02-28 07:01:20"
323339,"Mylyn Tasks","Trac","mylyn-triaged","NEW"," ---","support repositories with user name and blank password","2011-09-28 08:01:05"
325228,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Duplicate entry in 'Open with' context menu for an attachment","2011-05-21 14:27:24"
326188,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Add prompt to change due date when dragging tasks in scheduled presentation","2011-04-05 14:58:27"
326432,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","add ""Clear"" action to the Unmatched container and allow deleting multiple unmatched containers","2014-02-20 10:47:08"
329300,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[api] support offline submission of attachments","2012-07-03 08:00:53"
329305,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[patch] show outgoing changes in the task tool tip in the task list","2011-09-16 05:45:27"
329637,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","do not check for stale tasks if synchronizing query on Bugzilla 3.4 or later","2011-09-28 07:57:25"
330015,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[api] provide support for constructing task list subtask hierarchy from inward task relations","2011-08-11 12:41:03"
330615,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Tasks opened from the search view are removed from navigation history","2011-08-11 08:56:34"
330726,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","consider making Uncategorized an automatic folder (was: Task in Uncategorized folder in task list remains there after adding self to CC)","2011-04-05 16:22:15"
331170,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","after dropping a task in the focused scheduled presentation, the date it was scheduled for should be expanded","2011-07-21 18:54:27"
331455,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","[windows] scroll bar on task list leaves behind blank area","2011-04-05 16:43:42"
332172,"Mylyn Tasks","Trac","mylyn-triaged","NEW"," ---","trac connector allow owner, reporter, cc with and/or","2010-12-27 14:43:51"
332254,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","provide a 'compare with' action for tasks","2012-11-22 19:17:27"
332302,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","Improve handling of keywords/custom fields","2011-04-05 17:03:03"
333516,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","support connecting/disconnecting multiple repositories at once in task repositories view","2011-04-06 07:49:06"
334302,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","operationCanceledException on submitting bug","2013-06-12 11:03:35"
335067,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Provide alternative sort order for tasks in open/activate task dialog","2011-08-11 07:57:33"
