"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
543316,"Nebula","XViewer","donald.g.dunne","NEW"," ---","Add loading debug to XViewer","2020-02-13 07:51:03"
558559,"Nebula","releng","nebula-inbox","NEW"," ---","Release 2.3.0 - Releng","2020-06-09 16:51:22"
564142,"Nebula","releng","nebula-inbox","NEW"," ---","Nebula 2.4.0 releng","2020-06-17 11:19:00"
566565,"Nebula","Other","nebula-inbox","NEW"," ---","Extend SVG support to Nebula","2020-11-01 11:52:32"
566590,"Nebula","XY Graph","nebula-inbox","NEW"," ---","Undo/Redo does not work correctly with Annotation","2020-09-02 06:13:44"
566595,"Nebula","XY Graph","nebula-inbox","NEW"," ---","Undo/Redo does not work for panning with mouse wheel","2020-10-20 12:25:57"
567041,"Nebula","releng","nebula-inbox","NEW"," ---","Release 2.5.0 releng","2020-09-16 11:55:20"
568367,"Nebula","releng","nebula-inbox","NEW"," ---","Nebula 2.4.3 releng","2020-10-29 06:38:31"
568376,"Nebula","XY Graph","nebula-inbox","NEW"," ---","Labels disappear when Axis size is small","2020-10-29 11:11:01"
561074,"Nebula","Oscilloscope","wim.jongman","NEW"," ---","Simplify dispatcher usage","2020-06-03 13:06:19"
511111,"Nebula","RichText","dirk.fauth","REOPENED"," ---","[RichText] Support render image in RichText","2019-12-12 23:46:48"
511353,"Nebula","RichText","laurent.caron","REOPENED"," ---","[RichText] Support render link and manage link interaction in RichText","2019-12-12 23:45:42"
501185,"Nebula","STW","ahmahran","RESOLVED","FIXED","Cached images have different sizes when the corresponding controls are resized","2018-03-12 09:13:08"
485784,"Nebula","CDateTime","akurtakov","RESOLVED","FIXED","Some cleanup of CDateTime","2016-02-11 16:32:31"
513317,"Nebula","Visualization","baha.elkassaby","RESOLVED","FIXED","Add possibility to invert axes","2017-03-28 06:26:52"
516900,"Nebula","XY Graph","baha.elkassaby","RESOLVED","FIXED","Add methods to data provider interface to enable log scales to be automatically set properly","2017-10-21 07:23:52"
518233,"Nebula","XY Graph","baha.elkassaby","RESOLVED","FIXED","Avoid override-able methods calls in constructor","2017-10-25 09:06:26"
519392,"Nebula","XY Graph","baha.elkassaby","RESOLVED","FIXED","Add Diamond Light Source test and example contributions","2017-10-25 09:07:11"
519702,"Nebula","XY Graph","baha.elkassaby","RESOLVED","FIXED","Add ability to create a ColorMapRamp with a custom scale","2017-10-25 09:08:10"
520022,"Nebula","XY Graph","baha.elkassaby","RESOLVED","FIXED","Y Axis label positioning could be better displayed in DAxis implementation","2017-07-31 07:08:18"
525635,"Nebula","XY Graph","baha.elkassaby","RESOLVED","FIXED","[XYGraph] Missing text in annotations","2017-10-26 09:07:15"
499293,"Nebula","STW","cantupolo","RESOLVED","FIXED","UI flickers at the start of the transition animation on Linux.","2016-09-12 05:38:26"
500901,"Nebula","STW","cantupolo","RESOLVED","FIXED","Cached images are not disposed before replacement and cache updates","2016-09-12 10:40:13"
486364,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Grid cleanup","2016-01-22 11:35:15"
491882,"Nebula","Grid","caosmpz","RESOLVED","FIXED","IllegalArgumentException below DefaultCellRenderer.paint","2017-04-14 09:03:39"
495869,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Virtual GridTableViewer: setInput causes NullPointerException","2016-09-12 05:42:23"
525390,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Wrong calculation of gridcolumn width  on last version","2018-04-28 11:19:18"
530002,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Performance enhancements for Grids with a large number of columns","2018-03-18 05:25:33"
532560,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Grid source cleanup","2018-03-19 11:33:10"
566682,"Nebula","PromptSupport (Opal)","dariusz.michura","RESOLVED","FIXED","The prompt text does not disappear when Text widget gathers the focus","2020-09-11 11:51:00"
490734,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","[RichText] setBounds(Rectangle) broken with Neon","2016-03-30 16:58:12"
491766,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","adding button to ToolbarConfiguration doesn't work -> a lazy way should be available","2016-04-15 15:26:57"
498392,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","[RichText] Create a more general configuration design","2016-08-11 16:32:18"
500098,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","Font is not correctly applied via new GC(Drawable)","2016-08-24 04:29:48"
501437,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","Permission refuse error when use setText on a RichTextEditor","2016-09-15 11:40:48"
501568,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","[RichTextPainter] IllegalArgumentException when encountering nested spans","2016-09-19 03:40:10"
507224,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","Cleanup/correct OSGi meta-data","2016-12-01 16:21:27"
508797,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","Background color not applied","2016-12-07 10:30:47"
509037,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","Change visibility of RichTextEditorConfiguration(ToolbarConfiguration)","2016-12-11 09:34:14"
514496,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","[RichText] Upgrade version of CKEditor","2019-09-20 14:46:42"
541345,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","Richtext cells calculate wrong height","2018-12-06 14:41:59"
543044,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","locale error","2019-04-15 07:21:02"
547915,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","IllegalArgumentException when trying to print","2019-06-06 05:47:53"
566992,"Nebula","RichText","dirk.fauth","RESOLVED","FIXED","Scaling issues on high DPI screens","2020-10-29 06:43:00"
495226,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Add missing null check","2016-09-12 05:43:13"
499201,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Provide XViewer.setLoading for extensions","2016-09-12 05:40:09"
499620,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Adding precomputed column does not display contents till refresh","2016-09-12 05:39:10"
500710,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Children and added items do not show pre-computed column data","2016-09-12 05:31:01"
501747,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Add unparameterized constructor for SortingData","2016-09-20 15:28:06"
506867,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Update Date Sorter to use Dates and not Strings","2017-02-15 07:43:27"
506948,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Customize Data selection not displaying name","2017-02-15 07:43:07"
521831,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Update checkbox.shared in XViewer_de.properties","2017-10-25 06:29:09"
527615,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Long time to switch back to default view","2019-04-14 12:29:15"
546018,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Grey lines don't highlight in Resource History search","2019-04-27 12:33:51"
546069,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Filtering by Value reads special characters as regex","2019-04-27 12:36:13"
549093,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","sort order of XViewerColumn is not retained on copy","2020-01-05 13:42:52"
559648,"Nebula","XViewer","donald.g.dunne","RESOLVED","FIXED","Convert XViewer column multi edit to use filtered dialog","2020-01-28 21:46:18"
506623,"Nebula","Oscilloscope","eclipse","RESOLVED","FIXED","Split the plotter from the scope","2017-06-08 18:17:05"
510847,"Nebula","Oscilloscope","eclipse","RESOLVED","FIXED","Plotter: IllegalArgumentException below Plotter.<init> (thrown in Control._setBackground)","2017-05-25 04:26:06"
530922,"Nebula","Core","Ed.Merks","RESOLVED","FIXED","org.eclipse.nebula.cwt.base.BaseCombo doesn't position correctly depending on the monitor","2018-03-15 08:52:51"
532487,"Nebula","releng","Ed.Merks","RESOLVED","FIXED","Nebula's Oomph.setup doesn't work anymore","2018-03-15 08:54:04"
485173,"Nebula","CDateTime","glenn.burkhardt","RESOLVED","FIXED","Null pointer exception in CDateTimeObservableValue.java","2018-03-27 11:27:35"
521082,"Nebula","CDateTime","glenn.burkhardt","RESOLVED","FIXED","CDateTime widget prev month bugs","2017-10-19 16:21:19"
