"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
498436,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Location of OSGi interfaces","2016-07-26 17:13:27"
518275,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Obix Operation Object doesn't support input parameter","2017-06-14 21:01:01"
518620,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Implement and enhance Announcement feature","2017-06-22 05:41:03"
519476,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Wrong mapping in org.eclipse.om2m.commons.entities.LabelEntity class","2017-07-10 16:22:09"
521154,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Group resource: empty member IDs must be  allowed","2017-08-19 18:35:45"
522098,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Undetermined order of contentInstances when adding them fast","2017-09-10 13:19:39"
527022,"OM2M","Samples","om2m-inbox","UNCONFIRMED"," ---","Build project in eclipse","2019-06-18 11:39:31"
527649,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Use DTO instead of JAXB","2017-11-22 21:44:31"
527914,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Remotecse with HTTPS only POA","2017-11-29 07:29:58"
528939,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Cache problem when deleting containers (and possible solution)","2017-12-19 05:40:07"
530085,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","After step: Select “org.eclipse.om2m” package and right click. Select “Run as -> maven install”.","2019-06-18 11:36:18"
530736,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","""la"" does not return the latest content instance","2018-02-05 09:02:21"
530993,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Notification mime media type is hard-coded","2018-02-10 11:59:36"
534069,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Unable to create ACR(AccessControlRuleEntity) entity when changing to MySQL DB","2018-04-25 22:09:21"
535438,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","NullpointerException when sending CoAP message to IN-CSE","2018-06-01 04:13:26"
539650,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","<group> and <subscription> failure when using mongodb","2018-09-29 17:35:35"
544131,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Implementation of the semantic functionalities described in oneM2M's technical specification as of rel. 2.","2019-02-05 12:08:24"
544738,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Automatically fill <node> resource's hostedAELinks attribute","2019-02-23 17:09:35"
545142,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Version OM2M-DEV-20112018: Indirect deleting a subscription does not send a deletion notification","2019-03-06 13:24:57"
553431,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","notification content has incorrect format","2019-11-25 11:50:28"
498374,"OM2M","Platform","benalaya","NEW"," ---","FlexContainer feature support","2016-07-26 09:23:38"
498387,"OM2M","Platform","benalaya","NEW"," ---","Smart Device Template (SDT) support","2017-06-14 20:52:34"
488268,"OM2M","Platform","om2m-inbox","NEW"," ---","Import of javax.mail project","2016-02-25 03:29:42"
488269,"OM2M","Platform","om2m-inbox","NEW"," ---","Timeout bug when receiving a request with no body","2016-02-23 03:47:45"
509061,"OM2M","Platform","om2m-inbox","NEW"," ---","Web interface unresponsive with 10k of data","2016-12-20 07:35:39"
509062,"OM2M","Platform","om2m-inbox","NEW"," ---","Missing data from database when using multiple fast clients","2016-12-20 07:34:20"
510104,"OM2M","Platform","om2m-inbox","NEW"," ---","Uri parameter in MQTT payload is not trim","2017-01-09 08:12:33"
518118,"OM2M","Platform","om2m-inbox","NEW"," ---","<flexContainer> should support discovery features","2017-06-12 08:51:40"
519198,"OM2M","New Features","om2m-inbox","NEW"," ---","Support OSGi Device Abstraction Layer Interworking","2017-10-04 12:09:00"
501266,"OM2M","Platform","benalaya","ASSIGNED"," ---","ACP automatically created when an AE is created dosn't have ty=1","2016-10-17 07:08:48"
520517,"OM2M","Platform","benalaya","ASSIGNED"," ---","Performance for thousands of resources issue","2017-08-05 17:29:02"
488769,"OM2M","Platform","om2m-inbox","REOPENED"," ---","Create Content instance by retargeting from a plugin giving an  internal error","2016-03-02 06:25:52"
494086,"OM2M","Platform","aissaoui","RESOLVED","FIXED","Top level node in JSON representation now with m2m: prefix","2016-06-01 06:19:44"
497579,"OM2M","Platform","aissaoui","RESOLVED","FIXED","Unwanted deletion of AEs having the name of the wanted deleted AE as a prefix","2016-07-12 14:12:47"
507560,"OM2M","Platform","aissaoui","RESOLVED","FIXED","Query string duplication in Router","2017-03-24 09:20:03"
507561,"OM2M","Platform","aissaoui","RESOLVED","FIXED","HTTP Client does not close properly in some Exception cases","2016-11-17 04:16:28"
491791,"OM2M","Platform","benalaya","RESOLVED","FIXED","Enable resource name attribute in creation request","2016-04-16 07:17:07"
491796,"OM2M","Platform","benalaya","RESOLVED","FIXED","Support JSON content format","2016-04-16 08:43:02"
491797,"OM2M","Platform","benalaya","RESOLVED","FIXED","Support of CoAP binding","2016-04-16 08:04:52"
492961,"OM2M","Platform","benalaya","RESOLVED","FIXED","Missing Access check for Notify requests","2016-06-01 06:22:36"
498911,"OM2M","Platform","benalaya","RESOLVED","FIXED","Error in Access Right verification for PoA notification","2016-07-30 10:56:46"
507443,"OM2M","Platform","benalaya","RESOLVED","FIXED","Use JSON format by default for notifications.","2017-01-11 05:22:23"
521207,"OM2M","Platform","benalaya","RESOLVED","FIXED","Old contentInstances are still discovered after Container reaches mni","2018-12-20 08:00:25"
494087,"OM2M","Platform","om2m-inbox","RESOLVED","FIXED","Change in some oneM2M Constants","2016-06-01 06:21:45"
494090,"OM2M","Platform","om2m-inbox","RESOLVED","FIXED","Enable wildcard for AccessControll originators","2016-06-01 06:21:10"
494262,"OM2M","Platform","om2m-inbox","RESOLVED","FIXED","Compilation error: Missing imports","2016-05-23 03:57:55"
