"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
323772,"OSEE","OSEE Application Framework","nobody","NEW"," ---","SimpleCheckFilteredTreeDialog needs a selectAll button","2011-02-18 15:38:05"
331965,"OSEE","OSEE Application Framework","nobody","NEW"," ---","Testing of copy of allowed attribute in not working correctly","2010-12-14 13:20:16"
310887,"OSEE","Application Development","osee.appdev-inbox","NEW"," ---","fetch problem, an empty feature.xml file is being created during build attempt","2010-04-30 08:42:17"
311060,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","Allow a relation, or some other link, between artifact(s) and a defect entry in ATS","2010-04-29 12:42:21"
313355,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","Auto-created review names could be more helpful","2010-05-18 09:58:19"
317285,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","Blocking review still blocks transition if associated state is changed","2010-06-18 07:23:05"
285394,"OSEE","Define","osee.define-inbox","NEW"," ---","Allow page orientation and size to be inserted in Word content","2010-03-04 15:29:57"
308481,"OSEE","Define","osee.define-inbox","NEW"," ---","Indicate changes in Artifact Explorer when opened from a Change Report","2010-04-13 04:43:07"
328584,"OSEE","Define","osee.define-inbox","NEW"," ---","Change Artifact Type BLAM no longer works in OSEE 0.9.4","2010-10-25 06:09:05"
294620,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Error written to .metadata/.log when initialising the database - PostgreSQL","2010-04-28 07:28:44"
296908,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","E-mail sent using SMTP would be better from the server side","2010-04-02 00:43:13"
298315,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Difficult to find a branch to select when hierarchy is deep","2009-12-21 12:01:07"
299614,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Add capability to specify port number for mail","2010-01-14 04:57:16"
306966,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Request for OSEE ""symlinks"" to allow artifacts to appear in more than one place in the tree","2010-09-21 13:32:08"
307174,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Some errors that the application server knows about are not propagated to the client","2010-04-02 01:50:24"
308666,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","osee.map path does not consistent with the svn website location","2010-04-09 16:22:08"
309322,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Add capability to specify multiple lines for a string attribute","2010-04-21 15:36:53"
309840,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Be able to specify the order in which attributes appear in the Artifact Editor","2010-04-23 14:12:24"
309998,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Import artifacts using parser method ""Excel XML Artifacts"" does not allow an artifact type to be selected","2010-04-26 13:54:44"
310167,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","New Skywalker layout ""List"" proposal","2010-04-22 13:45:31"
310975,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Would be better if Artifact Search remembered the last branch used between OSEE sessions","2010-04-29 04:55:34"
311592,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","""Drag-and-drop"" of artifacts from one branch to another loses relations","2010-05-04 13:52:47"
311593,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Allow ""drag-and-drop"" between branches of an artifact hierarchy","2010-05-05 14:04:16"
314911,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Make ""New Child"" remember the type of artifact last created","2010-06-11 06:47:55"
316300,"OSEE","Website","osee.framework-inbox","NEW"," ---","Exception when starting OSEE 0.9.4 application server on postgresql with earlier 0.9 database","2010-06-11 04:09:00"
316743,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Option 0) to create a database for importing branches is not accepted in 0.9.4","2010-06-14 07:21:54"
316758,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Type model: Can no longer specify a defaultValue which is an empty string","2010-06-14 09:42:55"
328271,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Unable to merge a branch with artifacts having enumerated attributes with values that are not in the enumeration","2010-10-20 13:32:53"
328336,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Quick Search for GUID does not appear to work","2010-10-21 06:54:33"
328389,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Commit fails with NullPointer exception","2010-11-05 06:47:49"
329527,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Merge sometimes fails with artifact not found on branch error when an artifact has been deleted","2010-11-05 06:47:32"
340989,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Move OSEE from under the Technology Project to the Mylyn Project","2011-03-30 19:22:41"
344340,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Cannot install OSEE using an update site...fails when collecting items to be installed.","2011-04-29 15:38:47"
360777,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Application server launch fails with a ""Server lookup table not initialized""","2011-10-13 04:31:30"
318805,"OSEE","Website","osee.website-inbox","NEW"," ---","Old Reference to Old Eclipse Version","2010-07-04 02:29:13"
343587,"OSEE","Website","osee.website-inbox","NEW"," ---","The link to ""Downloading and Configuring Eclipse"" from the developer's guide is broken","2011-04-21 12:51:35"
324702,"OSEE","OSEE Test Environment (OTE)","walter.vorhees","NEW"," ---","testwait < 2 milliseconds causes freeze","2011-03-28 15:39:23"
283782,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Creating a new artifact of type General Document is not properly handeled","2010-04-06 15:32:43"
284723,"OSEE","OSEE Application Framework","ryan.schmitt","ASSIGNED"," ---","OSEE doesn't work on Mac OS X","2010-04-07 14:24:40"
367598,"OSEE","OSEE Application Framework","misinco","ASSIGNED"," ---","Creating session with existing Postgres Db throws Artifact User not found exception","2012-01-13 03:32:53"
286372,"OSEE","OSEE Application Framework","roberto.e.escobar","ASSIGNED"," ---","Improve object model creation","2010-03-30 20:00:27"
313415,"OSEE","OSEE Application Framework","ryan.d.brooks","ASSIGNED"," ---","Have case insensitive lookup of user names for clients running Windows","2010-05-24 20:16:21"
340418,"OSEE","OSEE Application Framework","ryan.d.brooks","ASSIGNED"," ---","resource server address cannot be null","2011-04-03 04:28:58"
291515,"OSEE","OSEE Application Framework","ryan.schmitt","ASSIGNED"," ---","Import error for org.eclipse.osee.framework.core.operation.LogProgressMonitor when building application server","2009-11-06 15:39:13"
