"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
390406,"OSEE","Application Development","osee.appdev-inbox","NEW"," ---","Project Management modules","2012-10-05 00:55:31"
395688,"OSEE","Application Development","osee.appdev-inbox","NEW"," ---","Two serial ANDs in the SQL request (i.e. <1-st part of SQL request> AND AND <2-nd part of SQL request>)","2012-12-04 06:21:03"
399060,"OSEE","Application Development","osee.appdev-inbox","NEW"," ---","contribution of  fragments for osee enhancements","2013-01-25 05:25:50"
385449,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","Package org.eclipse.osee.ats.workdef.viewer in plugin org.eclipse.osee.ats is not exported","2013-04-23 12:34:31"
387858,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","How to extend OSEE's Workflow editor ?","2012-10-11 22:40:00"
392817,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","Contributing actions for Team WorkFlow Search editor","2012-10-25 14:36:55"
406422,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","Add ability to auto add new Actions to Goals","2013-04-24 07:40:35"
458014,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","NEW"," ---","Kanban board in OSEE","2015-02-18 04:38:51"
373623,"OSEE","Define","osee.define-inbox","NEW"," ---","Pop-up contributions are not possible for ArtifactExplorer","2012-03-08 14:38:49"
368332,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Import branches into OSEE database","2012-01-11 06:49:16"
368408,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","remove session entries when client close the connection","2012-01-12 00:48:09"
368414,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","New Osee Types definition doesnot reflect untill a server restart.","2012-01-12 03:19:38"
368422,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Export wizard ui is distorted","2012-10-11 22:40:04"
369049,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Export only selected branch data is not possible","2012-01-19 05:14:20"
370518,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","OSEE Collaboration Opportunities","2012-02-03 11:25:05"
387675,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","OSEE uses windows login id as unique userid to create the users but it is case sensitive","2013-04-23 12:35:26"
391330,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Drag and drop is not working for Linux OS","2013-04-23 12:38:10"
392312,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","No authentication dialog at startup","2012-10-18 05:28:30"
392710,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","DB initialization using DBConfig.launch configuration","2012-10-24 01:41:38"
393022,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","A new Constructor for Class XmlTextInputStream with byte as the argument","2012-10-29 07:12:00"
397662,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Getting Too many clients error","2013-01-08 06:26:30"
399239,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Branch import command (osee branch_import) does nothing","2013-01-28 05:54:50"
425198,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","Problem with send of e-mails containing non-english national character set (e.g. Russian)","2014-01-09 09:44:00"
429508,"OSEE","OSEE Application Framework","osee.framework-inbox","NEW"," ---","OSEE HIPP job not cleaning up","2014-03-03 16:13:32"
371349,"OSEE","OSEE Test Environment (OTE)","osee.ote-inbox","NEW"," ---","Exception while creating a test run  in OTE","2012-10-11 22:40:01"
371459,"OSEE","OSEE Test Environment (OTE)","osee.ote-inbox","NEW"," ---","Test manager is missing in OTE","2012-02-14 04:19:29"
434766,"OSEE","OSEE Test Environment (OTE)","osee.ote-inbox","NEW"," ---","OSEE Tests are not cleaning up after themselves","2014-05-13 10:49:44"
399352,"OSEE","Website","osee.website-inbox","NEW"," ---","OSEE Client install fails","2013-01-28 23:23:43"
419943,"OSEE","OSEE Application Framework","Sumy.Joseph","NEW"," ---","authentication based on oauth","2013-11-20 23:59:34"
393209,"OSEE","OSEE Application Framework","Angel.Avila2","ASSIGNED"," ---","Add ""Show Port Branches"" preference to Branch View","2013-03-26 14:31:28"
393725,"OSEE","OSEE Application Framework","Angel.Avila2","ASSIGNED"," ---","Word Diff Util Crashes with too many files being compared","2013-03-26 14:24:03"
401748,"OSEE","OSEE Application Framework","Angel.Avila2","ASSIGNED"," ---","Change format of Coverage Detailed Report to Excel format","2013-03-26 14:32:24"
404319,"OSEE","OSEE Application Framework","Angel.Avila2","ASSIGNED"," ---","Import with SQLite not finding db file","2013-03-26 01:14:30"
404320,"OSEE","OSEE Application Framework","Angel.Avila2","ASSIGNED"," ---","Import Coverage Methods corrupts Coverage Package data","2013-03-26 01:15:19"
405417,"OSEE","OSEE Application Framework","Angel.Avila2","ASSIGNED"," ---","Server data becomes stale after Purge Branch","2013-04-10 19:16:59"
405658,"OSEE","OSEE Application Framework","john.j.szijjarto","ASSIGNED"," ---","Fix eviction of Idle JDBC Connections","2013-04-15 16:39:57"
385447,"OSEE","Action Tracking System (ATS)","osee.ats-inbox","ASSIGNED"," ---","Need to use custom id for workflow","2012-10-11 22:52:41"
397733,"OSEE","OSEE Application Framework","roberto.e.escobar","ASSIGNED"," ---","svn plugins in osee update site","2013-02-28 00:02:36"
391651,"OSEE","OSEE Application Framework","ryan.d.brooks","ASSIGNED"," ---","Migration of  OSEE from 0.10.0 to 0.10.2","2012-10-15 06:07:46"
379076,"OSEE","Action Tracking System (ATS)","Sumy.Joseph","ASSIGNED"," ---","Restrict Assignees selection to a User or User groups attached to the Team.","2012-10-12 00:20:40"
370391,"OSEE","OSEE Application Framework","swapna.r","ASSIGNED"," ---","Make clients more robust by adding server failover support","2012-02-08 23:58:15"
400629,"OSEE","OSEE Test Environment (OTE)","walter.vorhees","ASSIGNED"," ---","Need to filter bad xml characters from test prompts","2013-02-27 23:59:23"
396444,"OSEE","OSEE Application Framework","Angel.Avila2","RESOLVED","FIXED","ArtifactQuery.getArtifactByTypeAndName does not support query options","2013-03-27 20:44:48"
396655,"OSEE","OSEE Application Framework","Angel.Avila2","RESOLVED","FIXED","TestUnitNames for Coverage not saving correctly","2013-03-27 20:45:16"
397931,"OSEE","OSEE Application Framework","Angel.Avila2","RESOLVED","FIXED","TestUnitCache does not handle events","2013-03-27 20:45:39"
