"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
310922,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[refactoring] implement more checks for MoveInstanceMethod","2010-06-29 10:09:28"
311869,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[assist] quickfix for adjusting signature mismatch in method binding","2010-05-06 08:49:28"
316587,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[compiler] Problems should be categorized systematically","2010-06-29 10:05:29"
316603,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[compiler] Minimize retention of byte code","2010-06-29 10:06:12"
316607,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[wizard][dialog] Improve maintainability of UI code","2014-04-21 19:25:53"
316692,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[otmodel] Anonymous classes not completely handled in OT-model","2010-06-29 10:09:11"
316699,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[debug] Step-into-selection does not work for all OT situations","2010-06-29 10:13:26"
326843,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[otmodel] need binding keys for phantom types","2010-10-02 14:11:04"
338593,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[otmodel] Add new API to ease the retrieval of the parameter annotations for an IMethodMapping","2011-05-08 15:07:49"
356670,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[debug] don't mark AJDT launches with org.eclipse.objectteams.launch","2011-09-03 16:16:31"
374839,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","freeze during complete in Parser.checkNonNLSAfterBodyEnd","2012-03-20 18:47:58"
376315,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","Cannot find role file source from binary","2020-03-06 16:59:38"
410245,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[refactoring] renaming an argument with declared lifting via Change Method Signature fails with IOOBE","2013-06-07 17:48:53"
414503,"Objectteams","OTMvn","objectteams.otdt-inbox","NEW"," ---","Special support for weaving into system classes also for the build-time weaver","2013-08-06 11:08:59"
469471,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","ArrayIndexOutOfBoundsException in AssistParser.popElement (1912)","2015-06-09 12:12:29"
497362,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","No boldface highlighting of proposals on Neon","2016-07-06 03:50:01"
515176,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","Test suite is not executable from within the IDE if the path to the IDE contains spaces.","2017-04-12 08:14:03"
520732,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","Source code has no common style","2017-08-10 10:54:32"
315441,"Objectteams","OTEquinox","objectteams.otequinox-inbox","NEW"," ---","Consider activation of nested team","2010-06-02 14:08:56"
316547,"Objectteams","OTEquinox","objectteams.otequinox-inbox","NEW"," ---","Make OT/Equinox fully aware of multiple ClassLoaders","2010-06-29 10:04:40"
507107,"Objectteams","OTEquinox","objectteams.otequinox-inbox","NEW"," ---","[otdre] more lazyness","2020-08-09 08:31:53"
507108,"Objectteams","OTEquinox","objectteams.otequinox-inbox","NEW"," ---","Warn when nested team with bound roles has no aspectBinding","2020-03-06 16:59:36"
310881,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler] Inferred callout for compound statements","2010-06-29 10:01:40"
311511,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler] Support @ImplicitTeamActivation for callouts","2010-05-04 07:04:56"
316611,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler][otre] Measure and avoid penalties due to unnecessary lifting","2010-06-11 09:56:03"
316615,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[otre][compiler] Optimize implementation of role-of-role","2010-06-29 10:06:34"
323074,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","NPE thrown from base class's equals() causes role creation to fail","2010-08-18 14:29:58"
326052,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler] problems with team ctors with declared lifting in specific inheritance situations","2010-09-23 09:16:49"
329967,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[otmodel] stack overflow if role extends itself","2010-11-10 19:21:59"
355296,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[otjld] consider lifting of collections of base objects","2011-08-20 10:41:44"
355441,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","illegal bytecode for team constructor with declared lifting and field access","2011-08-22 17:02:35"
393673,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler] copied team constructor cannot access private field","2012-11-06 10:20:48"
