"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
527354,"Orion","Editor","libingw","NEW"," ---","codeEdit: Investigate a way to replace the ""require 'text!*****.html'"" code pattern for inline html fragment.","2018-01-31 14:14:39"
518404,"Orion","Client","orion.client-inbox","NEW"," ---","TypeError: Cannot read property 'ownerDocument' of null","2018-05-15 15:18:14"
521027,"Orion","Electron","orion.client-inbox","NEW"," ---","Implement editor tabs restoration using workspace prefs and also fix all electron related prefs problem","2018-01-31 14:39:31"
525502,"Orion","Electron","orion.client-inbox","NEW"," ---","Enable debugger inside electron","2018-01-31 14:19:19"
525515,"Orion","Editor","orion.editor-inbox","NEW"," ---","CF can't login, because of ""You are using a federated user ID, please use one time code to login with option --sso.""","2018-01-31 14:19:06"
526236,"Orion","Node","orion.server-inbox","NEW"," ---","Tweak mocha test to test multiuser case","2018-01-31 14:16:18"
526370,"Orion","Node","orion.server-inbox","NEW"," ---","Respond to cf push ""Crashed"" faster instead of timeout","2018-01-31 14:15:16"
518549,"Orion","Client","ashamand","NEW"," ---","BIDI Islamic national calendar is not supported in date stamps","2017-10-26 16:05:59"
397767,"Orion","Client","Carolyn_MacLeod","NEW"," ---","accessibility of dialogs","2017-10-06 13:01:17"
526266,"Orion","Git","Carolyn_MacLeod","NEW"," ---","Remove unused IDs in Reference dropdown on git page","2017-10-19 12:14:24"
427171,"Orion","Client","emoffatt","NEW"," ---","Find File dialog should not resize/redraw unnecessarily (should we use a different dialog?)","2015-08-27 11:03:14"
432955,"Orion","Client","emoffatt","NEW"," ---","Failed upload does not show error","2015-05-08 09:55:48"
517008,"Orion","Client","emoffatt","NEW"," ---","Dialogs, drop menus and drop sections should trap focus while traversing with tab key","2017-10-19 17:10:23"
438182,"Orion","Editor","grant_gayed","NEW"," ---","markdown editor spell checking","2017-01-06 15:40:38"
438183,"Orion","Editor","grant_gayed","NEW"," ---","markdown editor keybindings","2017-01-06 15:41:06"
438187,"Orion","Editor","grant_gayed","NEW"," ---","markdown editor warning annotations","2017-01-06 15:42:44"
457639,"Orion","Git","grant_gayed","NEW"," ---","problems after attempting to discard file with compare editor changes","2017-01-07 04:37:32"
473295,"Orion","Git","grant_gayed","NEW"," ---","TypeError: Cannot read property 'StashLocation' of undefined (in gitStash.js)","2017-01-06 15:34:17"
488063,"Orion","Git","grant_gayed","NEW"," ---","TypeError: Cannot read property 'DiffLocation' of undefined (in gitCommands.js)","2017-01-06 15:30:46"
488515,"Orion","Client","grant_gayed","NEW"," ---",".md viewer draws outside of its bounds when veritical","2017-01-06 15:30:23"
497097,"Orion","Editor","grant_gayed","NEW"," ---","Bracket matching is broken if section patterns are followed by a block pattern in grammar","2017-01-06 15:28:35"
509166,"Orion","Git","grant_gayed","NEW"," ---","some text styling not being applied in compare texts","2017-01-06 15:27:58"
518020,"Orion","Electron","orion.client-inbox","NEW"," ---","[Electron] Change Open Folder to Open Workspace, and related changes","2018-01-31 14:48:58"
520312,"Orion","Electron","orion.client-inbox","NEW"," ---","[Linux]Orion is not fully shut down when user hit close button on the top right.","2018-01-31 14:39:49"
521601,"Orion","JS Tools","orion.client-inbox","NEW"," ---","The descriptions for JSDoc tag assist proposals are english only","2018-05-15 15:20:17"
522549,"Orion","JS Tools","orion.client-inbox","NEW"," ---","Should be able to type F3 to go to i18n! file","2017-10-10 09:46:55"
526102,"Orion","Client","orion.client-inbox","NEW"," ---","Streamline Open File + Goto Line","2017-10-16 14:19:12"
526772,"Orion","Client","orion.client-inbox","NEW"," ---","""Show Problems..."" for minesweeper-objects runs forever","2017-11-02 11:04:42"
526904,"Orion","Electron","orion.client-inbox","NEW"," ---","Pressing 'git' icon does not take you to the repo corresponding to the project","2018-01-31 14:14:57"
526985,"Orion","Electron","orion.client-inbox","NEW"," ---","Newly added Git repo does not show up in file navigator","2017-11-08 08:01:09"
