"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
38846,"PDE","UI","pde-ui-inbox","NEW"," ---","Plugin import - could import from a ZIP archive","2016-09-10 12:49:28"
11961,"PDE","UI","platform-ui-triaged","ASSIGNED"," ---","[MPE] Plugin Manifest editor very difficult to navigate","2016-11-10 12:00:57"
5395,"PDE","UI","dejan","RESOLVED","FIXED","Can't launch Eclipse from Eclipse","2001-12-01 23:36:03"
5733,"PDE","UI","dejan","RESOLVED","FIXED","Computed classpath is incorrect when referencing workspace plug-ins","2002-01-22 11:03:14"
6065,"PDE","UI","dejan","RESOLVED","FIXED","Mnemonics on plugin editor's pages conflict with menus","2002-05-20 21:41:04"
9261,"PDE","UI","dejan","RESOLVED","FIXED","Decorators cause eager plugin activation","2002-06-05 12:01:34"
9498,"PDE","UI","dejan","RESOLVED","INVALID","Synchronizing versions between plug-in and fragment fails","2002-04-15 17:01:41"
9499,"PDE","UI","dejan","RESOLVED","FIXED","Fails to creating Jar file for the fragment","2002-04-15 16:59:50"
10565,"PDE","UI","dejan","RESOLVED","FIXED","Project detected as binary during import","2002-05-06 11:09:12"
11399,"PDE","UI","dejan","RESOLVED","FIXED","Errors on startup with closed projects and binary decorators on","2002-03-14 17:13:51"
11913,"PDE","UI","dejan","RESOLVED","FIXED","White border at top of plugin.xml editor hides text in High Contrast Black","2002-04-17 14:05:05"
13010,"PDE","UI","dejan","RESOLVED","WORKSFORME","invalid launch configuration with fresh workspace","2002-04-15 10:59:38"
13087,"PDE","UI","dejan","RESOLVED","FIXED","PDE schema editor does not correctly handle <> markup tags in text","2002-04-30 19:22:39"
13091,"PDE","UI","dejan","RESOLVED","FIXED","Schema editor text widget does not refresh","2002-04-30 18:24:57"
13359,"PDE","UI","dejan","RESOLVED","FIXED","NPE when creating new plugin project","2002-04-17 23:23:55"
13930,"PDE","UI","dejan","RESOLVED","FIXED","Extension Wizard Selection Dialog accessibility problems","2002-04-22 17:33:35"
13931,"PDE","UI","dejan","RESOLVED","FIXED","Internal Error looking in the properties view","2002-05-03 11:52:19"
13936,"PDE","UI","dejan","RESOLVED","FIXED","Dependencies Page not keyboard accessible","2002-04-17 15:40:58"
13938,"PDE","UI","dejan","RESOLVED","FIXED","Runtime page does not allow editing of new filters","2002-04-19 16:53:48"
13945,"PDE","UI","dejan","RESOLVED","FIXED","NPE opening editor","2002-04-22 17:13:10"
13977,"PDE","UI","dejan","RESOLVED","FIXED","i always have to import some plugins twice","2002-05-07 15:58:47"
14233,"PDE","UI","dejan","RESOLVED","FIXED","Conflicting mnemonic on import wizard","2002-04-20 12:53:32"
14275,"PDE","UI","dejan","RESOLVED","FIXED","Manifest editor crashes on invalid version number","2002-04-20 13:29:46"
14303,"PDE","UI","dejan","RESOLVED","FIXED","Self-hosted workspace can alter host IDE","2002-05-07 15:58:00"
14615,"PDE","UI","dejan","RESOLVED","FIXED","Opening feature.xml editor nukes contents","2002-05-02 16:52:07"
14787,"PDE","UI","dejan","RESOLVED","FIXED","Many of the hyperlinks in the Overview page do nothing","2002-04-29 18:12:52"
14790,"PDE","UI","dejan","RESOLVED","WORKSFORME","Widget is disposed error","2002-05-09 15:42:23"
14792,"PDE","UI","dejan","RESOLVED","WONTFIX","NPE using the Preference Page wizard","2002-05-09 15:43:41"
14860,"PDE","UI","dejan","RESOLVED","FIXED","Folder generation aborts after one folder is skipped","2002-04-29 15:53:24"
14869,"PDE","UI","dejan","RESOLVED","FIXED","Binary flag is not reset after the bin directory is copied","2002-04-29 15:56:23"
15007,"PDE","UI","dejan","RESOLVED","WORKSFORME","NPE in TargetPlatform.createPropertiesFile","2002-05-09 15:44:34"
15053,"PDE","UI","dejan","RESOLVED","FIXED","Fragments not picked up on import","2002-05-03 11:54:28"
15136,"PDE","UI","dejan","RESOLVED","FIXED","ClassCastException in Launch Configurations dialog","2002-05-02 16:42:20"
15281,"PDE","UI","dejan","RESOLVED","FIXED","Feature XML Editor Content pane New plugin pane problems","2002-05-08 19:38:00"
15285,"PDE","UI","dejan","RESOLVED","FIXED","No way to add Feature icon through Feature editor","2002-05-07 15:49:51"
15341,"PDE","UI","dejan","RESOLVED","FIXED","Support for alternative source locations","2002-05-07 15:49:16"
15455,"PDE","UI","dejan","RESOLVED","FIXED","StackOverFlowError in PDE editor","2002-05-20 22:33:07"
15457,"PDE","UI","dejan","RESOLVED","WORKSFORME","Navigation problems in the PDE editor","2002-05-07 14:46:27"
15498,"PDE","UI","dejan","RESOLVED","FIXED","Stale text in Import Plug-ins and Fragments dialog","2002-05-09 14:04:46"
