"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
498101,"PTP","PLDT","com-eclipse-dot-org","NEW"," ---","Refactorings for OpenACC","2016-07-19 15:14:20"
487022,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","Improvements to Fortran autocomplete","2016-02-02 10:50:52"
488412,"PTP","Photran.Refactoring Engine","photran-inbox","NEW"," ---","import includes and modules","2016-02-29 13:57:23"
488413,"PTP","Photran.Refactoring Engine","photran-inbox","NEW"," ---","recursively adding includes and modules for analysis/refactoring","2016-02-24 14:59:30"
488911,"PTP","Photran.Refactoring Engine","photran-inbox","NEW"," ---","Manually launch Photran indexer","2016-03-02 19:26:02"
496499,"PTP","Photran.Parser","photran-inbox","NEW"," ---","Doxygen subroutine and function automation from list of parameters","2016-06-21 13:50:10"
496691,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","show error in editor does not work","2016-06-23 17:34:51"
500007,"PTP","Photran.Parser","photran-inbox","NEW"," ---","Photran Indexer fails on large parameter lists in fixed form","2016-08-26 09:48:17"
500680,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","Selecting files in project explorer use too much CPU","2016-09-01 10:57:41"
500713,"PTP","Photran.Refactoring Engine","photran-inbox","NEW"," ---","java.lang.NullPointerException is thrown when Photran indexer encounters a subroutine declaration with many continuation lines","2017-02-13 19:29:28"
501840,"PTP","Photran.Parser","photran-inbox","NEW"," ---","labelled do statement not recognized","2016-09-20 09:53:44"
520139,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","Fortran Preferences throws “org/eclipse/jface/util/ListenerList” exception on load.","2018-02-26 09:52:30"
531743,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","Items duplicated in refactor context menu","2018-02-27 11:31:17"
533764,"PTP","Photran.Documentation","photran-inbox","NEW"," ---","Fix broken HTML on Photran website","2018-04-18 09:37:52"
535928,"PTP","Photran.Unknown","photran-inbox","NEW"," ---","set global variables to find compiler","2018-06-15 05:02:32"
536347,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","Fortran Fixed-form editor vertical margins (of the 6th character & line length) covering the text","2018-06-27 09:10:53"
538390,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","OpenMP conditional compilation has wrong colour in editor","2018-08-29 10:42:57"
542825,"PTP","Photran.Unknown","photran-inbox","NEW"," ---","In windows 10 photron generated executable will not execute within eclipse, while same project works in windows 7","2018-12-15 15:50:42"
560530,"PTP","Photran.Unknown","photran-inbox","NEW"," ---","NullPointerException in Photran indexer","2020-02-25 19:03:55"
562255,"PTP","Photran.Editor & Outline View","photran-inbox","NEW"," ---","adding f2008_ type-bound-procedure name list","2020-04-17 07:00:20"
485366,"PTP","Remote","ptp-inbox","NEW"," ---","Failed remote connect with secure storage turned off","2017-08-12 16:18:53"
487702,"PTP","ETFw","ptp-inbox","NEW"," ---","Cannot submit profiling job from Profile configuration","2016-02-11 23:58:33"
487704,"PTP","Remote","ptp-inbox","NEW"," ---","Remote Connection information is lost if switched to SSH keys settings","2018-06-08 10:11:55"
488714,"PTP","RM","ptp-inbox","NEW"," ---","System Monitoring does not detect a Cray XC40 system running Native Slurm correctly","2016-02-29 14:06:00"
488970,"PTP","RDT.sync","ptp-inbox","NEW"," ---","New Sync Project Wizard does not set build configuration properly","2016-03-08 18:21:08"
489458,"PTP","RDT.sync","ptp-inbox","NEW"," ---","Users should be able to set default build configurations to none","2016-03-11 14:30:48"
