"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
477249,"Papyrus-rt","test","charles","UNCONFIRMED"," ---","[Model import Test] small PingPong example:  type of the log ports not set to UMLRTLogProtocol","2016-11-11 07:20:46"
477396,"Papyrus-rt","test","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Model Import Test] small PingPong (V3) example : UMLRTFrameProtocol, UMLRTCapsuleId","2016-10-31 14:12:05"
480641,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Change direction of protocol message by drag-and-drop between lists in properties view of protocol","2016-10-31 14:15:13"
468509,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] implement an unsynchronized version of UMLRTQueue","2017-10-17 14:35:31"
468510,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] implement a basic thread-priority (thread schedule) scheme","2016-10-31 11:24:02"
468512,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] add pointer indirection to the RTS serialization API","2016-10-31 11:28:23"
468513,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] implement type inheritance in the RTS serialization API","2016-10-31 11:30:45"
468517,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] set the pthread name from the controller name (where support exists)","2016-10-31 14:41:17"
468520,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime/codegen] add support for the removal of name strings from the serialization API","2016-10-31 11:32:23"
468523,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] the destination slot should be removed from the UMLRTMessage struct","2016-10-31 11:35:33"
468524,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] remove capsuleClass field from UMLRTSlot","2017-10-17 14:35:44"
468528,"Papyrus-rt","runtime","bmaher","NEW"," ---","[runtime] the wait-notify mechanism used by controllers includes a 10-second timeout","2017-10-17 14:35:48"
477714,"Papyrus-rt","tool","charles","NEW"," ---","[Model Import - RT] RSARTE to Papyrus-RT model library element mapping implementation","2017-04-05 12:24:38"
479176,"Papyrus-rt","tool","charles","NEW"," ---","[Model Import] Papyrus RT mappings for CppPropertySets","2017-04-05 12:25:03"
467395,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","support rtport","2016-11-07 08:01:53"
467784,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","delete stale generated files","2016-10-31 11:12:26"
467924,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","[codegen] Code generator not generating nested types","2016-11-07 07:44:03"
468508,"Papyrus-rt","runtime","papyrusrt-inbox","NEW"," ---","[runtime] implement a single-threaded version of the runtime","2016-10-31 11:14:04"
