"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
490419,"Papyrus-rt","test","papyrusrt-inbox","UNCONFIRMED"," ---","[test] rcptt error","2016-10-31 14:16:09"
490420,"Papyrus-rt","releng","papyrusrt-inbox","UNCONFIRMED"," ---","[releng] missing dependencies when activating the quality profile","2016-11-10 15:35:42"
490797,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Filtering only applicable to UML-RT is confusingly done also on standard new child menu","2017-04-06 07:53:10"
497243,"Papyrus-rt","codegen","papyrusrt-inbox","UNCONFIRMED"," ---","Command line code generator must support externalized profile applications","2016-10-31 14:25:20"
502351,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Model Explorer] [FACET] Papyrus-RT Protocol menu item is not expanded when create a protocol message from the new child menu","2017-06-19 08:54:09"
502556,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Improve drag-an-drop in model explorer, including support for UML-RT protocols","2017-02-03 03:01:04"
502855,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Improve the layout of the pre-view when creating a new connector","2016-11-07 05:26:12"
505705,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Model Import] Changing preferences in model import wizard causes dirty indicator on currently open model editor","2017-01-20 07:41:26"
527161,"Papyrus-rt","codegen","papyrusrt-inbox","UNCONFIRMED"," ---","Generated `CMakeLists.txt` contains an invalid Windows Path","2017-11-12 23:41:30"
529905,"Papyrus-rt","General","papyrusrt-inbox","UNCONFIRMED"," ---","Being able to see the whole state machine of a capsule in the same diagram","2018-01-16 13:26:42"
494554,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Add the ""Go Outside..."" navigation when right clicking on a capsule structure diagram","2016-12-15 06:57:53"
520373,"Papyrus-rt","General","papyrusrt-inbox","NEW"," ---","Migration support","2017-07-31 11:43:25"
493464,"Papyrus-rt","core","papyrusrt-inbox","NEW"," ---","UML-RT Core bundle depends on Papyrus Diagrams","2016-10-31 14:39:41"
511456,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Prohibit UML-RT stereotypes to be applied manually","2017-10-17 14:35:37"
520534,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","Connect ports with same conjugation and symmetrical protocols","2017-08-03 16:40:47"
510564,"Papyrus-rt","tool","ansgar.radermacher","NEW"," ---","[Tooling] Changing conjugation of a port should update or remove existing triggers for that port","2017-01-27 08:52:01"
500682,"Papyrus-rt","textual","eposse","NEW"," ---","Error editing textual if syntax not complete","2016-10-31 14:43:48"
485946,"Papyrus-rt","textual","papyrusrt-inbox","NEW"," ---","Code completion for port references in a connector should show only relevant ports","2016-10-31 12:46:39"
485949,"Papyrus-rt","textual","papyrusrt-inbox","NEW"," ---","Code completion for transitions should show only legal source and target vertices","2016-10-31 12:04:05"
485957,"Papyrus-rt","textual","papyrusrt-inbox","NEW"," ---","Outline view for transitions should show source, target, triggers, guards and actions","2017-10-17 14:35:32"
485958,"Papyrus-rt","textual","papyrusrt-inbox","NEW"," ---","Outline view should show connectors source and target","2017-10-17 14:35:30"
487085,"Papyrus-rt","runtime","papyrusrt-inbox","NEW"," ---","[UMLRTS Model] Creation","2016-10-31 12:11:18"
491471,"Papyrus-rt","textual","papyrusrt-inbox","NEW"," ---","Text-to-UML transformation broken in Neon","2016-10-31 15:00:47"
492833,"Papyrus-rt","General","papyrusrt-inbox","NEW"," ---","Validation constraints","2017-02-08 06:29:39"
494390,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Deleting a capsule should also delete all capsule parts typed by that capsule","2016-09-22 13:52:49"
494391,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Deleting a protocol should also delete all ports typed by that protocol","2016-09-22 13:53:28"
494401,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Copy-paste of capsule part in structure diagram behaves inconsistent","2017-03-01 11:27:19"
494814,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Properties] Immediate completion of single parameter type content-assist match","2016-10-31 15:04:25"
494815,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Properties] Remove <Undefined> from parameter type content-assist proposals","2016-11-01 08:51:50"
499119,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","Code generation from textual umlrt uses the folder name instead of the project or model","2016-10-31 15:10:28"
499945,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Delete refactoring UI","2017-01-18 03:59:55"
500448,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","Default RTPort registrationOverride value not generated same between textual and uml","2016-10-31 15:11:34"
500449,"Papyrus-rt","textual","papyrusrt-inbox","NEW"," ---","Operation return type not generated correctly from textual","2016-10-31 15:11:54"
500450,"Papyrus-rt","textual","papyrusrt-inbox","NEW"," ---","Generated UML from textual does not generate protocol header file contents in the same order","2016-10-31 15:12:12"
500556,"Papyrus-rt","test","papyrusrt-inbox","NEW"," ---","[Test] Some tests dependency should not exist","2017-01-19 09:22:20"
500679,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","Suppress redundant stereotype keywords for UML-RT concepts","2016-09-22 14:02:58"
502417,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","Improve Papyrus-RT usability of multiple diagrams for capsule structure and state machine diagrams","2017-01-18 03:31:45"
502964,"Papyrus-rt","core","papyrusrt-inbox","NEW"," ---","[C++ Lang] C++ default-language provides a profile that it cannot ""see""","2016-11-07 14:11:05"
504044,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling, runtime] Clarify/improve handling of rtBound/rtUnbound base protocol","2016-11-07 14:12:25"
504488,"Papyrus-rt","releng","papyrusrt-inbox","NEW"," ---","[Releng] Composite Repo for Release and Milestone","2017-10-17 14:35:49"
504731,"Papyrus-rt","releng","papyrusrt-inbox","NEW"," ---","[Build] CI builds for each component archive both 0.7.2 and 0.8.0 ZIPs","2016-11-07 14:14:06"
506218,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Default Language selection should propose to import or load the required libraries","2016-11-07 14:17:34"
506265,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Initial layout of a RT state machine shall be improved","2017-06-16 07:43:03"
506356,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[tooling] Automatic layout with ELK throws NPE","2016-11-07 14:19:58"
506519,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","Entering the name of an element and clicking OK doesn't assign the name to the element","2016-11-30 02:55:01"
507071,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[tooling] Cannot undo connector deletion when port kinds change","2016-11-07 14:31:25"
507277,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] UML-RT DSML new child menu should include filtered relationship submenu","2017-01-09 05:06:18"
507373,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","[cdt] CDT integration changes indentation inside action code","2016-11-16 14:22:45"
507530,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Improve the properties view for a capsule","2017-02-23 04:04:38"
507697,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","[codegen] support protocol message with a single parameter of type 'void'","2016-12-02 02:59:15"
508754,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Add support for toggling transition kind","2017-02-07 04:25:43"
508998,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Investigate performance issue when port kind changes between Relay and SAP","2016-12-16 10:22:15"
509000,"Papyrus-rt","core","papyrusrt-inbox","NEW"," ---","Use element type framework to set port attributes in RTPortUtils","2016-12-16 10:22:33"
509206,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Improve or remove the UML-RT tab in properties view for a trigger","2017-06-13 10:02:00"
510316,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] UI workflows for capsule generalization","2017-04-04 05:00:24"
510375,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Properties] New port or capsule-part shows prematurely in list","2017-01-20 08:32:45"
510575,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Copy-paste of protocol message into same protocol causes duplicate names","2017-01-20 08:35:06"
510578,"Papyrus-rt","General","papyrusrt-inbox","NEW"," ---","Bug to track https://bugs.eclipse.org/bugs/show_bug.cgi?id=506718","2017-01-20 08:37:02"
510588,"Papyrus-rt","releng","papyrusrt-inbox","NEW"," ---","Publish JUnit tests in component build archives","2017-01-20 08:38:19"
510649,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Cannot create Constraint on the state machine diagram","2017-05-25 12:41:13"
510690,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Improve layout of edit properties dialogs for ports and capsule parts","2017-01-20 08:40:20"
511060,"Papyrus-rt","General","papyrusrt-inbox","NEW"," ---","[import] RTGuard stereotype missing","2017-04-05 12:25:36"
511102,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Differentiate whether a transition should have a trigger or not","2017-10-17 14:35:40"
511200,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Detection of cycles shall be made also when creating a capsule generalization","2017-02-01 10:50:05"
511393,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","[codegen] integrate the new UML-RT façade in the code generator","2017-02-07 10:56:41"
511471,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Improve the internal transition list shown on the inside of a composite state","2017-02-01 10:31:04"
511472,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Make the modeling assistant available also as a ""new child"" menu when right clicking on an element in a diagram","2017-02-09 14:19:14"
511586,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling][Usability] Improve the possibility of renaming when creating elements via properties view","2017-02-03 08:14:30"
511627,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Selecting a new protocol for a port does not allow selection of system protocols in run-time model library","2017-02-03 08:13:36"
511738,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Annotate entry and exit points on the inside of a composite state","2017-03-28 04:34:27"
