"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
556297,"Reqcycle","Requirement Editor","raphael.faudou","NEW"," ---","predicate: can not create a predicate based on scope","2015-12-07 13:17:04"
556258,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Traceability links - needs two labels for both directions","2015-09-18 03:54:24"
556269,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Predicates: Definition is not intuitive","2016-01-13 08:57:14"
556284,"Reqcycle","requirement connector","reqcycle-inbox","NEW"," ---","requirements not imported from word document in case there is no chapter defined","2016-06-17 14:34:43"
556318,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","synchronize traceability data and .rdf","2016-03-18 13:51:24"
556314,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Multiline editor for requirement text","2016-03-18 06:05:56"
556312,"Reqcycle","Requirement Editor","raphael.faudou","NEW"," ---","Provide auto-numbering for requirement chapters (sections)","2016-03-17 13:24:36"
556243,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","OSLC connector in ReqCycle","2014-11-04 06:14:42"
556246,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","URI resolver","2015-09-18 02:47:52"
556247,"Reqcycle","Core","reqcycle-inbox","NEW"," ---",".ReqCycle conector","2014-11-03 16:02:38"
556249,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Default configuration","2014-09-08 05:30:10"
556255,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","[doc2model] The textContent value of Cell may be truncated","2015-06-08 09:51:09"
556257,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","[doc2model] The Tikaparsing plugin could re-export packages of tika-app-1.5.jar library","2015-09-18 03:57:21"
556263,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Impact Analysis displays links to requirements only when the initial version is more recent than final version","2015-10-14 17:57:13"
556266,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Traceability export (xls or csv) is missing documentation","2015-11-20 03:31:00"
556270,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Create link and requirement in one command","2016-03-19 10:50:48"
556272,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Application of predicate does not always work immediatly","2016-03-21 05:17:12"
556273,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Populate traceability viewer from impact analysis","2016-03-21 14:21:05"
556274,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","After updated requirements, downward links shall become ""suspect""","2016-03-21 14:36:38"
556279,"Reqcycle","requirement connector","reqcycle-inbox","NEW"," ---","Doc import with .types configuration - cannot create several types","2016-03-16 03:24:59"
556281,"Reqcycle","requirement connector","reqcycle-inbox","NEW"," ---","technical: update WordProcessor metamodel to keep section offset in document","2016-03-17 13:54:23"
556317,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Cannot create traceability link between extended (specialized) requirements","2016-03-15 17:21:08"
556321,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Performance issue with projects containing a lot of resources","2016-03-21 10:09:25"
556322,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Extension of requirements (reachable) cannot be used for traceability","2016-06-17 17:46:10"
556323,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Traceability links in Word document","2016-06-28 08:17:33"
556296,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","requirement deleated in the imported file","2015-09-18 03:55:43"
556298,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Unique name requirement - No error message","2015-09-21 11:02:53"
556299,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Attribute selection view correction for styling definition","2015-10-16 05:15:37"
556300,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Update requirement source view name","2015-09-18 12:27:56"
556301,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Create new configuration style by duplication","2015-10-14 17:58:38"
556304,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Default Req ID naming configuration","2015-12-03 16:52:50"
556309,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Requirement source name is not displayed when applying a display style","2016-01-13 06:46:46"
556310,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Editor remains empty, console says ""no resources for ReqCycle editor""","2016-03-18 06:55:33"
556311,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Editor stops working after style configuration","2016-03-16 06:22:45"
556315,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Prevent modifications on ID and text for imported requirements","2016-03-20 12:56:44"
556316,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Empty visualization if no style configuration is provided","2016-06-17 11:45:03"
556330,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","NEW"," ---","Traceability Table ""All links"" not showing links to Java method","2016-01-01 12:01:25"
556332,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","NEW"," ---","extension point for ""locate"" behaviour","2015-12-19 05:03:45"
556340,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","NEW"," ---","Deadlock on ""Locate""","2016-03-16 06:05:39"
556342,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","NEW"," ---","Traceability table - empty requirement ID if no configuration","2016-06-17 12:13:08"
556294,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Requirements editor's name","2015-09-16 10:46:25"
556295,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Requirements View for selected predicate","2015-06-15 06:10:55"
556290,"Reqcycle","Requirement Editor","zachary.labaysse","NEW"," ---","Allow to modify requirements with a table","2016-01-01 12:04:46"
556237,"Reqcycle","Core","raphael.faudou","ASSIGNED"," ---","Support for collaborative work on requirements and traceability","2015-12-07 17:08:41"
556303,"Reqcycle","Requirement Editor","raphael.faudou","ASSIGNED"," ---","Support of images in ReqCycle","2016-01-05 11:41:27"
556334,"Reqcycle","Traceability Viewer","raphael.faudou","ASSIGNED"," ---","Detect suspect links","2016-01-05 02:55:41"
556307,"Reqcycle","Requirement Editor","raphael.faudou","ASSIGNED"," ---","Creation of local requirements has no scope","2016-03-17 18:36:48"
556324,"Reqcycle","Traceability Viewer","raphael.faudou","ASSIGNED"," ---","CSV export of traceability links","2015-09-18 05:49:20"
556333,"Reqcycle","Traceability Viewer","raphael.faudou","ASSIGNED"," ---","Detect broken links","2016-01-05 02:56:14"
556242,"Reqcycle","Core","reqcycle-inbox","ASSIGNED"," ---","Implementation of COPY and REFERENCE mode","2014-11-04 06:14:26"
556256,"Reqcycle","Core","reqcycle-inbox","ASSIGNED"," ---","[doc2model] The Spreadsheet metamodel has non-ordered containment references","2015-09-18 03:58:20"
556262,"Reqcycle","Core","reqcycle-inbox","ASSIGNED"," ---","Scope is not deleted","2016-01-05 03:02:55"
556326,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","ASSIGNED"," ---","export all traceability links (same content than table) as .csv or .xls","2015-09-12 09:52:34"
556308,"Reqcycle","Requirement Editor","raphael.faudou","RESOLVED","FIXED","visualize images contained in imported requirements","2016-02-03 11:19:03"
556313,"Reqcycle","Requirement Editor","raphael.faudou","RESOLVED","FIXED","Cannot delete requirement created with ""local"" requirement source","2016-03-22 11:40:53"
556320,"Reqcycle","traceability analyser","raphael.faudou","RESOLVED","FIXED","Cannot define predicate on upward traceability","2016-03-22 11:38:20"
556268,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","Traceability link status as mandatory attribute","2016-01-05 11:31:15"
556275,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","Predicates on the value of a link attribute","2016-03-22 10:43:00"
556277,"Reqcycle","requirement connector","reqcycle-inbox","RESOLVED","FIXED","Word import creates several requirements with same ID in some cases","2016-03-22 11:39:46"
556271,"Reqcycle","Core","raphael.faudou","RESOLVED","FIXED","StringEqual predicate shall allow empty value","2016-03-22 11:37:47"
556280,"Reqcycle","requirement connector","raphael.faudou","RESOLVED","FIXED","Wrong algorithm to create requirement sections when importing word document","2016-03-22 11:38:47"
556282,"Reqcycle","requirement connector","raphael.faudou","RESOLVED","FIXED","Cannot create local requirement source if another one is not more available","2016-03-22 11:37:18"
556338,"Reqcycle","Traceability Viewer","raphael.faudou","RESOLVED","FIXED","Predefined attributes for links","2016-01-05 11:34:31"
556339,"Reqcycle","Traceability Viewer","raphael.faudou","RESOLVED","FIXED","Cannot delete links if traceability path does not end with "".traceability""","2016-02-23 06:38:19"
556232,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","Improve traceability build update time","2014-11-04 06:16:17"
556241,"Reqcycle","Core","reqcycle-inbox","RESOLVED","DUPLICATE","Traceability Matrixes generation","2014-11-03 15:55:05"
556244,"Reqcycle","Core","reqcycle-inbox","RESOLVED","INVALID","Traceability removal in the traceability view","2014-11-03 15:59:00"
556245,"Reqcycle","Core","reqcycle-inbox","RESOLVED","INVALID","Property view","2014-11-03 16:01:08"
556265,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","Traceability export (xls or csv) does not mention model element qualified name","2015-11-19 19:48:39"
556276,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","technical: refactor code concerning deletion of traceability link","2016-03-22 10:44:12"
556278,"Reqcycle","requirement connector","reqcycle-inbox","RESOLVED","FIXED","keep document structure (hierarchy) for requirement containers","2016-03-17 06:01:10"
556283,"Reqcycle","requirement connector","reqcycle-inbox","RESOLVED","FIXED","Space character in requirement source name causes issues with traceability","2016-06-18 07:28:05"
556319,"Reqcycle","traceability analyser","reqcycle-inbox","RESOLVED","FIXED","Cannot delete links created in a project physically outside of current workspace","2016-03-19 08:24:57"
556285,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","RESOLVED","FIXED","requirementView: Requirement View Styling","2015-09-18 03:47:39"
556287,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","RESOLVED","FIXED","requirement editor for local requirements: NPE","2014-11-03 16:29:08"
556293,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","RESOLVED","FIXED","Display of textual contents in requirement tree","2015-07-01 12:08:43"
556302,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","RESOLVED","FIXED","Cannot edit custom attribute on imported requirements","2016-03-20 13:26:43"
