"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
382731,"Riena","UI","riena.core-inbox","NEW"," ---","[RoR] Update to RAP 1.5","2012-06-29 11:43:45"
368919,"Riena","UI","riena.core-inbox","NEW"," ---","New features for editable table","2012-01-18 03:56:31"
370220,"Riena","navigation","riena.core-inbox","NEW"," ---","Selection isn't set or is set wrong after closing a submodule or all submodules","2012-01-31 09:50:39"
374260,"Riena","demo & examples","riena.core-inbox","NEW"," ---","The online documentation is out of date","2012-03-19 10:18:58"
374353,"Riena","UI","riena.core-inbox","NEW"," ---","[Master/Details] Buttons area does not disappear if all actions (New, Remove, Apply...) are set invisible","2012-03-15 06:17:46"
376584,"Riena","Core","riena.core-inbox","NEW"," ---","[AbstractMarker] equals() and hashCode() are not consistent","2012-04-12 07:47:23"
381672,"Riena","ridget","riena.core-inbox","NEW"," ---","Event when updated data from ridget to model","2012-06-25 05:42:21"
381678,"Riena","UI","riena.core-inbox","NEW"," ---","Border Marker does not work in Linux","2012-06-05 06:03:33"
385862,"Riena","UI","riena.core-inbox","NEW"," ---","ScrollBar.setPageIncrement(int) and RAP","2012-07-24 10:26:02"
410687,"Riena","ridget","riena.core-inbox","NEW"," ---","AbstractComboRidget with RAP - on page reload bindUIControl() method causes ""Validation realm cannot be null"" Exception","2013-06-13 03:03:30"
411977,"Riena","Releng","riena.core-inbox","NEW"," ---","Nebula Grid 1.0.0.HEAD in composite repo","2013-08-13 05:13:07"
414420,"Riena","ridget","riena.core-inbox","NEW"," ---","Mandatory-Markers in Navigation Tree are not always correct, if the sub-module has radio buttons and is shared","2013-08-05 09:23:48"
428650,"Riena","UI","riena.core-inbox","NEW"," ---","Navigation tree scrolling speed ignores the system's mouse wheel setting","2014-02-20 08:59:47"
430168,"Riena","Core","riena.core-inbox","NEW"," ---","MaxStockedViews configuration does not work in Riena on Eclipse 4.x","2014-03-13 09:47:57"
384710,"Riena","Core","Stefan.Liebig","NEW"," ---","DeferredLoggingForwarder has rather short timeout....","2012-07-10 07:16:03"
384711,"Riena","Core","Stefan.Liebig","NEW"," ---","Remover in WeakRef uses more cpu cycles than necessary","2012-07-10 07:19:57"
412166,"Riena","Releng","christian.campo","ASSIGNED"," ---","update Riena to use latest build of Nebula composite table and grid","2013-07-03 03:41:28"
370527,"Riena","UI","jordan.dukadinov","ASSIGNED"," ---","DecimalTextRidget: Difficulties entering negative numbers on Windows","2012-04-13 07:39:09"
397297,"Riena","UI","jordan.dukadinov","ASSIGNED"," ---","Single cell renderer used for all columns in a nebula grid","2013-02-18 03:41:47"
372221,"Riena","ridget","riena.core-inbox","ASSIGNED"," ---","CCombo\ ComboRidget SelectionListener needs validation rules & CCombo marks wrong item in list.","2012-04-23 09:44:15"
374184,"Riena","UI","riena.core-inbox","RESOLVED","FIXED","Missing error marker when combining ValidCharacters and MinLength validations","2012-05-21 06:30:49"
368023,"Riena","ridget","thorsten.schenkel","RESOLVED","FIXED","After binding an TableRidget again, some data isn't showen or index errors occur.","2012-01-16 04:48:45"
