"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
292437,"STEM","UI","jhkauf","ASSIGNED"," ---","Some of the Strings in STEM are not properly included in a properties file for NLS translation","2011-07-18 14:49:34"
321264,"STEM","Analysis","jhkauf","ASSIGNED"," ---","The ability to specify a 'parent' node for generated graphs would be useful","2012-09-24 12:53:34"
330283,"STEM","Core","jhkauf","ASSIGNED"," ---","Assign units explicitly to all adjustable STEM parameters","2010-12-04 12:26:28"
317058,"STEM","UI","mattadav","ASSIGNED"," ---","Integrate feature that allow users to save simulation as a video file","2010-07-09 18:03:37"
323662,"STEM","Core","mattadav","ASSIGNED"," ---","FindBugs:  Ongoing reports and results from analysis","2010-09-08 14:44:18"
257636,"STEM","UI","sedlund","ASSIGNED"," ---","International characters do not show up properly in the UI","2010-01-15 17:55:39"
294236,"STEM","Core","sedlund","ASSIGNED"," ---","Non-NLS markers flag not set on many projects in .genmodel","2010-01-14 21:00:07"
314326,"STEM","Core","sedlund","ASSIGNED"," ---","Dublin Core does not refresh in property editor when clicking between nodes inside a graph","2010-05-25 14:46:55"
327159,"STEM","Simulation","sedlund","ASSIGNED"," ---","Tie Disease Parameter Modifications to Specific Locations","2012-10-09 11:26:57"
335580,"STEM","Core","werner.keil","ASSIGNED"," ---","Congo GEO Data and possible Disease models","2011-04-06 15:35:16"
362774,"STEM","Simulation","sedlund","REOPENED"," ---","Contributing new Norway Map","2013-03-08 13:43:14"
346732,"STEM","Core","christian.thoens","RESOLVED","FIXED","FiniteDifference splits time steps when values go negative","2012-01-23 14:48:13"
317129,"STEM","Core","christian.thoens","RESOLVED","FIXED","Implement graphical editor","2012-09-11 12:27:30"
336836,"STEM","UI","bry.hobbs","RESOLVED","FIXED","Mouseover Tooltip: Include Number of Infected","2012-09-10 18:56:20"
342360,"STEM","UI","bry.hobbs","RESOLVED","FIXED","Population identifiers for multi-population scenarios","2012-09-10 18:56:43"
345353,"STEM","Core","christian.thoens","RESOLVED","FIXED","Multi Population Model in which People are aging","2012-01-23 14:47:18"
347873,"STEM","Core","christian.thoens","RESOLVED","FIXED","Model non-EMF classes in EMF","2012-01-23 14:49:29"
349245,"STEM","Core","christian.thoens","RESOLVED","FIXED","Creating a Scenario for Chicken Pox","2012-01-20 18:56:37"
349789,"STEM","UI","christian.thoens","RESOLVED","FIXED","Create a ESRI shape file import functionality","2012-09-10 14:46:24"
357265,"STEM","Core","christian.thoens","RESOLVED","FIXED","Encountered ""java.lang.StackOverflowError"" problem when I run Dengue simulation in Thailand","2011-10-31 13:47:37"
340720,"STEM","UI","jduperre","RESOLVED","FIXED","Mouseover Tooltip: Include Timestamp/Step","2012-01-23 14:51:56"
352137,"STEM","Disease","khu","RESOLVED","FIXED","Dengue Fever Disease Model","2012-01-23 14:49:53"
359755,"STEM","Disease","khu","RESOLVED","FIXED","External datasource population initializer - could not capture changes in population identifier","2011-10-03 18:21:30"
295911,"STEM","Internal","mattadav","RESOLVED","FIXED","Message to Error console when STEM shutdown while running a simulation.","2012-09-10 17:57:17"
315252,"STEM","Analysis","mattadav","RESOLVED","FIXED","Should not auto build scenarios if the map does not exist","2012-10-04 16:16:18"
353738,"STEM","UI","mattadav","RESOLVED","FIXED","Increase time of visibility of the mouse-over node property visualisation window in map view","2011-08-03 15:51:15"
353743,"STEM","Internal","matthias.filter","RESOLVED","FIXED","AsiaMosquitoDemo does not work","2011-08-05 06:31:49"
258989,"STEM","Internal","sedlund","RESOLVED","FIXED","Refactoring is broken","2012-09-10 18:24:46"
261686,"STEM","Internal","sedlund","RESOLVED","FIXED","Running with the same decorator added twice to the model messes up log files","2012-10-19 18:55:48"
285729,"STEM","UI","sedlund","RESOLVED","FIXED","The time series view (and perhaps phase space) should allow for plotting population values","2012-01-19 17:23:53"
291060,"STEM","Disease","sedlund","RESOLVED","FIXED","Modifiers cannot be attached to infectors","2012-09-10 18:42:34"
291222,"STEM","Analysis","sedlund","RESOLVED","FIXED","Fix predicates","2012-01-19 14:49:11"
306248,"STEM","Core","sedlund","RESOLVED","FIXED","The initialization steps of a simulation needs to be carefully documented","2012-01-19 17:49:50"
317078,"STEM","UI","sedlund","RESOLVED","FIXED","Improvements to project explorer and editors","2012-01-19 19:05:08"
317092,"STEM","Core","sedlund","RESOLVED","FIXED","Initial release of experiments","2012-01-19 19:04:23"
317094,"STEM","Core","sedlund","RESOLVED","DUPLICATE","Initial release of triggers/predicates/modifiers","2012-09-10 18:42:34"
317095,"STEM","Core","sedlund","RESOLVED","FIXED","Make Automated Experiments ready for general use","2012-01-19 18:52:45"
317096,"STEM","Core","sedlund","RESOLVED","FIXED","Support for Multiple Populations","2012-01-19 18:59:40"
317113,"STEM","Analysis","sedlund","RESOLVED","FIXED","Improve and finalize triggers/predicates/modifiers","2012-01-19 19:02:18"
317114,"STEM","Analysis","sedlund","RESOLVED","FIXED","Finalize automated experiments","2012-01-19 18:53:13"
317128,"STEM","Core","sedlund","RESOLVED","FIXED","Implement age groups including the aging effect","2012-01-19 18:51:21"
324242,"STEM","Simulation","sedlund","RESOLVED","FIXED","Wrong location for STEM log files in some cases","2012-05-22 17:44:13"
329503,"STEM","UI","sedlund","RESOLVED","FIXED","Danger of losing edits when saving resources","2012-04-16 17:03:18"
335335,"STEM","Simulation","sedlund","RESOLVED","FIXED","Dragging STEM scenarios into Project explorer throws type exception re. 'sequencer'","2012-01-19 17:05:51"
353752,"STEM","UI","sedlund","RESOLVED","FIXED","Stopping a simulation results in ""unhandled event loop exception""","2011-08-03 13:37:41"
353833,"STEM","UI","sedlund","RESOLVED","FIXED","Exception when closing and opening STEM project","2011-08-03 18:57:14"
