"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
330698,"Sapphire","ui","konstantin","NEW"," ---","Need option to render integer value property as spinner","2011-05-09 14:33:52"
333524,"Sapphire","ui","konstantin","NEW"," ---","Enablement of ""show in source"" action is problematic","2011-05-09 14:40:55"
343221,"Sapphire","ui","konstantin","NEW"," ---","Typing in the source view sometimes removes just typed characters","2012-05-30 13:52:57"
345046,"Sapphire","ui","konstantin","NEW"," ---","Separate dependency on org.eclipse.core.runtime (part 2)","2012-05-17 17:05:55"
345183,"Sapphire","ui","konstantin","NEW"," ---","Separate dependency on org.eclipse.core.resources (part 2)","2012-05-17 17:05:56"
346581,"Sapphire","ui","konstantin","NEW"," ---","Need support to display Multiple choice list check box horizontally","2012-04-09 13:45:06"
349103,"Sapphire","ui","konstantin","NEW"," ---","Flicker when selecting an item from a check box list","2012-06-04 17:24:10"
350721,"Sapphire","modeling","konstantin","NEW"," ---","Documentation needed for Sapphire services","2012-06-11 13:07:11"
353359,"Sapphire","ui","konstantin","NEW"," ---","Support multiple content outline nodes per element","2012-05-17 17:53:17"
356744,"Sapphire","ui","konstantin","NEW"," ---","Implement ContentProposalService for Java types","2012-04-10 00:19:02"
357949,"Sapphire","ui","konstantin","NEW"," ---","Parameter Substitution for Presentation Hints","2011-09-16 14:39:05"
362256,"Sapphire","ui","konstantin","NEW"," ---","The visible-when should only initialize the appropriate branch with attached condition","2012-05-30 13:55:04"
365774,"Sapphire","modeling","konstantin","NEW"," ---","No self closing XML Tag when the tag is empty","2011-12-07 12:33:31"
332681,"Sapphire","ui","ling.hao","NEW"," ---","Scroll bars flash briefly when reducing canvas width","2012-05-30 13:53:07"
329072,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","Browsing and validation for Java class properties outside of Java projects","2010-10-29 13:35:29"
329080,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","Create model validation builder to surface problems in problems view","2016-04-04 05:05:12"
354075,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","Wizard for creating new model element interface","2011-09-04 13:05:42"
329063,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Support pluggable controller for switching panel","2010-11-16 20:02:05"
329069,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Provide cell-level validation feedback in editable tables","2010-10-29 13:26:54"
329075,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Browse dialog message when no values from values provider","2010-10-29 13:41:04"
329077,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Callbacks needed for edit and delete actions in a table","2010-10-29 13:47:28"
329078,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Filter field for tables","2010-10-29 13:50:30"
329081,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Need to handle default values for list properties","2012-05-01 19:36:52"
329083,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","only shows actions on field focus?","2010-10-29 14:03:21"
329084,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Determine if disabling should also clear values in certain cases","2010-10-29 14:09:43"
329087,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Clearing textbox in named values control can change radio button selection","2010-10-29 14:27:39"
329088,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Alternate ui for namedvalue with large number of named values","2010-10-29 14:33:26"
329099,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","copy, cut and paste for list properties","2011-12-30 12:34:46"
343620,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Support undo/redo","2015-05-11 09:55:42"
346177,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Add support for Revert/Save actions in the form heading","2011-05-17 20:29:09"
356277,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Provide non-XML language and editor for UI definitions","2011-09-01 10:58:25"
366586,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Context-menu ordering of common actions for list property nodes","2012-04-24 23:56:22"
367585,"Sapphire","ui","sapphire.ui-inbox","NEW"," ---","Implement ContentProposalService for child properties","2012-05-16 03:26:26"
334339,"Sapphire","ui","shenxue.zhou","NEW"," ---","[diagram] add diagram editor to the contacts sample","2012-05-17 17:05:55"
340390,"Sapphire","ui","shenxue.zhou","NEW"," ---","[diagram] Improve diagram connection endpoint specification","2012-05-17 17:05:55"
340391,"Sapphire","ui","shenxue.zhou","NEW"," ---","[diagram] Support more than one embedded connection binding per node","2012-05-30 20:04:26"
342312,"Sapphire","ui","shenxue.zhou","NEW"," ---","[diagram] Support nested digrams (diagram inside a node)","2012-05-17 17:05:55"
344024,"Sapphire","ui","shenxue.zhou","NEW"," ---","Diagram node tooltips should match form tooltips","2015-05-26 10:54:26"
344025,"Sapphire","ui","shenxue.zhou","NEW"," ---","[diagram] Connection often intersects its own label","2012-05-17 17:16:04"
344229,"Sapphire","ui","shenxue.zhou","NEW"," ---","[diagram] Support diagrams outside an editor","2012-05-17 17:05:55"
345181,"Sapphire","ui","shenxue.zhou","NEW"," ---","[diagram] Support better manipulation of orthogonal connections","2015-05-26 10:54:25"
348923,"Sapphire","Diagrams","shenxue.zhou","NEW"," ---","Add ability to toggle diagram connection labels","2015-05-26 10:54:20"
356535,"Sapphire","ui","shenxue.zhou","NEW"," ---","Diagram Auto Layout algorithm should place connection labels more intelligently","2011-09-01 19:02:10"
351754,"Sapphire","ui","konstantin","REOPENED"," ---","Duplicate ProgressMonitorBridge class","2012-04-26 11:08:19"
344180,"Sapphire","ui","shenxue.zhou","REOPENED"," ---","[diagram] View doesn't scoll when dragging a node out of the visible area","2012-05-30 13:51:06"
338295,"Sapphire","modeling","konstantin","RESOLVED","WORKSFORME","ValidateEditException when contacts.xml file already exists","2011-02-28 15:11:53"
356419,"Sapphire","ui","konstantin","RESOLVED","WORKSFORME","Widget is disposed when clicking on ""Restore Default"" icon next to a list box","2011-09-27 12:19:01"
357976,"Sapphire","ui","konstantin","RESOLVED","WONTFIX","Expand new child/sub node in outline view","2012-05-17 17:56:01"
358316,"Sapphire","ui","konstantin","RESOLVED","DUPLICATE","NPE in MasterDetailsContentNode.isChildNodeFactoryProperty","2011-09-21 08:45:33"
359498,"Sapphire","ui","konstantin","RESOLVED","INVALID","MasterDetailsContentNode's property editors don't refresh when the associated property is changed","2011-09-30 10:34:35"
362623,"Sapphire","other","konstantin","RESOLVED","WORKSFORME","Wizard for creating Sapphire extension manifest files","2014-07-09 17:41:36"
363114,"Sapphire","other","konstantin","RESOLVED","WONTFIX","Provide pack200 binaries in Sapphire repository","2011-11-07 23:35:04"
366323,"Sapphire","other","konstantin","RESOLVED","WORKSFORME","customBuildCallback's safe-apt cannot handle paths with spaces","2012-05-23 04:41:57"
329085,"Sapphire","ui","sapphire.ui-inbox","RESOLVED","WORKSFORME","Possible values dialog not listing all possible values","2013-11-08 11:54:41"
343897,"Sapphire","ui","sapphire.ui-inbox","RESOLVED","INVALID","radio buttons in the <with> directive should behave just like enums","2011-06-06 11:57:38"
343920,"Sapphire","ui","sapphire.ui-inbox","RESOLVED","INVALID","ImpliedElementProperty ignores @Label annotation and <label> within <with>","2011-04-26 18:22:32"
355896,"Sapphire","ui","sapphire.ui-inbox","RESOLVED","INVALID","Enum property editor does not respond to changes in DefaultValueService","2011-09-09 13:31:09"
364858,"Sapphire","ui","sapphire.ui-inbox","RESOLVED","WORKSFORME","Support keybindings for common sapphire actions, e.g. MoveUp,MoveDown,","2011-11-28 21:22:06"
344305,"Sapphire","ui","shenxue.zhou","RESOLVED","WORKSFORME","[diagram] Support descriptions on palette nodes","2011-06-09 16:36:35"
356537,"Sapphire","ui","shenxue.zhou","RESOLVED","DUPLICATE","Connection definition should allow connection tool to appear in node section in the palette","2011-09-02 20:58:41"
328497,"Sapphire","other","konstantin","CLOSED","FIXED","Initial Contribution","2010-11-30 16:42:40"
328520,"Sapphire","other","konstantin","CLOSED","FIXED","Project Logo and Related Graphics","2011-06-03 13:14:25"
328662,"Sapphire","modeling","konstantin","CLOSED","FIXED","Support transient properties","2010-12-15 17:47:59"
328663,"Sapphire","ui","konstantin","CLOSED","FIXED","Need ability to embed HTML content from model in the UI","2010-12-15 19:52:24"
328664,"Sapphire","modeling","konstantin","CLOSED","FIXED","Support derived properties","2010-12-15 18:36:35"
328746,"Sapphire","modeling","konstantin","CLOSED","FIXED","Create portable extensions system for services","2011-01-04 18:06:09"
328747,"Sapphire","modeling","konstantin","CLOSED","FIXED","Create portable extensions system for value serializers","2011-01-04 14:38:32"
328748,"Sapphire","modeling","konstantin","CLOSED","FIXED","Support model property services","2011-01-04 18:18:58"
329068,"Sapphire","ui","konstantin","CLOSED","FIXED","Support ""label on the left"" mode for checkboxes","2011-06-03 13:14:48"
329074,"Sapphire","modeling","konstantin","CLOSED","FIXED","Support expression language","2010-12-15 20:05:19"
329076,"Sapphire","ui","konstantin","CLOSED","FIXED","Support use of ValidationService at model element level","2012-06-06 05:02:45"
329097,"Sapphire","modeling","konstantin","CLOSED","FIXED","Support model elements without a resource","2011-01-03 17:51:32"
329104,"Sapphire","modeling","konstantin","CLOSED","FIXED","Handle multiple types for class properties","2011-01-03 17:54:39"
329105,"Sapphire","ui","konstantin","CLOSED","FIXED","Do not add ""show in source"" node action when same model element as parent","2011-01-05 19:09:17"
329107,"Sapphire","modeling","konstantin","CLOSED","FIXED","Support default xml binding","2011-01-04 19:47:45"
329108,"Sapphire","ui","konstantin","CLOSED","FIXED","Support keyboard activation of table row editing","2011-01-04 20:06:57"
329109,"Sapphire","ui","konstantin","CLOSED","FIXED","Need checkbox list property editor","2010-12-16 19:22:34"
329110,"Sapphire","ui","konstantin","CLOSED","FIXED","SapphireWizard doesn't display progress bar","2010-12-16 19:25:11"
329112,"Sapphire","ui","konstantin","CLOSED","FIXED","Sapphire auto layout is based on widest field","2011-01-06 14:28:32"
329113,"Sapphire","ui","konstantin","CLOSED","FIXED","ArrayIndexOutOfBoundsException when project is deleted when editor is open","2011-01-06 20:03:42"
329116,"Sapphire","ui","konstantin","CLOSED","FIXED","Conflict occurred for ctrl+i ctrl+arrow_up ctrl+arrow_down","2011-01-06 17:37:11"
329117,"Sapphire","ui","konstantin","CLOSED","FIXED","Delete key doesn't work in tables presented in dialogs","2011-01-05 19:59:45"
329118,"Sapphire","ui","konstantin","CLOSED","FIXED","Support create action","2011-01-05 14:42:40"
329119,"Sapphire","ui","konstantin","CLOSED","FIXED","Re-work actions API","2011-01-06 18:41:01"
329120,"Sapphire","ui","konstantin","CLOSED","FIXED","Tab should take you to next column in table","2011-01-05 15:54:54"
330029,"Sapphire","other","konstantin","CLOSED","FIXED","Build on hudson.eclipse.org","2010-11-16 19:33:57"
330038,"Sapphire","modeling","konstantin","CLOSED","FIXED","IndexOutOfBoundsException in gallery sample","2011-01-05 16:43:24"
