"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
561063,"Scout","Scout SDK","Arthur.vanDorp","NEW"," ---","Installing via updatesite fails, source packages not found","2020-12-18 02:46:09"
568886,"Scout","Scout","ivan.motsch","NEW"," ---","Make LDAP authentication available","2020-12-06 13:14:21"
568090,"Scout","Scout","scout.core-inbox","NEW"," ---","Scout main webpage doesn't include an explanation what Scout actually is","2020-10-22 01:04:19"
512886,"Scout","Scout","awe","ASSIGNED"," ---","Tooltips might be displayed above MessageBoxes","2020-06-10 10:35:16"
521288,"Scout","Scout","awe","ASSIGNED"," ---","Destroyed Widget is not removed from Outline","2020-03-13 08:52:07"
547158,"Scout","Scout","awe","ASSIGNED"," ---","Large inputs in Integer-, Long- and BigIntegerField result in ""... is an invalid number"" errors and exponent notation","2019-12-19 06:13:23"
549684,"Scout","Scout","awe","ASSIGNED"," ---","Bug in Menu included into StatusField on ValueFieldMenu","2019-12-19 06:11:28"
561857,"Scout","Scout","awe","ASSIGNED"," ---","AbstractCodeTypeWithGeneric.getCodeByExtKey is not null-safe","2020-04-07 11:15:24"
565896,"Scout","Scout","awe","ASSIGNED"," ---","Maven build fails because NPM modules are installed at the wrong location","2020-11-05 10:01:07"
564402,"Scout","Scout","ivan.motsch","ASSIGNED"," ---","ICacheRegistryService - it is possible to create the same cache (same cache Id) multiple times without any warning/error","2020-06-18 10:29:24"
562750,"Scout","Scout","scout.core-inbox","ASSIGNED"," ---","Collator differences between Scout and Web Browser","2020-09-09 02:42:02"
565378,"Scout","Scout","scout.core-inbox","ASSIGNED"," ---","AbstractProposalField: No other value type parameters than String are supported","2020-09-09 02:44:52"
566951,"Scout","Scout","scout.core-inbox","ASSIGNED"," ---","TabBox Tooltip only visible when the form is already open","2020-09-14 07:59:33"
527851,"Scout","Scout","stephan.merkli","ASSIGNED"," ---","MailUtility / MailHelper cannot handle long E-Mail address","2020-03-12 04:33:17"
565828,"Scout","Scout","Arthur.vanDorp","RESOLVED","FIXED","Update maven-enforcer-plugin reference in Maven master to 3.0.0-M3","2020-08-12 09:11:55"
562751,"Scout","Scout","scout.core-inbox","RESOLVED","FIXED","Click on proposal row of a tag field not working","2020-06-29 03:57:20"
568001,"Scout","Scout","scout.core-inbox","RESOLVED","FIXED","Scout publishing old/expired org.apache.commons.lang3 to simrel","2020-10-20 09:30:06"
526363,"Scout","Scout SDK","scout.sdk-inbox","CLOSED","FIXED","NoSuchFileException in JreInfo on Mac","2019-06-18 03:46:28"
491157,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","Desktop layout: Enable form based","2019-06-18 03:34:43"
492896,"Scout","Scout","Andreas.Hoegger","CLOSED","WONTFIX","SWT: Label Background should not depend on Enabled State of Field","2017-06-06 05:32:04"
488384,"Scout","Scout","awe","CLOSED","WONTFIX","Selection of content of editable cell different from field","2019-06-18 10:36:30"
488789,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","FileChooser not working correctly when removing and re-adding a file","2019-12-18 10:20:24"
521380,"Scout","Scout","claudio.guglielmo","CLOSED","WONTFIX","Smartfield Proposal row with a display text of only spaces is not displayed at full height","2019-12-18 10:21:15"
539251,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","DateField invalid date format","2019-12-18 10:20:24"
561353,"Scout","Scout","Frank.Loeffler","CLOSED","WONTFIX","Deactivation of the current active page whle logout","2020-09-09 02:54:06"
537070,"Scout","Scout","ivan.motsch","CLOSED","FIXED","MOM subscription: add method to indicate whether subscription is active","2019-10-21 06:01:10"
553446,"Scout","Scout","ivan.motsch","CLOSED","FIXED","An IFuture from Jobs.schedule may return null upon fast cancellation, rare but severe race condition","2019-12-18 10:20:24"
531022,"Scout","Scout","matthias.otterbach","CLOSED","FIXED","Drag & Drop: Currently no drag support","2019-06-18 03:35:05"
531447,"Scout","Scout","matthias.otterbach","CLOSED","FIXED","ApacheMultiSessionCookieStore.P_DefaultCookieStoreDecorator does not store cookie","2019-06-18 03:34:51"
534293,"Scout","Scout","matthias.otterbach","CLOSED","FIXED","ServerRunContextProducer checks always true condition, does not ensure correct subject for session","2019-06-18 03:34:23"
521805,"Scout","Scout","patrick.baenziger","CLOSED","FIXED","Raise minimum required Java version to 8","2019-06-18 03:34:49"
531198,"Scout","Scout","patrick.baenziger","CLOSED","FIXED","Smartfield2 and ContentAssistField improperly handle RuntimeExceptions in ""filterLookup"" methods","2018-05-15 04:03:37"
535988,"Scout","Scout SDK","patrick.baenziger","CLOSED","FIXED","""Create missing Class-Ids in selected scope"" does not trigger refresh of FormData","2019-06-18 03:46:24"
