"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
251715,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Confirm Intent","2009-02-03 08:20:27"
252789,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Communicate","2009-10-09 13:13:59"
252790,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Intent","2009-10-09 13:13:44"
252791,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Attendance","2009-10-09 13:14:11"
252792,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Ramp Down Policy","2009-10-09 13:14:12"
252793,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","IP","2009-10-09 13:14:07"
252794,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","APIs","2009-10-09 13:13:45"
252795,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Message Bundles","2009-10-09 13:13:58"
252796,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Version Numbering","2009-10-09 13:14:06"
252797,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Leverage OSGi","2009-10-09 13:13:42"
252798,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Execution Environment","2009-10-09 13:14:02"
252799,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Signing","2009-10-09 13:14:05"
252800,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Use Jars","2009-10-09 13:14:00"
252801,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Builds","2009-10-09 13:14:14"
252803,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Orbit","2009-10-09 13:13:43"
252804,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Optimization","2009-10-09 13:14:08"
252805,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","New & Noteworthy","2009-10-09 13:13:46"
252806,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Work Together","2009-10-09 13:14:10"
252807,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Capabilities","2009-10-09 13:13:47"
252808,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Localization - Babel","2009-10-09 13:14:13"
252809,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Localization - ICU4J","2009-10-09 13:14:04"
252813,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Branding","2011-02-25 16:48:21"
252810,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Usability","2009-10-09 13:14:15"
252811,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Accessibility","2009-10-09 13:14:06"
252812,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Performance","2009-10-09 13:13:59"
252814,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Localization - Babel PTT","2009-10-09 13:14:14"
252815,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Localization - UI freeze","2009-10-09 13:14:15"
252816,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","FIXED","Localization - bidi","2009-10-09 13:14:03"
280604,"Simultaneous Release","Web","simultaneousrelease-inbox","RESOLVED","FIXED","Galileo project summary page missing EclipseLink","2009-06-17 11:00:49"
238914,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","INVALID","subversion support is broken","2009-10-09 13:33:09"
260603,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","INVALID","Unable to download Eclipse Platform from Galileo","2009-10-09 13:33:20"
261689,"Simultaneous Release","Web","simultaneousrelease-inbox","RESOLVED","WORKSFORME","Galileo P2 update site is not working","2009-01-27 13:48:51"
261690,"Simultaneous Release","Web","simultaneousrelease-inbox","RESOLVED","INVALID","no downloads are available for Galileo","2009-01-27 14:11:57"
262354,"Simultaneous Release","Web","simultaneousrelease-inbox","RESOLVED","INVALID","Links to integration builds broken on Galileo download page","2009-10-09 13:33:25"
263665,"Simultaneous Release","Releng","simultaneousrelease-inbox","RESOLVED","INVALID","Can't download 3.5 M5 Features via Update site","2009-10-09 13:27:07"
266282,"Simultaneous Release","UI","simultaneousrelease-inbox","RESOLVED","INVALID","Unable to update","2009-10-09 13:33:21"
271054,"Simultaneous Release","Web","simultaneousrelease-inbox","RESOLVED","FIXED","naming Galileo + 1","2009-06-12 11:42:01"
271814,"Simultaneous Release","Web","simultaneousrelease-inbox","RESOLVED","FIXED","Galileo Update Site down","2009-04-09 17:22:18"
274663,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","DUPLICATE","MacOSX Galileo Cocoa 64bit Java 1.6 Crashes - Possible SVN Cause","2009-05-08 10:59:25"
277529,"Simultaneous Release","Releng","simultaneousrelease-inbox","RESOLVED","FIXED","TmL needs permissions to update Galileo release file","2009-06-01 18:29:35"
279162,"Simultaneous Release","Web","simultaneousrelease-inbox","RESOLVED","INVALID","Some Updates Sites for Galileo nearly down most of the time","2009-10-09 13:33:08"
281248,"Simultaneous Release","Releng","simultaneousrelease-inbox","RESOLVED","INVALID","Provide bittorrent links in the Friends of Eclipse email","2009-10-09 13:33:24"
281281,"Simultaneous Release","Releng","simultaneousrelease-inbox","RESOLVED","WORKSFORME","Galileo downloads over torrent are slow/stopped","2009-06-24 12:23:03"
281571,"Simultaneous Release","Releng","simultaneousrelease-inbox","RESOLVED","FIXED","JPA Tools --> Generate Tables from Entities not working","2009-06-30 16:49:00"
283993,"Simultaneous Release","Releng","simultaneousrelease-inbox","RESOLVED","INVALID","Call name for Eclipse 4.0","2009-10-09 13:33:22"
286120,"Simultaneous Release","Prereq","simultaneousrelease-inbox","RESOLVED","INVALID","""Illegal start of expression"" is not reported by the IDE","2009-10-09 13:33:23"
