"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
549484,"Sirius","Diagram","anis.kharchi","UNCONFIRMED"," ---","[PERFORMANCE] Optimization of semantic candidates evaluation","2019-07-24 11:39:27"
521989,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Save session doesn't work when active editor is not a dialect editor","2017-10-18 03:49:23"
526843,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Configurable Sirius interpreter completion similar to the configurability of the Eclipse problem view","2017-11-04 15:00:25"
526844,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","How to write and use Sirius services without building plugins & launching a runtime Eclipse","2017-11-17 09:18:01"
535377,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Implement a resource strategy in the plugin which contain Odesign cause an error","2018-06-08 05:52:32"
541360,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Undo operation makes inconsistency between diagram and model","2018-11-20 06:32:17"
547034,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Undoing a add model into project dependencies does not remove the added resource from the session resourceSet","2019-05-07 05:17:32"
547111,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","When a project reference another project, deletion of referenced project doesn't remove deleted elements","2019-05-17 09:51:01"
547537,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","IItemColorProvider does not apply","2019-06-11 09:51:35"
547869,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","We can not access the class of diagram at ElkGraphlayout","2019-10-29 10:56:18"
566743,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Issue when the predicate, in the sortedBy() service, returns null","2020-09-07 12:52:49"
566745,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","The choice of a Java service (identically named) is not predictive, among several VSM","2020-09-07 13:01:49"
520349,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Ability to invoke Acceleo queries located in different project","2017-08-02 10:53:06"
521173,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Precondition on link mapping are not  called, but are validated","2017-10-17 10:32:32"
526841,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Synchronized selection toggle between XText editor and Sirius view","2017-11-04 14:55:51"
526842,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Missing ""Select in XText editor"" context menu action for Sirius diagram","2018-11-20 09:17:23"
529670,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","GridLayoutProvider throws IndexOutOfBoundsException","2018-02-13 04:16:53"
530198,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","[Decorator] Decorator group may contain more than the expected decorator number","2018-01-25 05:10:46"
540372,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Memory leak after delete modeling project","2019-01-08 11:03:52"
544143,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Deactivate a VP leads to an invalid behavior for the layer selector in diagram","2019-02-14 12:16:35"
545917,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Diagram sirius and progress bar","2019-03-29 05:00:33"
547987,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","[ELK] algorithm selection is not applied to containers","2019-10-29 11:15:17"
562264,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Dark mode support on diagrams : change edges & labels","2020-06-05 11:43:10"
565942,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Mapping Filter , Filter Kind option COLLAPSE is not working.","2020-08-10 05:04:55"
538886,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Selection Wizard does not invoke a service from the 'Elements to Select' property","2019-01-11 09:36:38"
553532,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Editing double attributes with text-widget leads to unnecessary error message","2019-11-27 07:24:33"
561655,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","When you reuse group descriptions or extend page, group, container, control... descriptions, the operation descriptions inside them are not retrieved","2020-04-07 08:26:36"
562213,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","A group, which contains a forced refresh dynamic mapping, prevents the folding/unfolding of all the groups of the related page","2020-04-30 05:09:25"
562665,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","The Widget and Toolbar Action improvements (similar to Button)","2020-05-04 11:05:35"
564746,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","""Is Enabled Expression"" not interpreted in a Dialog Button","2020-06-29 13:22:19"
566198,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Focused text fields are not updated on OK button on MacOS","2020-08-19 11:37:35"
566740,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","The toolbar actions can not be filtered","2020-09-07 12:25:05"
566741,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","No group instantiated in a dialog opened from an other dialog","2020-09-07 12:31:03"
566742,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","The groups in a dialog are not updated when the model changes","2020-09-07 12:40:29"
567241,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Text field does not refresh on failure","2020-09-22 06:18:34"
552167,"Sirius","Tree","sirius.tree-inbox","UNCONFIRMED"," ---","On a Drop tool, variable oldcontainer unusable if dragging from Model","2019-10-17 04:06:44"
494376,"Sirius","Core","sirius.core-inbox","NEW"," ---","Internationalisation - Add validation support","2016-05-24 07:06:32"
514645,"Sirius","Diagram","emmanuel.chebbi","NEW"," ---","Drag and drop support from non Sirius editors or views","2019-06-28 03:10:38"
491895,"Sirius","Diagram","florian.barbin","NEW"," ---","Have a paste special in Sirius","2016-08-26 11:21:51"
508256,"Sirius","Core","laurent.fasani","NEW"," ---","Provide default ids on creation for all IdentifiedElements in the VSM","2018-12-05 02:26:48"
513145,"Sirius","Diagram","laurent.fasani","NEW"," ---","NPE in DeferredLayoutCommand when adding semantic elements from an Xtext editor","2019-10-08 14:16:03"
525362,"Sirius","Diagram","laurent.redor","NEW"," ---","Upgrade Batik version","2018-06-28 10:26:21"
560559,"Sirius","Diagram","laurent.redor","NEW"," ---","[ELK] Wrong layout for container with regions (vertical stack or horizontal stack)","2020-03-20 05:25:38"
494594,"Sirius","Diagram","maxime.porhel","NEW"," ---","Unable to Resize Vertical Stacked Containers","2016-06-09 05:24:36"
