"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
510439,"Sisu","Plexus","sisu-inbox","NEW"," ---","NoSuchElementException at org.eclipse.sisu.plexus.RealmFilteredBeans$FilteredItr.next","2017-01-13 09:25:27"
513442,"Sisu","Inject","sisu-inbox","NEW"," ---","Consider binding provider implementation types using wildcard key","2017-03-10 07:07:09"
539379,"Sisu","Inject","sisu-inbox","NEW"," ---","Avoid calling mediators while holding the locator lock","2018-09-24 08:30:49"
539791,"Sisu","Plexus","sisu-inbox","NEW"," ---","Update cdi-api dependency to get rid of jsr250-api (to fix a conflict in class javax.annotation.Resource)","2018-10-04 09:06:46"
550176,"Sisu","Inject","sisu-inbox","NEW"," ---","Named modules not picked up at runtime","2019-08-19 09:26:14"
552486,"Sisu","Inject","sisu-inbox","NEW"," ---"," @Priority not honored on Providers","2019-10-28 11:10:21"
552976,"Sisu","Plexus","sisu-inbox","NEW"," ---","Array elements with comma via command line","2019-11-12 18:03:59"
563525,"Sisu","Plexus","sisu-inbox","NEW"," ---","Introduce PathConverter","2020-12-06 05:46:30"
563526,"Sisu","Plexus","sisu-inbox","NEW"," ---","Require Java 7","2020-12-06 06:11:20"
485270,"Sisu","Inject","mcculls","ASSIGNED"," ---","No way to filter OSGi service injection","2020-11-19 07:06:45"
489600,"Sisu","Plexus","mcculls","ASSIGNED"," ---"," @Priority is not honoured when mixing jsr330 and plexus components","2017-03-24 11:09:11"
498757,"Sisu","Plexus","mcculls","ASSIGNED"," ---","MapConverter doesn't handle ParameterizedType as map values","2016-07-28 08:23:18"
546874,"Sisu","Inject","mcculls","ASSIGNED"," ---","Upgrade ASM in Sisu to 7.1","2019-11-05 19:10:55"
485098,"Sisu","Inject","mcculls","RESOLVED","FIXED","Remove deprecated locator.add(injector,rank) and locator.remove(injector) methods","2016-01-03 18:19:56"
485099,"Sisu","Plexus","mcculls","RESOLVED","FIXED","Avoid static weak cache in ClassRealmManager","2016-01-03 20:23:47"
501624,"Sisu","Inject","mcculls","RESOLVED","FIXED","Update ASM to version 6.0_ALPHA","2016-09-16 21:10:08"
507688,"Sisu","Plexus","mcculls","RESOLVED","FIXED","Read collection inherited name instead of ""property"" only","2016-12-14 13:43:18"
552642,"Sisu","Inject","mcculls","RESOLVED","FIXED","Support reproducible builds by sorting generated javax.inject.Named index","2019-11-05 19:07:02"
487090,"Sisu","Plexus","mcculls","CLOSED","FIXED","Plexus lifecycle may be activated too late during overlapping parallel request","2016-02-17 15:19:49"
506484,"Sisu","Inject","sisu-inbox","CLOSED","INVALID","Inject does not seem to handle qualifiers between plugins","2016-12-13 12:28:54"
