"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
350549,"Skalli","Core","michael.ochmann","NEW"," ---","Tags should be managed/stored as own entity type","2012-01-09 04:43:31"
343934,"Skalli","Core","simon.kfm","NEW"," ---","Theming bundle missing in launch config","2011-07-08 07:37:13"
343937,"Skalli","Core","skalli.core-inbox","NEW"," ---","Using a web context path other that ""/"" does not work","2011-04-27 04:51:10"
346044,"Skalli","Core","skalli.core-inbox","NEW"," ---","HostReachableValidator does not translate socket exceptions to issues","2011-09-06 04:07:30"
350425,"Skalli","Core","skalli.core-inbox","NEW"," ---","Provide a mechanism to upload and display a project logo","2012-02-13 04:41:23"
350427,"Skalli","Core","skalli.core-inbox","NEW"," ---","Provide a list of recently changed projects on the welcome page","2011-06-27 07:47:57"
350550,"Skalli","Core","skalli.core-inbox","NEW"," ---","Search Result Page: make links in search results configurable","2011-06-28 06:57:24"
350807,"Skalli","Core","skalli.core-inbox","NEW"," ---","Example org.eclipse.skalli.core.fragment with skalli.properties","2011-06-30 08:18:49"
351725,"Skalli","Core","skalli.core-inbox","NEW"," ---","Improve ""communication problem"" error screen","2012-01-09 04:49:25"
352066,"Skalli","Core","skalli.core-inbox","NEW"," ---","Simplify extension configuration mechanism","2012-01-09 04:49:50"
354337,"Skalli","Core","skalli.core-inbox","NEW"," ---","Property captions in validators should be taken from extension services","2011-08-10 03:53:32"
355695,"Skalli","Core","skalli.core-inbox","NEW"," ---","Leading and trailing spaces in edit fields should be trimmed","2012-01-09 04:50:18"
356467,"Skalli","Core","skalli.core-inbox","NEW"," ---","SCMValidator: regular expr for SVN is wrong","2011-09-01 08:54:51"
356776,"Skalli","Core","skalli.core-inbox","NEW"," ---","XSS schema for /admin/services/org.eclipse.skalli.core.validation/monitors/queue missing","2011-09-06 04:26:28"
366372,"Skalli","Core","skalli.core-inbox","NEW"," ---","[Selenium] EditPageRelatedProjectsExtensionEditFormTest#relatedProjectsEditFormAddRemoveTest()","2011-12-12 05:39:41"
