"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
338886,"Smila","Pipelets","smila.pipelets-inbox","NEW"," ---","Clean up method in pipelet","2011-03-07 03:58:03"
339688,"Smila","Storage","smila.storages-inbox","NEW"," ---","[JPA] investigate better JPA integration w/o bundle coupling","2011-03-11 08:42:18"
293626,"Smila","Storage","tmenzel","NEW"," ---","[storages] JPA :: migrate to EL 1.2 to get rid of BLOB definitions for derby in orm.xml","2013-01-08 03:22:39"
332864,"Smila","Processing","daniel.stucky","CLOSED","FIXED","Possible memory leak in Crawler/WebsiteIterator","2013-04-15 11:27:51"
250774,"Smila","Connectivity","akaufmann","CLOSED","FIXED","Bundle Provider/Vendor should be consistent","2013-04-15 11:30:28"
251505,"Smila","IRMs","akaufmann","CLOSED","FIXED","[Build] Missing .checkstyle files","2013-04-15 11:30:37"
256904,"Smila","IRMs","Andreas.Weber","CLOSED","WONTFIX","[BUG // Documentation] How_to_implement_a_crawler -- temporary folder","2013-04-15 11:33:54"
280290,"Smila","Connectivity","Andreas.Weber","CLOSED","FIXED","Delta Indexing JMX Agent broken in M2","2012-10-15 12:08:10"
282498,"Smila","IRMs","Andreas.Weber","CLOSED","WONTFIX","Broken class Hierarchy in Crawler Performance Counters","2012-10-15 11:30:07"
287687,"Smila","Connectivity","Andreas.Weber","CLOSED","FIXED","[build] build improvements","2013-04-15 11:44:54"
289995,"Smila","Processing","Andreas.Weber","CLOSED","WONTFIX","[processing] new feature: Sequencer to keep things in order","2012-10-15 11:34:53"
294614,"Smila","Miscellaneous","Andreas.Weber","CLOSED","WONTFIX","[xml schemas] need to store xml schemas (XSD) in a central location and/or copy them automatically into used locations","2015-03-19 07:00:25"
303166,"Smila","IRMs","Andreas.Weber","CLOSED","WONTFIX","[Performance Counters] JMX Agents for Crawlers are a Memory Leak :: need a way to remove them","2012-10-15 11:39:41"
325449,"Smila","Connectivity","Andreas.Weber","CLOSED","WONTFIX","JDBC Crawler: grouping causes ""record not in cache"" crawler exception","2012-10-15 11:42:00"
331180,"Smila","IRMs","Andreas.Weber","CLOSED","FIXED","IllegalStateException while crawling","2013-04-15 11:48:40"
331667,"Smila","Build","Andreas.Weber","CLOSED","WONTFIX","xjc-plugins/interfaces is not reachable","2012-10-17 06:32:09"
333851,"Smila","IRMs","Andreas.Weber","CLOSED","FIXED","[encoding] EncodingHelper.getEncoding :: BOM detection not quite right","2014-05-23 09:37:58"
336633,"Smila","Miscellaneous","Andreas.Weber","CLOSED","WONTFIX","[devenv] general improvements | tracking issue","2013-01-03 08:33:57"
339315,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","While long crawling massive temporary files","2015-03-19 06:58:57"
250761,"Smila","Processing","churkin.ivan","CLOSED","FIXED","[Task:Clustering] Preparation for First Tests with Multiple Runtime Processes","2013-04-15 11:30:16"
254596,"Smila","IRMs","churkin.ivan","CLOSED","FIXED","Webcrawler Workflow Configuration results in empty Index","2013-04-15 11:32:05"
254997,"Smila","Processing","churkin.ivan","CLOSED","FIXED","Router / Listener Documentation  ## Revision regarding Synchronisation and Filtering","2013-04-15 11:32:34"
