"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
487092,"Sphinx","Scripting Support","sphinx-inbox","UNCONFIRMED"," ---","New workflow not loaded","2016-06-01 16:22:22"
487705,"Sphinx","Validation Runtime Extensions","sphinx-inbox","UNCONFIRMED"," ---","Check-based validation: How to disable automatic consistency checks","2016-06-01 16:27:46"
526093,"Sphinx","Scripting Support","sphinx-inbox","UNCONFIRMED"," ---","autodoc.py"", line 658, in import_object     __import__(self.modname) Caused by python decorators .... with autodoc View function mapping is overwriting an existing endpoint","2017-10-24 15:43:57"
527210,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","NegativeArraySizeException from proxy management. No thread safe","2018-03-08 07:51:33"
531085,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","ModelDescriptorRegistry#internalGetModel(IFile) throws ConcurrentModificationException","2018-02-13 04:45:32"
537664,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","No group notification raised  in BasicMetaModelVersionGroup","2018-08-03 09:04:15"
543724,"Sphinx","Validation Runtime Extensions","sphinx-inbox","UNCONFIRMED"," ---","ValidationMarkerManager removes markers that are out of scope","2019-01-23 04:24:01"
548030,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","Execution of ModelLoadJob during workspace shutdown causes BundleException","2019-06-07 06:12:04"
565233,"Sphinx","Validation Runtime Extensions","sphinx-inbox","UNCONFIRMED"," ---","ValidationMarkerManager method does not return any  markers","2020-07-15 02:39:13"
567814,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","[Validation] The EMF validation framework reports multiple identical validation problems","2020-10-12 11:28:17"
485777,"Sphinx","Core","sphinx-inbox","NEW"," ---","Make Show Referencing Objects asynch / canceable","2016-06-01 16:19:34"
494142,"Sphinx","Core","sphinx-inbox","NEW"," ---","logError called with problematic arguments -> message not correctly generated.","2016-06-01 16:21:09"
497451,"Sphinx","Core","sphinx-inbox","NEW"," ---","Remove Workaround in org.eclipse.sphinx.emf.ecore.new ECrossReferenceAdapter()","2016-07-07 03:06:41"
501713,"Sphinx","Core","sphinx-inbox","NEW"," ---","Inefficient implementation of org.eclipse.sphinx.emf.util.EObjectUtil.deproxify(EObject)","2016-09-19 08:19:33"
511719,"Sphinx","Core","sphinx-inbox","NEW"," ---","Make EcoreIndex non-final","2017-02-05 12:36:12"
511721,"Sphinx","Core","sphinx-inbox","NEW"," ---","Discussion of IProxyResolverService","2017-02-05 13:04:52"
514795,"Sphinx","Core","sphinx-inbox","NEW"," ---","org.eclipse.sphinx.emf.search.ui.ModelSearchQuery.performSearch() invokes search too often","2017-04-05 13:20:24"
514796,"Sphinx","Core","sphinx-inbox","NEW"," ---","Architecture of sphinx search","2017-04-05 13:22:32"
517962,"Sphinx","Core","sphinx-inbox","NEW"," ---","Improve Model Conversion Performance","2017-06-07 13:32:31"
520611,"Sphinx","Core","sphinx-inbox","NEW"," ---","Support for check validations that set constraint dynamically","2017-08-07 05:31:58"
537193,"Sphinx","Core","sphinx-inbox","NEW"," ---","Multiple extensions of extension point: org.eclipse.sphinx.emf.workspace.editingDomains will corrupt the behaviour of Sphinx in an IDE","2018-08-15 01:36:00"
537196,"Sphinx","Core","sphinx-inbox","NEW"," ---","ResourceSet created without considering scope","2018-07-19 11:47:11"
486155,"Sphinx","Navigator & Editor Sockets","stephaneberle9","NEW"," ---","The tree viewer state restoration upon Eclipse startup occasionally failing","2016-01-20 02:51:53"
501112,"Sphinx","Navigator & Editor Sockets","stephaneberle9","RESOLVED","FIXED","Temporary model loading form editor page sometimes happens to remain in place forever even when underlying model has been loaded","2016-09-08 17:47:14"
531560,"Sphinx","Core","stephaneberle9","RESOLVED","FIXED","Provide better control over schema locations being added to serialized model files","2018-02-24 03:42:21"
531506,"Sphinx","Core","balazs.grill","RESOLVED","FIXED","Viatra integration attempts to modify collection returned by base index","2018-04-30 01:22:44"
507570,"Sphinx","Core","sphinx-inbox","RESOLVED","FIXED","Provide hook for customizing workflow instance after creation","2016-11-28 06:58:21"
510664,"Sphinx","Core","sphinx-inbox","RESOLVED","FIXED","Model unloading throws exceptions for derived references","2017-01-20 09:24:52"
510849,"Sphinx","Core","sphinx-inbox","RESOLVED","FIXED","modelDescriptor.getEditingDomain().yield() in UnresolveUnreachableCrossProjectReferencesOperation","2017-01-26 09:54:15"
510864,"Sphinx","Core","sphinx-inbox","RESOLVED","FIXED","unresolveUnreachableCrossProjectReferencesInModel changes order in lists","2017-01-26 09:37:32"
526269,"Sphinx","Core","sphinx-inbox","RESOLVED","FIXED","Properties page cannot be opened from Example Form Editor","2018-01-22 06:26:07"
485407,"Sphinx","Core","stephaneberle9","RESOLVED","FIXED","Enable eager post-load proxy resolution to support manifold URI fragments referring to the same object","2016-01-08 08:58:29"
487564,"Sphinx","Core","stephaneberle9","RESOLVED","FIXED","Provide a reusable base implementation of an IURIChangeDetectorDelegate for URIs with hierarchical fragments","2016-06-01 16:16:54"
501108,"Sphinx","Navigator & Editor Sockets","stephaneberle9","RESOLVED","FIXED","Tree viewer state restoration upon Eclipse startup not working for model elements being added after the loading of the underlying has been finished","2016-09-08 17:52:16"
501109,"Sphinx","Navigator & Editor Sockets","stephaneberle9","RESOLVED","FIXED","Tree viewer state restoration upon Eclipse startup and viewer refresh still running in cases where it is not needed","2016-09-08 17:51:47"
501110,"Sphinx","Core","stephaneberle9","RESOLVED","FIXED","Provide an isSet(EObject) method in EObjectUtil","2016-09-09 05:45:46"
501899,"Sphinx","Core","stephaneberle9","RESOLVED","FIXED","Use base index instead of incQuery patterns","2017-01-16 07:58:53"
503063,"Sphinx","Scripting Support","stephaneberle9","RESOLVED","FIXED","Provide launching support for Sphinx Workflows","2016-11-09 09:17:42"
506671,"Sphinx","Scripting Support","stephaneberle9","RESOLVED","FIXED","Add support for specifying and injecting user-defined arguments for workflows through workflow launch configurations","2016-11-15 09:50:55"
510884,"Sphinx","Core","stephaneberle9","RESOLVED","FIXED","org.eclipse.sphinx.emf.internal.metamodel.services.MetaModelServiceDescriptor.newInstance() has wrong code","2017-01-26 09:29:31"
511105,"Sphinx","Core","stephaneberle9","RESOLVED","FIXED","Ensure Mars compatibility & fix compilation errors under Oxygen due to internal API usage","2017-01-27 05:11:56"
544413,"Sphinx","Core","balazs.grill","CLOSED","FIXED","Cross-reference resolution scales badly with number of model files in workspace","2020-07-23 23:33:26"
566004,"Sphinx","Core","balazs.grill","CLOSED","FIXED","WorkspaceViatraQueryEngineHelper uses a faulty scope when creating the ViatraQueryEngine","2020-09-07 11:21:37"
