"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
398502,"TCF","Agent","dbrachet.wr","NEW"," ---","[Discovery] Peer removal is not reported reliable","2013-10-09 04:35:02"
522519,"TCF","Agent","dbrachet.wr","NEW"," ---","libwebsocket build warnings","2017-09-20 03:12:32"
522522,"TCF","Agent","dbrachet.wr","NEW"," ---","libwebsocket: Unable to connect with an URL length > 2k","2017-09-20 03:40:47"
225082,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf][releng] Improve TCF Agent build directory structure","2011-04-28 00:14:34"
243787,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf] Decouple the notions of messages dispatching, communication channel and serialization","2011-04-28 00:14:33"
243792,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf] Decouple the notions of service interface, local service and remote service proxy","2011-04-28 00:14:34"
243868,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf] Possibility to create value add server directly in the TCF java implementation","2013-01-24 07:42:46"
255205,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf] Use a uniform prefix for the global symbols in the tcf library","2011-04-28 00:14:31"
264872,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf] Protocol extension to support for memory regions","2011-04-28 00:14:33"
270607,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf] Need string externalization","2011-04-28 00:14:30"
271895,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf][api] Grouping service proposal","2011-04-28 00:14:32"
321622,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","TCF agent headers required for plugins are not installed","2011-04-28 00:14:30"
327865,"TCF","Core","dsdp.tm.tcf-inbox","NEW"," ---","[tcf] Add a Login service to fully support authentication","2011-04-28 00:14:29"
222819,"TCF","Core","eugenet","NEW"," ---","[tcf][doc] Explain the new valueadd and example plugins in TCF Getting Started Docs","2013-11-28 08:40:27"
224412,"TCF","Core","eugenet","NEW"," ---","[tcf][agent] Simplify agent includes by providing master tcf.h","2011-04-28 00:14:30"
425794,"TCF","Core","eugenet","NEW"," ---","Explain how ACPM works and how to program it correctly.","2016-08-12 06:48:37"
404491,"TCF","Agent","gmorice","NEW"," ---","Build TCF Lua integration as sharedlib optionally","2013-03-28 03:15:43"
400154,"TCF","Debug","pawel.1.piech","NEW"," ---","Add org.eclipse.debug.core and org.eclipse.resources.core imports","2013-02-18 15:00:47"
359502,"TCF","Agent","tcf.agent-inbox","NEW"," ---","[TCF][agent] segmentation fault in tcf agent when using CDT remote launch plugin to run remote applications","2011-10-01 21:12:08"
376858,"TCF","Agent","tcf.agent-inbox","NEW"," ---","[doc] ZeroCopy protocol documentation is missing","2013-11-30 03:03:57"
392343,"TCF","Agent","tcf.agent-inbox","NEW"," ---","Registers service does not implement the search command","2012-10-23 05:49:41"
394989,"TCF","Agent","tcf.agent-inbox","NEW"," ---","context queries using ** are mishandled","2012-12-05 09:44:05"
407142,"TCF","Agent","tcf.agent-inbox","NEW"," ---","[Path Map] The PathMap Service is missing protocol documentation and unit tests","2013-11-28 08:43:04"
407144,"TCF","Agent","tcf.agent-inbox","NEW"," ---","[Path Map] Missing support for file name mappings and wildcards","2013-10-09 04:31:50"
410471,"TCF","Agent","tcf.agent-inbox","NEW"," ---","Pressing Disconnect button of the debug view does not detach the debugger from attached contexts","2014-03-07 12:24:03"
411091,"TCF","Agent","tcf.agent-inbox","NEW"," ---","[doc] Getting-started documentation is missing information abount existing client sample","2013-11-28 08:40:27"
411116,"TCF","Agent","tcf.agent-inbox","NEW"," ---","[doc] Getting-started documentation is missing build instructions for ubuntu","2013-11-28 08:40:27"
414147,"TCF","Agent","tcf.agent-inbox","NEW"," ---","Add a Channel ID to client specific properties","2013-09-03 17:53:40"
