"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
496330,"Thym","General","thym-inbox","UNCONFIRMED"," ---","Plugin folder decorators do not appear on Linux.","2017-12-11 06:50:34"
500543,"Thym","iOS","thym-inbox","UNCONFIRMED"," ---","When running iOS simulator, console shows an error running ""instruments""","2016-08-30 17:41:41"
513338,"Thym","General","thym-inbox","UNCONFIRMED"," ---","\ is an invalid character in ressource name 'J\'apprends à calculer'.","2017-03-08 14:21:52"
490066,"Thym","Website/Doc","thym-inbox","NEW"," ---","Main Thym page misses instructions/links to download/install","2016-06-27 10:03:12"
493382,"Thym","Releng","thym-inbox","NEW"," ---","Bump version on master","2016-06-01 12:25:16"
498254,"Thym","General","thym-inbox","NEW"," ---","Can not retrieve plugin catalog","2017-08-14 08:41:38"
500281,"Thym","Android","thym-inbox","NEW"," ---","Project wizard autogenerates wrong code","2016-08-25 12:52:49"
506551,"Thym","General","thym-inbox","NEW"," ---","Cannot export native app","2016-10-26 07:15:30"
514543,"Thym","iOS","thym-inbox","NEW"," ---","Cannot run hybrid app on ios simulator when eclipse runs in osx sandbox","2017-03-31 09:37:06"
515753,"Thym","iOS","thym-inbox","NEW"," ---","Attempt to install cordova plugin: Could not find *-Info.plist file, or config.xml file.","2017-04-25 07:28:50"
517918,"Thym","iOS","thym-inbox","NEW"," ---","App does not run in iOS simulator with ios cordova 4.3.1","2017-06-07 04:32:06"
520669,"Thym","General","thym-inbox","NEW"," ---","org.w3c.dom.DOMException when changing engines","2017-08-14 08:35:34"
530902,"Thym","General","thym-inbox","NEW"," ---","Clicking on platforms/android{ios}xyz in Project Explorer throws NPE","2018-02-08 11:10:55"
531285,"Thym","General","thym-inbox","NEW"," ---","path to cordova.js template file has changed","2018-02-16 10:40:29"
491074,"Thym","iOS","thym-inbox","REOPENED"," ---","xcodeproj is shown as a directory in Project Explorer","2016-06-27 09:58:49"
491580,"Thym","General","amisevsk","RESOLVED","FIXED","Implement Engines Management in config.xml editor","2016-06-29 15:37:35"
488705,"Thym","Android","gorkem.ercan","RESOLVED","FIXED","The first time you run emulate for android after creating a hybrid project you get a NPE due to eclipse not knowing about the build folder","2016-03-18 22:39:18"
488731,"Thym","General","gorkem.ercan","RESOLVED","FIXED","Remove Export native project wizard","2016-03-18 21:08:30"
489309,"Thym","iOS","gorkem.ercan","RESOLVED","FIXED","Cannot properly download and use Cordova iOS 4.1.0","2016-03-18 21:47:09"
487258,"Thym","General","thym-inbox","RESOLVED","FIXED","If cordova is not installed then error is thrown","2016-02-28 19:24:09"
487261,"Thym","General","thym-inbox","RESOLVED","FIXED","Cannot finish the wizard if there are no engines already downloaded","2016-02-27 21:21:04"
488701,"Thym","Android","thym-inbox","RESOLVED","FIXED","Apps dose not launch when run the emulator for android.","2016-03-18 22:48:33"
489415,"Thym","Android","thym-inbox","RESOLVED","INVALID","Cannot build Android Application without android-23 target","2016-06-27 09:56:44"
489651,"Thym","Windows","thym-inbox","RESOLVED","FIXED","Thym does not support cordova-windows","2016-05-26 12:25:02"
490547,"Thym","General","thym-inbox","RESOLVED","FIXED","org.eclipse.thym.core needs to work with WTP M6","2016-03-29 01:25:01"
490768,"Thym","iOS","thym-inbox","RESOLVED","INVALID","Changes in 'www' are not propagated to xcode build","2016-06-27 10:02:10"
491242,"Thym","General","thym-inbox","RESOLVED","FIXED","CordovaPluginSelectionPage performance issues","2017-04-24 10:32:54"
491430,"Thym","General","thym-inbox","RESOLVED","FIXED","Error: Failed to find 'ANDROID_HOME' environment variable.","2017-04-24 10:41:04"
491764,"Thym","General","thym-inbox","RESOLVED","FIXED","Fatal error invoking cordova CLI","2017-05-10 09:01:51"
496329,"Thym","General","thym-inbox","RESOLVED","FIXED","Changes in config.xml are not correctly propagated to project","2017-06-09 06:40:16"
498266,"Thym","General","thym-inbox","RESOLVED","FIXED","Implement checkbox to show/hide nightly builds of mobile engines","2017-05-10 09:02:52"
502146,"Thym","General","thym-inbox","RESOLVED","FIXED","Errors updating engines from config.xml","2017-01-19 16:55:00"
506123,"Thym","General","thym-inbox","RESOLVED","FIXED","Config.xml is not saved after ""Create Hybrid Mobile Application"" wizard finished","2017-04-24 10:36:01"
506517,"Thym","General","thym-inbox","RESOLVED","FIXED","Too many XML problems in platforms folder shown","2017-06-01 03:35:27"
510623,"Thym","Android","thym-inbox","RESOLVED","FIXED","Cannot run cordova project with android emulator","2017-04-01 23:50:03"
514688,"Thym","General","thym-inbox","RESOLVED","FIXED","EngineConfigurationPage is not validated after new engine is dowloaded/removed","2017-04-24 10:37:37"
515685,"Thym","General","thym-inbox","RESOLVED","FIXED","Environment variables should be used for all Cordova CLI invocations","2017-05-03 07:06:08"
515710,"Thym","General","thym-inbox","RESOLVED","FIXED","Selecting plugin throws exception","2017-05-03 07:06:40"
516449,"Thym","General","thym-inbox","RESOLVED","FIXED","Show Run On <platform> menu only for hybrid projects with <platform> enabled","2017-05-15 03:31:42"
516525,"Thym","General","thym-inbox","RESOLVED","FIXED","Add support for projects with no platform defined","2017-05-15 03:32:07"
