"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
469065,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","ClassCastException in TmfAnalysisModuleSources.getSources (60)","2015-06-02 01:09:03"
470084,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","RemoteConnectionException in ChildInfosCommand.getResult (64) (Permission denied)","2015-06-12 10:45:50"
474247,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","Synchronization view is empty","2015-08-14 10:43:02"
409424,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[TMF] Implement listener priorities in the signal manager","2015-03-11 16:04:17"
410243,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[tracepoint] Add tracepoint insertion feature from editor UI for lttng-UST","2015-03-11 16:04:08"
410244,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[tracepoints] Add Trace button in CDT","2015-03-11 16:03:38"
417354,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[TMF] Common code in UI handlers","2015-03-11 16:04:29"
419269,"Tracecompass","TMF","patrick.tasse","NEW"," ---","Resizable Sequence diagram find dialog","2015-03-11 16:04:19"
419276,"Tracecompass","TMF","patrick.tasse","NEW"," ---","Show/Hide options should use a positive action, not a negative one","2015-03-11 16:04:05"
419290,"Tracecompass","TMF","patrick.tasse","NEW"," ---","When previewing Sequence diagram print, pages can be invisible","2015-03-11 16:04:10"
419291,"Tracecompass","TMF","patrick.tasse","NEW"," ---","When previewing Sequence diagram print, escape key doesn't always cancel","2019-01-10 19:21:46"
420763,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[TMF UI] Document how it is possible to customize the workspace using Eclipse perspective","2015-03-11 16:03:52"
420765,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[Tmf ui] ""Colors"" view does not apply to histogram","2015-03-11 16:04:25"
420766,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[Tmf ui] Add a fast link to ""Colors"" filter in the contextual menu of the event editor","2016-02-26 15:15:32"
420768,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[Tmf ui] Add possibility to have relative timestamps in time format","2015-03-11 16:03:54"
421018,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[TMF UI] Add possibility to move entry items in Time graph views by dragging them","2015-03-11 16:03:53"
421861,"Tracecompass","TMF","patrick.tasse","NEW"," ---","[TMF] After importing a new trace, it should be possible to go directly to a time X and see some results","2015-03-11 16:03:58"
