"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
513203,"Tycho","Core","jan.sievers","NEW"," ---","tycho-packaging-plugin validate-version drops leading zeros","2020-06-12 04:09:37"
502377,"Tycho","Core","laeubi","NEW"," ---","Allow tycho.localArtifacts=ignore to be configured in target-platform-configuration <configuration>","2020-07-07 14:09:37"
487108,"Tycho","Core","tycho-inbox","NEW"," ---","tycho-versions-plugin buildQualifier property is no more condider by tycho-versions-plugin","2016-02-03 07:51:53"
488385,"Tycho","Core","tycho-inbox","NEW"," ---","including artifact with ""binary"" classifier does not work","2016-02-24 09:12:01"
488403,"Tycho","Core","tycho-inbox","NEW"," ---","""Unexpected error loading extension""  on local test machine for Patch builds (only)","2016-02-24 14:45:31"
488725,"Tycho","Core","tycho-inbox","NEW"," ---","Mars composite p2 repo causes 'Could not determine SWT implementation fragment bundle' error for noenv","2016-03-08 23:18:50"
488944,"Tycho","Core","tycho-inbox","NEW"," ---","tycho-compiler-plugin: allow adding extraClasspathElements in front of existing classpath","2016-03-18 03:46:52"
491165,"Tycho","Core","tycho-inbox","NEW"," ---","tycho-surefire-plugin fails to getBundleClassLoader for the Bundle-Under-Test in the case of bundle startup thrashing","2016-04-06 11:27:17"
492991,"Tycho","Core","tycho-inbox","NEW"," ---","set-versions","2016-05-09 03:24:09"
494760,"Tycho","Core","tycho-inbox","NEW"," ---","Using --also-make should add dependency edge to eclipse-target-definition artifact","2020-10-26 10:44:26"
495237,"Tycho","Core","tycho-inbox","NEW"," ---","Specify dependencies of tycho-eclipserun-plugin using a target platform","2016-12-13 08:05:54"
495652,"Tycho","Core","tycho-inbox","NEW"," ---","[extras] Add skip parameter to target-platform-validation:validate-target-platform","2016-06-08 04:35:29"
495771,"Tycho","Core","tycho-inbox","NEW"," ---","tycho-source-feature-plugin requires feature.properties to exist","2017-07-20 18:02:59"
498118,"Tycho","Core","tycho-inbox","NEW"," ---","Director plugin rewrites artifacts.xml over and over during materialize-products","2016-07-19 05:35:47"
498124,"Tycho","Nexus Plugins","tycho-inbox","NEW"," ---","port nexus unzip plugin to Nexus 3.0","2018-11-02 05:07:23"
502420,"Tycho","Core","tycho-inbox","NEW"," ---","Allow the use of groupId.artifactId for Bundle-SymbolicName","2016-09-28 09:42:16"
504030,"Tycho","Core","tycho-inbox","NEW"," ---","Allow publish-categories mojo to take other files than category.xml","2016-10-05 05:18:41"
505620,"Tycho","Core","tycho-inbox","NEW"," ---","Allow Tycho to use an alternate cache location","2019-06-19 20:20:59"
507910,"Tycho","Core","tycho-inbox","NEW"," ---","p2.inf which provides an osgi.bundle causes an NPE","2016-12-19 04:24:58"
508092,"Tycho","Core","tycho-inbox","NEW"," ---","No documentation description for the ""p2-metadata"" mojo","2016-11-25 03:04:04"
509983,"Tycho","Core","tycho-inbox","NEW"," ---","Comparator needs to disregard size differences of plugins in feature.xml","2017-01-11 08:35:10"
510220,"Tycho","Core","tycho-inbox","NEW"," ---","Description of source features could be different by default","2017-01-11 03:48:36"
510338,"Tycho","Core","tycho-inbox","NEW"," ---","Different source folder for maven vs. PDE build","2017-01-12 05:28:22"
510481,"Tycho","Core","tycho-inbox","NEW"," ---","tycho-pomgenerator:generate-poms fails to define groupId for parent pom","2017-01-16 03:34:35"
510702,"Tycho","Core","tycho-inbox","NEW"," ---","[tycho-packaging-plugin] Parametrise location of target definition file in mojo package-target-definition","2017-01-20 10:25:27"
510809,"Tycho","Core","tycho-inbox","NEW"," ---","Unexpected ""Mirror Tool"" error","2017-01-23 06:36:46"
512198,"Tycho","Core","tycho-inbox","NEW"," ---","tycho-p2-extras-plugin:publish-features-and-bundles does not update xz meta-data","2017-12-15 06:45:25"
512697,"Tycho","Core","tycho-inbox","NEW"," ---","Tycho's and Maven's (dependency:tree) view of bundle dependencies inconsistent","2017-03-10 10:45:01"
