"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
525445,"Viatra","Addons","viatra-inbox","UNCONFIRMED"," ---","[Databinding] Observables based on BaseIndex feature and instance listeners","2017-10-04 05:15:12"
547031,"Viatra","Examples","viatra-inbox","UNCONFIRMED"," ---","Provide a GT-like transformation for CPS Demonstrator","2019-05-20 15:26:03"
561296,"Viatra","Common","viatra-inbox","UNCONFIRMED"," ---","Query Results View - Order patterns based on ordering in VQL file","2020-03-20 08:03:30"
562320,"Viatra","Examples","viatra-inbox","UNCONFIRMED"," ---","Documentation about EVM has dead links","2020-04-20 09:24:23"
562471,"Viatra","Addons","viatra-inbox","UNCONFIRMED"," ---","A line break in the @Constraint annotation's message argument breaks the generated pattern code","2020-10-15 05:57:18"
565103,"Viatra","Examples","viatra-inbox","UNCONFIRMED"," ---","Differential dataflow engine not mentioned in documentation","2020-07-10 02:45:08"
565126,"Viatra","Common","viatra-inbox","UNCONFIRMED"," ---","Add link to Javadoc","2020-07-10 10:12:42"
566195,"Viatra","Examples","viatra-inbox","UNCONFIRMED"," ---","Mention that patterns can be imported","2020-08-19 10:28:33"
541567,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Pattern shows a false warning for EObject in neg find","2018-11-28 05:23:41"
547015,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Set dangling edge assumption to false","2019-05-20 15:29:08"
561652,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","False positive validation error on untyped query parameters","2020-04-03 11:56:33"
561745,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Tooling resolves supertypes incorrectly in some cases","2020-04-06 08:34:53"
564405,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Pattern with Custom Aggregator can not be loaded into Query Results View","2020-08-20 04:25:16"
564426,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Query with Set can be evaluated with Query Results but generated code does not compile","2020-12-07 12:56:05"
564454,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","NavigationHelperContentAdapter receives notifications that are out of scope","2020-08-12 05:50:09"
567352,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Different Answers for Cyclic Recursive Patterns using DRED and DDF","2020-10-12 08:08:51"
567602,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Export Rete Network Visualization Graph","2020-10-07 04:57:49"
568963,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","DelayUpdatePropagation() can result in slowdown","2020-11-20 04:26:53"
519848,"Viatra","Transformation","viatra-transformation","UNCONFIRMED"," ---","Setting a transformation breakpoint throws error if the resource of the Transformation Class is missing","2020-11-23 08:30:49"
561254,"Viatra","Transformation","viatra-transformation","UNCONFIRMED"," ---","Model Transformation template ""getExampleRule()"" uses deprecated methods","2020-03-19 08:47:43"
506471,"Viatra","Query","zoltan.ujhelyi","UNCONFIRMED"," ---","Type inferer fails with EObject","2020-11-23 08:30:51"
519825,"Viatra","Examples","zoltan.ujhelyi","UNCONFIRMED"," ---","Provide user guide for CPS Application","2020-12-07 12:54:56"
537412,"Viatra","Integrations","zoltan.ujhelyi","UNCONFIRMED"," ---","ClassCastException in InitValidatorsForEditorHandler","2020-12-07 12:55:33"
561210,"Viatra","Examples","zoltan.ujhelyi","UNCONFIRMED"," ---","Add tutorial examples to example repository","2020-12-07 12:55:53"
507960,"Viatra","Obfuscator","abel.hegedus","NEW"," ---","Provide application extension in installable feature to execute obfuscator from command line","2016-11-22 10:04:39"
507961,"Viatra","Obfuscator","abel.hegedus","NEW"," ---","Obfuscator UI should allow restore","2016-11-22 10:06:16"
