"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
515966,"Virgo","runtime","dmarthaler","NEW"," ---","Virgo fails to load resources from ext repository if installed under a directory containing spaces","2017-06-16 05:12:39"
488722,"Virgo","virgo-build","virgo-inbox","NEW"," ---","Evaluate possibility of migrating kernel-tools repository from ivy to maven/tycho","2016-02-29 16:23:05"
500758,"Virgo","runtime","virgo-inbox","NEW"," ---","Virgo kernel (services) timeout intermittently","2017-06-16 05:13:26"
511424,"Virgo","jetty","virgo-inbox","NEW"," ---","Update Jetty version to 9.4","2018-02-21 06:32:45"
511700,"Virgo","documentation","virgo-inbox","NEW"," ---","Add pdf gen to docs build","2017-06-16 05:15:25"
512157,"Virgo","documentation","virgo-inbox","NEW"," ---","Virgo User Guide references Tomcat 7","2019-08-11 10:16:53"
512166,"Virgo","unknown","virgo-inbox","NEW"," ---","Resolution of uses-conflicts takes long","2017-06-16 05:12:54"
512705,"Virgo","runtime","virgo-inbox","NEW"," ---","Provide a choice of both Spring 3 and Spring 4 to applications running inside Virgo","2017-06-16 05:12:19"
512960,"Virgo","runtime","virgo-inbox","NEW"," ---","Update Apache Mina","2017-11-01 07:15:00"
518010,"Virgo","runtime","virgo-inbox","NEW"," ---","Uninstall/Undeploy bundle only stops the bundle","2017-06-27 12:59:03"
518094,"Virgo","runtime","virgo-inbox","NEW"," ---","Removing plan from pickup no longer ""uninstalls"" the plan","2017-06-23 04:16:36"
518114,"Virgo","runtime","virgo-inbox","NEW"," ---","Undeploy via JMX fails","2017-06-23 04:16:52"
526452,"Virgo","runtime","virgo-inbox","NEW"," ---","Move the Virgo Runtime to the new EPL v2.0","2018-08-14 06:03:34"
535782,"Virgo","unknown","virgo-inbox","NEW"," ---","Product should be released as a docker images","2018-06-11 16:51:03"
536917,"Virgo","runtime","virgo-inbox","NEW"," ---","Update Apache Tomcat to version 8.5.32 or later","2018-07-11 08:55:43"
546942,"Virgo","runtime","virgo-inbox","NEW"," ---","Replace endorsed standards override mechanism","2019-11-12 02:59:58"
548504,"Virgo","runtime","virgo-inbox","NEW"," ---","Update equinox OSGi runtime to latest version 3.13 to support latest R7","2019-06-21 05:42:57"
552729,"Virgo","runtime","virgo-inbox","NEW"," ---","Clean start without deleting serviceability folder","2019-11-06 05:20:10"
502236,"Virgo","bundlor","dmarthaler","ASSIGNED"," ---","Update Maven plugin.xml dependencies and test Bundlor Maven Plugin","2016-09-27 06:13:15"
503383,"Virgo","bundlor","dmarthaler","ASSIGNED"," ---","Test Commandline Bundlor","2016-10-04 09:22:33"
