"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
485725,"Vorto","Code Generators","alexander.edelmann","RESOLVED","FIXED","Create MQTT Consumer Code Generator","2016-02-18 03:11:54"
487483,"Vorto","Code Generators","alexander.edelmann","RESOLVED","MOVED","Mapping-rules of events are ignored when generating code","2016-03-14 03:07:18"
488029,"Vorto","Toolset","alexander.edelmann","RESOLVED","FIXED","Generator Project Wizard exposing option to create Backend Generator Service","2016-02-26 22:28:13"
488152,"Vorto","Code Generators","alexander.edelmann","RESOLVED","FIXED","Harmonize toolset generator and backend generator API","2016-02-26 22:25:09"
488153,"Vorto","Infrastructure","alexander.edelmann","RESOLVED","FIXED","Docker Image for Vorto Repository and Generators","2016-02-26 22:23:20"
485502,"Vorto","Code Generators","vorto-inbox","RESOLVED","FIXED","ThingWorx Example Code Generator","2016-02-18 03:09:11"
485503,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","FIXED","Email Templates with Freemarker","2016-02-18 03:30:18"
485504,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","FIXED","More Junit Tests to grant Quality","2016-02-18 03:29:53"
485505,"Vorto","Toolset","vorto-inbox","RESOLVED","FIXED","Include import vorto repository into oomph setup","2016-02-18 03:24:08"
485506,"Vorto","Toolset","vorto-inbox","RESOLVED","FIXED","Create Yatta setup profile based on oomph","2016-02-18 03:22:36"
485507,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","FIXED","Vorto Repository Web Interface should work on lower resolutions","2016-02-18 03:29:37"
485508,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","FIXED","Search Result Datagrid","2016-02-18 03:29:21"
485509,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","MOVED","Vorto Repository Backup / Restore of Models","2016-03-14 04:42:21"
485523,"Vorto","Web Site","vorto-inbox","RESOLVED","FIXED","Create a new news article on talk on Vorto in IoTTechspresso","2016-02-18 03:36:37"
487980,"Vorto","Infrastructure","vorto-inbox","RESOLVED","MOVED","Automated deployment of Vorto Repository Service incl. generator services to Eclipse VM","2016-03-14 03:20:54"
488030,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","MOVED","Web-based Dev Tool to create Information Models","2016-03-14 04:40:56"
488069,"Vorto","Web Site","vorto-inbox","RESOLVED","FIXED","Vorto Repository Documentation","2016-02-26 22:31:27"
488183,"Vorto","Information Meta-Model","vorto-inbox","RESOLVED","FIXED","Add meta attributes on properties, e.g. measurementunit, eventable, ...","2016-02-26 22:26:27"
488184,"Vorto","Code Generators","vorto-inbox","RESOLVED","MOVED","Analyse Leshan to support Vorto with LWM2M","2016-03-14 03:08:15"
488185,"Vorto","Infrastructure","vorto-inbox","RESOLVED","MOVED","Setup Docker on Eclipse Vorto VM","2016-03-14 03:20:39"
488186,"Vorto","Web Site","vorto-inbox","RESOLVED","FIXED","Oomph Blog Post","2016-02-26 22:31:56"
488187,"Vorto","Web Site","vorto-inbox","RESOLVED","MOVED","Hello World with Vorto Generators Blog Post","2016-03-14 04:43:46"
488607,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","MOVED","Explore Generators (Marketplace) that lists generators available e.g. on docker-hub","2016-03-14 04:42:08"
488608,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","WONTFIX","Allow Invalid models to be uploaded and mark them as 'invalid'","2016-03-14 04:41:52"
488609,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","MOVED","Bulk upload of models (zip archived)","2016-03-14 04:41:16"
488817,"Vorto","Vorto Repository","vorto-inbox","RESOLVED","FIXED","Repository accepts grammatically incorrect (invalid) models upon check-in","2016-03-02 00:22:16"
488962,"Vorto","Infrastructure","vorto-inbox","RESOLVED","MOVED","Undertow server for Vorto Repository and Vorto Generators","2016-03-14 03:21:47"
488964,"Vorto","Code Generators","vorto-inbox","RESOLVED","MOVED","Making Vorto generators configurable at runtime","2016-03-14 03:11:25"
488968,"Vorto","Code Generators","vorto-inbox","RESOLVED","FIXED","Review Document Generator","2016-03-03 12:55:22"
488971,"Vorto","Code Generators","vorto-inbox","RESOLVED","FIXED","Json Schema Code Generator","2016-03-03 12:56:09"
488972,"Vorto","Code Generators","vorto-inbox","RESOLVED","FIXED","CoAP Code Generator","2016-03-03 12:55:47"
489176,"Vorto","Code Generators","vorto-inbox","RESOLVED","FIXED","Vorto Coap, Latex, ios generator errors","2016-03-09 22:04:02"
518621,"Vorto","Infrastructure","vorto-inbox","CLOSED","MOVED","Configure Hudson to execute scripts in 'vorto.eclipse.org'","2017-06-22 06:14:47"
542647,"Vorto","Infrastructure","vorto-inbox","CLOSED","INVALID","Github Vorto Repository Settings","2019-01-09 00:29:46"
551279,"Vorto","General","vorto-inbox","CLOSED","FIXED","Move vorto vserver to the eclipseprojects.io domain","2020-12-09 03:19:37"
