"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
480744,"WTP EJB Tools","jst.ejb","dimitar.giormov","NEW"," ---","[xdoclet] Migrate Preference store of xdoclet plugins so they will not use legacy logic","2015-10-27 05:48:58"
156173,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","[internal api] Non API  usage in ejb.annotations","2009-03-24 11:57:53"
168572,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Performance issue in EJBDeployableArtifactAdapterUtil","2009-03-23 10:19:05"
174369,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","EJB DD in Project Explorer doesn't show ""Bean"" file","2009-03-24 11:57:05"
241672,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Integrate Properties view with EJB artifacts","2010-09-30 13:24:37"
241674,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Interceptors support","2009-08-13 12:48:50"
241679,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","EJB 2.x non-XDoclet support in Session Bean and Message-Driven Bean wizards","2010-09-30 13:29:55"
309328,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Failure of WTP smoke test - ""Session Beans"" in deployment descriptor of ""EJB Project with XDoclet"" project, version 2.1, does not have under it nodes for the beans in the project","2010-04-15 14:01:17"
335010,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Creation of EJB client JAR does not add a project reference to it, from the EJB project, and hence the EJB project compilation fails","2011-01-21 08:19:17"
335013,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Wrong behavior or the EJB client JAR creation action, when some of the interfaces to be moved are nested","2011-01-25 04:01:08"
338375,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Deadlock when starting Eclipse (EJB Validators)","2011-02-28 04:59:51"
339633,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","WTP User Guide - wrong EJB version in TOC","2011-03-14 17:19:04"
340581,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Jboss 4.2 does not publish when a dependency in another project changes","2011-03-21 12:26:54"
349613,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","jonas-ejb-jar.xml not updated when adding session EJB to xDoclet EJB 2.1 project","2011-06-16 15:13:10"
350869,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Creating XDoclet session bean with specific name causes compilation error","2011-06-30 13:55:55"
366068,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Cannot create XDoclet EJB on EJB project using Java 1.6","2011-12-08 12:21:51"
369629,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","xDoclet fails on Resources that are not open","2012-01-25 08:51:50"
372436,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Support EJB 3.1","2013-05-08 14:53:31"
385349,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","EJBModuleExtensionImpl.getEJBJar results in NPE when workspace has a project with a (non-EJB) jar file","2012-07-17 16:48:02"
461418,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","ClassCastException when creating EJB 3.0 project without ejb-jar.xml option","2015-03-04 11:42:02"
468245,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Value 'False' is not legal","2015-05-26 09:53:52"
512105,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","TYPO with desc_xdoclet_home in org.eclipse.jst.j2ee.ejb.annotations.xdoclet","2017-02-13 10:00:46"
232133,"WTP EJB Tools","jst.ejb","kaloyan","NEW"," ---","Javadoc plugin for ejbtools plugins","2010-09-30 13:23:19"
234138,"WTP EJB Tools","jst.ejb","kaloyan","NEW"," ---","Tools for easy EJB testing","2009-08-13 12:44:08"
236621,"WTP EJB Tools","jst.ejb","kaloyan","NEW"," ---","Add EJB metadata to DD automatically","2012-10-05 10:03:08"
237050,"WTP EJB Tools","jst.ejb","kaloyan","NEW"," ---","Promote business methods automatically to interfaces","2010-09-30 13:18:27"
239827,"WTP EJB Tools","jst.ejb","kaloyan","NEW"," ---","Move all EJB related contribution to EJB plugins","2009-03-24 11:56:14"
241677,"WTP EJB Tools","jst.ejb","kaloyan","NEW"," ---","Remove XDoclet functionality","2013-05-31 02:19:56"
309420,"WTP EJB Tools","jst.ejb","kaloyan","NEW"," ---","UI text needs corrections - new EJB Session Bean wizard","2010-04-16 10:13:31"
339577,"WTP EJB Tools","jst.ejb","ludo","NEW"," ---","EJB Timer action is not available in the context menu of the Project Explorer","2012-01-26 03:53:10"
339578,"WTP EJB Tools","jst.ejb","ludo","NEW"," ---","EJB Timer can be created on an EJB 3.0 project","2012-01-26 03:53:19"
262388,"WTP EJB Tools","jst.ejb","petya.sabeva","NEW"," ---","disable local radio in BusinessInterfaceSelectionDialog","2010-06-22 07:14:19"
407770,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","REOPENED"," ---","SessionBean model needs no-interface view","2013-05-15 14:27:43"
305528,"WTP EJB Tools","jst.ejb","kaloyan","RESOLVED","FIXED","xdoclet does not seem to get triggered.","2010-03-12 02:51:58"
314109,"WTP EJB Tools","jst.ejb","kaloyan","RESOLVED","FIXED","org.eclipse.jst.ejb.ui.tests needs an about.html file","2010-05-27 17:36:42"
317436,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","Session Bean wizard allows creation of EJBs in Web 2.5 projects.","2010-06-24 05:06:29"
345499,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","An NPE generating a Client JAR for an EJB project without Enterprise Beans","2011-05-30 16:27:40"
347698,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","An NPE generating a Client JAR for an EJB project without Enterprise Beans","2011-06-07 10:22:43"
309757,"WTP EJB Tools","jst.ejb","dimitar.giormov","RESOLVED","FIXED","Create EJB Client Jar action creates an empty project but with no source code or interfaces","2011-05-18 12:52:58"
315390,"WTP EJB Tools","jst.ejb","kaloyan","RESOLVED","FIXED","[hotbug] Severty level for EJB 3.x validator problems is always ERROR.","2010-06-22 04:00:30"
154719,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","[j2ee] [NLS] QueryItemProvider's  getText()  uses untranslated  string","2011-03-01 22:26:47"
228784,"WTP EJB Tools","jst.ejb","thebravoman","RESOLVED","WORKSFORME","Can't create simple stateless session bean","2008-07-17 08:23:12"
305214,"WTP EJB Tools","jst.ejb","cbridgha","RESOLVED","FIXED","Recent changes expose EJB Client URI problem","2010-03-09 15:53:04"
305215,"WTP EJB Tools","jst.ejb","cbridgha","RESOLVED","FIXED","Fixing EJB junit tests","2010-03-09 15:52:09"
363973,"WTP EJB Tools","jst.ejb","cbridgha","RESOLVED","FIXED","EJB Client project operation doesn't check supported java version when runtime set","2011-12-01 16:02:02"
196309,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","Trying to package an EJB 3.0 module ends up with an exception","2008-09-30 01:56:10"
241670,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED",".war packaging of EJB components","2010-03-04 02:48:05"
286027,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","The Annotations Tests should not create projects during suite()","2009-08-08 15:50:43"
299086,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","EJB Timer wizard","2011-03-10 00:27:03"
