"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
321732,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","[SSE] Resolve template variables","2011-03-09 16:42:16"
321801,"WTP Incubator","wtp.inc.xquery","gabipetrovay","NEW"," ---","[SSE] Disable the DLTK semantic validator","2011-02-16 18:25:38"
336739,"WTP Incubator","wtp.inc.xquery","gabipetrovay","NEW"," ---","[SSE] Annotation missing when error occurs on the last line","2011-02-16 18:25:37"
284470,"WTP Incubator","wtp.inc.xmlsecurity","wtp.inc.xmlsecurity-inbox","NEW"," ---","Integrate XML Security Tools with XPath view","2011-09-21 13:19:24"
284471,"WTP Incubator","wtp.inc.xmlsecurity","wtp.inc.xmlsecurity-inbox","NEW"," ---","Extend XPath text field with auto completion functionality","2011-09-21 13:19:33"
296130,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782034: Context variables in templates","2011-02-16 18:25:38"
297374,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Block comments don't work correctly.","2011-02-16 18:25:38"
321748,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","[SSE] XML tag and string autoclosing","2011-02-16 18:25:38"
252241,"WTP Incubator","wtp.inc.facelets","cameron.bateman","NEW"," ---","Method expression hyperlinking does not work in XHTML","2008-11-10 14:44:51"
303376,"WTP Incubator","wtp.inc.facelets","cameron.bateman","NEW"," ---","XHTML Editor and JSF Custom Component and Namespace resolution problem..","2010-02-19 17:03:03"
339498,"WTP Incubator","wtp.inc.sieditor","dimitar.donchev","NEW"," ---","Editor Marked Dirty on field focus lost, though no change has been made","2011-03-10 06:57:22"
337723,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","No validation on imported schemas performed on editor start/open","2011-02-22 08:22:59"
337726,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Validation Error in DT Editor","2011-08-14 03:05:09"
337731,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Wsdl Validation Issues","2011-02-21 10:10:21"
337831,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","SIE not adequate with WSDL/schema missing TNS","2011-02-22 09:11:48"
337833,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Remove, Redo, Remove broken","2011-02-22 09:15:55"
337834,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Unresolved val errors on imported wsdl not shown","2011-02-22 09:19:10"
337835,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Set tns of definition -> #null elements not resolved","2011-02-22 09:27:46"
337837,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","No validation markers on indir referred elements","2011-02-22 09:30:32"
337840,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Type link of restricted type should be enabled","2011-06-19 10:02:21"
337943,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Docu not set on undo of another operation","2011-02-23 04:31:20"
337945,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","No validation on schema for change def tns prefix","2011-02-23 04:48:08"
337946,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Slow change schema namespace","2011-02-23 04:58:06"
337947,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Write in source is very slow","2011-08-14 02:55:06"
338227,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Bugzilla] Error marker is not on the right place","2011-02-25 10:34:10"
338231,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Bugzilla] Error marker is not on the right place #2","2011-02-25 10:36:26"
338233,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Bugzilla] Validation not performed on deleted xsd:import","2011-02-25 10:42:17"
338235,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Bugzilla] No validation error when del imported schema","2011-02-25 10:49:52"
338236,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Bugzilla] Extract Namespace on dependent schema broken","2011-02-25 10:53:46"
338237,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Bugzilla] SIE/DTE xsd import or include should consider namespace","2011-02-25 10:59:19"
340148,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Usability] No notification that the opened file is read-only","2011-03-16 08:57:37"
340152,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","DTE: Renamed prefix does not reconcile model","2011-03-16 09:20:45"
340425,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[DTE][Usability] Disabled ""browse..."" and ""new..."" buttons for element reference","2011-03-18 09:23:30"
347626,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Change of xml attribute name not reflected in model","2011-05-30 06:58:13"
349768,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","How to handle the update of type (selection of a new type) when the currently edited type is a restriction of another type","2011-06-19 09:30:20"
349769,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Create custom hudson job to start the tests after a successful build of the code","2011-06-19 10:08:04"
354701,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","[Test] RemoveSchema tests are running terribly slow","2011-08-14 02:08:35"
357074,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Filter of SIE/DTE tree works for all nodes","2011-11-04 11:18:18"
359303,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Extract Schema from wsdl under Linux produces erroneous artefacts","2011-09-28 16:37:44"
364130,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","The constraint section is not visible completely","2011-11-18 14:08:37"
366276,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Network operation while removing schema causes live lock like behavior","2011-12-09 18:46:33"
397441,"WTP Incubator","wtp.inc.sieditor","dimitar.tenev","NEW"," ---","Changes are not saved when focus is not lost from fields in details page","2013-01-04 08:06:55"
330032,"WTP Incubator","wtp.inc.xquery","gabipetrovay","NEW"," ---","[SSE] A warning should be displayed when using a type name without ()","2011-02-09 12:53:27"
346980,"WTP Incubator","wtp.inc.xquery","gabipetrovay","NEW"," ---","Migrate Zorba debugger protocol to DBGP","2011-05-24 09:12:38"
281529,"WTP Incubator","incubator","mschmied","NEW"," ---","RelaxNG Editor, Validator, and Grammar component","2015-11-23 15:15:16"
321052,"WTP Incubator","wtp.inc.xquery","villard","NEW"," ---","[SSE] Code formatting","2010-10-14 14:32:13"
254737,"WTP Incubator","incubator","wtp.inc-inbox","NEW"," ---","Update ""References In ..."" menu to detect references from JSF resources.","2011-09-21 13:19:27"
308529,"WTP Incubator","incubator","wtp.inc-inbox","NEW"," ---","NLS3.6:  PII error with continuation markers ""\""","2011-09-21 13:19:18"
323696,"WTP Incubator","incubator","wtp.inc-inbox","NEW"," ---","Service Interface and Data Types Editors source code and code coverage","2011-09-21 13:19:27"
484068,"WTP Incubator","incubator","wtp.inc-inbox","NEW"," ---","Contribution of Smart Import extension for Java EE development","2015-12-16 12:28:48"
484493,"WTP Incubator","incubator","wtp.inc-inbox","NEW"," ---","Gerrit for webtools.incubator","2017-12-08 13:50:56"
237413,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","Templating/Inclusion Support","2008-06-17 15:29:59"
237414,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","Template Creation Wizard","2008-06-16 23:21:22"
237415,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","Taglib creation support","2008-07-08 12:52:01"
237421,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","Support for EL in template text","2008-06-17 00:30:39"
237502,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","[webinar] Use h:panelGroup instead of div in templates","2008-06-17 13:53:07"
237506,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","[webinar] Add a ""Create new Facelet Page"" option","2008-06-17 14:03:13"
237520,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","[webinar] Web Page Editor support for Facelets","2008-06-17 15:26:20"
237538,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","[webinar]  JSPX users may not be supported","2008-10-31 11:22:38"
238623,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","Content Assistant displays unallowable values for attributes that have boolean, enum or other limited type of value","2008-07-13 06:21:31"
238627,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","ArrayIndexOutOfBoundsException occured after deleting operation","2008-07-13 06:22:27"
239172,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","Content assist for ui:param and validation of contributed variables at target templates","2008-07-01 19:22:12"
256522,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","0.1 Incubator build may not work with 3.0.x builds","2010-11-05 13:30:00"
298418,"WTP Incubator","wtp.inc.facelets","wtp.inc.facelets-inbox","NEW"," ---","Component Libraries list in JSF Capabilities dialog needs better size proportion","2009-12-22 11:33:21"
256328,"WTP Incubator","wtp.inc.xmlsecurity","wtp.inc.xmlsecurity-inbox","NEW"," ---","Provide Extension Points in core plug-in","2011-09-21 13:19:21"
295457,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF BUG#2040308: Java functions aren't supported","2011-09-21 13:19:33"
295461,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF BUG#2866047: Cannot execute code from non-XQuery project","2011-09-21 13:19:38"
295471,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF BUG#2849743: Support for (eXist) XMLDB","2011-09-21 13:19:32"
295474,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2781185: better error reporting","2011-09-21 13:19:33"
296121,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782059: Adding XQDT nature to the non-XQuery projects","2011-09-21 13:19:30"
296128,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782040: Code refactoring","2011-09-21 13:19:23"
296132,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782028: Errors for mismatched  XML tags","2010-08-04 14:18:57"
296133,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782039: Automatic module import","2011-09-21 13:19:34"
296136,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782027: Token digesting templates","2011-09-21 13:19:24"
296138,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782046: Auto-enclosing of template expressions","2011-09-21 13:19:18"
296140,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2782052: Bracket completion proposal in xml partitions","2011-09-21 13:19:22"
296143,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQDT SF FEATURE#2807593: XQDT Profiler","2011-09-21 13:19:22"
297652,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Multiple grammars should be supported.","2009-12-12 02:06:45"
298972,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Shipping a lightweight, vendor neutral, XQuery processor in Java","2010-01-06 12:43:19"
299163,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Repeated module imports result in repeated completion proposals.","2010-01-08 15:20:04"
299885,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Allow editing of XQuery with no interpreter.","2010-01-17 16:02:54"
302095,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Support for XQuery interpreters that require multiple JARs","2010-05-27 06:17:20"
305049,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","UnsupportedClassVersionError running Websphere XML FEP Thin Client","2010-03-08 14:52:55"
307910,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XDMP-EVALLIBMOD Cannot evaluate library module","2010-04-01 13:41:47"
308370,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Enhance the XQDTTypeFactory logic for simple and complex types","2010-04-08 12:05:01"
313963,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","Evaluate possibilities for adding support for remote launching","2010-05-21 18:36:05"
320556,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQuery 1.1 Syntax coloring [SSE]","2010-08-25 12:28:56"
320570,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQuery Full Text Syntax Coloring [SSE]","2010-07-23 10:02:51"
320675,"WTP Incubator","wtp.inc.xquery","wtp.inc.xquery-inbox","NEW"," ---","XQuery Update Facility 1.0 syntax checking (SSE)","2010-07-22 17:27:21"
