"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
243676,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Make builds complete faster","2018-06-29 15:14:43"
251663,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Produce HTTP or P2 oriented map files for others to get bundles more directly","2018-06-29 15:14:26"
295008,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Consider improving general bug query pages","2018-06-29 15:14:28"
330036,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","some java files still say cpl in headers","2011-09-21 13:07:33"
347261,"WTP Releng","releng","cbridgha","NEW"," ---","""Report Bug or Enhancements ... "" is missing products","2011-08-30 17:15:44"
227233,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Downloads page does not tell me what wtp's prereqs are","2011-09-21 12:37:52"
234498,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Some WST source plugins have not set provider or plugin name","2018-06-29 15:14:41"
235430,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Cleanup many about.html files","2018-06-29 15:14:47"
242478,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","care needed when using SSH in build scripts","2018-06-29 15:14:47"
252334,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Refactor Ant scripts for WTP performance tests","2011-09-21 12:38:08"
261709,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","fix php download page to not read directories","2011-09-21 12:38:11"
284361,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","remove ""plugin-path"" from test scripts","2011-09-21 12:37:49"
297517,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Several incubators and smaller builds missing from regular download page","2011-09-21 13:16:44"
299593,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","signing script never terminates, if nothing signed","2011-09-21 12:37:51"
325198,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Need to install prereqs for build using p2, instead of unzipping","2018-06-29 15:14:31"
333678,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","byte codes changed in recent builds","2011-09-21 12:38:26"
334010,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","improve overall junit failure error handling","2011-09-21 13:16:44"
340050,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Need to improve ""web tools"" category in common repository","2018-06-29 15:14:26"
341267,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","org.eclipse.jst.enterprise_ui feature group points to invalid version of datatools.connectivity?","2018-06-29 15:14:13"
343335,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","license consistency check mis-categorizes error types","2018-06-29 15:14:15"
345634,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","remove access warnings column from download pages","2018-06-29 15:14:31"
346110,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","add ""fragment.properties"" to standard layout tests","2018-06-29 15:14:30"
348167,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","we could should make use of b3 aggregator to catch errors in pack.gz files","2018-06-29 15:14:13"
348674,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","In a perfect world we'd check consumed bundles signed","2018-06-29 15:14:12"
348790,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Need to fix build scripts, so we do not sign javax.persistence","2018-06-29 15:14:11"
349502,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","consider adding Eclipse-BundleShape header to org.eclipse.wtp.epp.package.* bundles","2018-06-29 15:14:11"
350112,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","warn well when using specific committer id, such as for map tasks rewrite","2018-06-29 15:14:14"
350114,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","change build scripts not to use specific id for signing","2018-06-29 15:14:12"
350118,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Should automate conversion of index.php to index.html","2018-06-29 15:14:13"
350185,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","jonas prereq appears corrupt","2011-09-21 13:16:45"
350368,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","can not tag map files each build, with only wtpBuild id","2018-06-29 15:14:12"
350384,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","anonymous, remote builds (still) require override of rewriteMapsLine","2018-06-29 15:14:12"
358790,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","reconsider having update site URLs in feature.xml files (and repository)","2013-01-02 17:09:03"
361065,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","should clean up old ""requests logs""","2011-10-15 15:01:28"
217586,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Match WTP builds with EPP downloads","2018-06-29 15:14:41"
229061,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Procedure for identifying contributions only identifies last contributor","2018-06-29 15:14:43"
231729,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","CC build shows ""success"" if ZERO tests run","2018-06-29 15:14:46"
250882,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","source files incorrectly encoded?","2011-09-21 12:37:57"
300263,"WTP Releng","releng","webtools.releng-inbox","NEW"," ---","Need Incubator Update Site","2011-09-21 13:16:45"
243264,"WTP Releng","releng","webtools.releng-inbox","ASSIGNED"," ---","Reconsider feature definitions","2018-06-29 15:14:47"
243672,"WTP Releng","releng","webtools.releng-inbox","ASSIGNED"," ---","Improve the way that build-tests run","2018-06-29 15:14:45"
355151,"WTP Releng","releng","ccc","ASSIGNED"," ---","WTP builds are leaving empty directories behind after signing","2011-08-18 16:05:39"
360129,"WTP Releng","releng","david_williams","ASSIGNED"," ---","wrong version of jdt compiler appears to be being used","2011-10-09 17:52:24"
224290,"WTP Releng","releng","webtools.releng-inbox","ASSIGNED"," ---","We should minimize variety in pre-req'd plugins","2018-06-29 15:14:44"
298272,"WTP Releng","releng","webtools.releng-inbox","ASSIGNED"," ---","org.apache.xml.security no longer needed in wtp cvs","2011-09-21 12:38:15"
337620,"WTP Releng","releng","webtools.releng-inbox","ASSIGNED"," ---","compilation problems not noticed by build scripts","2018-06-29 15:14:29"
297398,"WTP Releng","releng","webtools.releng-inbox","REOPENED"," ---","We should flatten WTP feature hierarchies","2018-06-29 15:14:26"
357439,"WTP Releng","releng","ccc","RESOLVED","FIXED","Update to final Indigo SR1 prerequisites","2018-06-29 15:30:56"
228901,"WTP Releng","releng","david_williams","RESOLVED","FIXED","jsdt.core and jsdt.ui source code not included in build","2018-06-29 15:24:40"
233292,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Add JPT EclipseLink features to site.xml","2018-06-29 15:24:56"
303935,"WTP Releng","releng","david_williams","RESOLVED","FIXED","need to remove most, change a few, webtools repository URL in feature.xml","2018-06-29 15:29:15"
312256,"WTP Releng","releng","david_williams","RESOLVED","FIXED","eclipse-jee-helios-M7-win32 doesn't include the JAX-WS tool","2018-06-29 15:27:53"
314144,"WTP Releng","releng","david_williams","RESOLVED","FIXED","need to add 'download.stats' to a few features/bundles","2018-06-29 15:29:15"
315919,"WTP Releng","releng","david_williams","RESOLVED","FIXED","finish P2izing the WTP build","2018-06-29 15:29:22"
326473,"WTP Releng","releng","david_williams","RESOLVED","FIXED","two features conflict during unit test install","2018-06-29 15:14:31"
336519,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Move to use license (EUA) files/technique","2018-06-29 15:30:22"
258537,"WTP Releng","releng","webtools.releng-inbox","RESOLVED","FIXED","update mail list for successful builds","2018-06-29 15:14:28"
214107,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Update site webpage does not mention Europa","2008-02-26 14:45:38"
215329,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Extension schema files not built correctly","2018-06-29 15:24:29"
221357,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Publish build before completion","2018-06-29 15:14:47"
248873,"WTP Releng","releng","david_williams","RESOLVED","FIXED","broken wtp-sdk 3.1 drop (org.apache.xalan is corrupted inside of it thus the whole is uninstallable)","2018-06-29 15:23:55"
257814,"WTP Releng","releng","david_williams","RESOLVED","FIXED","steady increase in threads uses causes CC crash","2018-06-29 15:14:28"
262184,"WTP Releng","releng","david_williams","RESOLVED","WORKSFORME","Error parsing metadata repository : Missing required attribute in ""repository"": url","2018-06-29 15:14:42"
286176,"WTP Releng","releng","david_williams","RESOLVED","FIXED","CXF / JAX-WS features uncategorized","2018-06-29 15:29:08"
289602,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Need to clean up Dali ""3.x"" map tags","2011-06-24 17:47:14"
290758,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Adding JAX-WS Tools to the WTP build","2018-06-29 15:28:47"
292237,"WTP Releng","releng","david_williams","RESOLVED","FIXED","include pave project into build","2009-10-26 12:24:54"
297763,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Need to have merge script to add items to milestone/update site.","2018-06-29 15:14:25"
299484,"WTP Releng","releng","david_williams","RESOLVED","FIXED","publish zipped repos on templated builds","2010-03-03 01:32:43"
299638,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Need SDK features for XQuery adapters","2010-01-16 03:55:34"
300537,"WTP Releng","releng","david_williams","RESOLVED","FIXED","be sure to use just one version of log4j","2018-06-29 15:28:35"
301591,"WTP Releng","releng","david_williams","RESOLVED","FIXED","emf validation shows up on 3.1 download pages","2018-06-29 15:27:11"
303564,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Run performance tests against the WTP","2011-05-28 12:48:17"
304984,"WTP Releng","releng","david_williams","RESOLVED","FIXED","produce and provide component package for JAX-WS","2010-06-20 13:28:02"
316982,"WTP Releng","releng","david_williams","RESOLVED","WORKSFORME","installation of WST Web Plug-in Developer Resources fails","2010-07-29 03:28:33"
317256,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Link to EMF+XSD SDK on download page instead of individual runtimes","2018-06-29 15:14:28"
320973,"WTP Releng","releng","david_williams","RESOLVED","FIXED","repository contains no categories","2018-06-29 15:29:28"
323245,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Include the JST Server features in the Web Tools Platform (WTP) 3.2.x update site category","2018-06-29 15:29:35"
283792,"WTP Releng","releng","webtools.releng-inbox","RESOLVED","FIXED","read properties for versioning tests","2018-06-29 15:28:04"
298211,"WTP Releng","releng","webtools.releng-inbox","RESOLVED","FIXED","There's no source in xmlsec sdk","2018-06-29 15:14:30"
239344,"WTP Releng","releng","bjorn.freeman-benson","RESOLVED","FIXED","Convert WTP ip log to automated ip log","2008-12-09 17:00:22"
288027,"WTP Releng","releng","ccc","RESOLVED","FIXED","[hotbug] Table Synonyms appear in the generate entity wizard","2018-06-29 15:25:33"
341196,"WTP Releng","releng","ccc","RESOLVED","FIXED","Deadlock in DependencyGraphImpl on startup","2018-06-29 15:14:19"
352025,"WTP Releng","releng","ccc","RESOLVED","FIXED","Updating standalonePerfTest.xml to set wtptests.repo property","2011-08-18 13:44:23"
357056,"WTP Releng","releng","ccc","RESOLVED","FIXED","jar files in maintenance repo (3.3.1) appear not ""packed""","2011-09-15 22:05:26"
363049,"WTP Releng","releng","ccc","RESOLVED","FIXED","3.3.2 and 3.4.0 builds should be using DTP 1.9.1 final","2012-04-05 14:19:18"
217203,"WTP Releng","releng","david_williams","RESOLVED","FIXED","Need to remove facets docs from o.e.wst.doc.isv plugin","2018-06-29 15:24:29"
217639,"WTP Releng","releng","david_williams","RESOLVED","FIXED","coordinate dependancies for Ant and PHP","2018-06-29 15:30:22"
222191,"WTP Releng","releng","david_williams","RESOLVED","FIXED","org.eclipse.jst... missing dependencies","2018-06-29 15:14:46"
229505,"WTP Releng","releng","david_williams","RESOLVED","FIXED","map files for a build lists plug-ins and features not in the build","2018-06-29 15:14:41"
231361,"WTP Releng","releng","david_williams","RESOLVED","WORKSFORME","feature.xml - discovery url and label are swapped","2008-05-14 08:04:55"
232683,"WTP Releng","releng","david_williams","RESOLVED","FIXED","should use -Xverify for JUnit tests","2018-06-29 15:14:44"
233737,"WTP Releng","releng","david_williams","RESOLVED","WONTFIX","Adopter API scan report doesn't seem to include all adoptor scan results","2010-07-14 15:40:57"
234166,"WTP Releng","releng","david_williams","RESOLVED","WONTFIX","Error updating plug-ins on J2EE Mac OS X IDE","2008-06-05 06:17:25"
