"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
463727,"WTP Source Editing","jst.jsp","alina","NEW"," ---","Validation does not show error when uri in TLD file is changed","2015-04-15 11:41:21"
387275,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Find possible references to property/getter/setter in EL on JSP","2013-01-02 11:59:33"
387529,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Compile error on including imports from another .tag file","2012-08-18 23:42:54"
391342,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP Validation can't see variables from fragments when they are defined within a <script> element","2012-10-08 05:40:50"
418258,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","<pre> tag should not be formatted when I hit Ctrl+Shift+F - jsp formatter","2013-09-28 14:38:51"
419223,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Nested double-quotes in EL not properly recognized","2013-10-11 08:58:31"
420690,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Impossible to disable or lower severity on *.jsp validation","2013-11-22 17:07:14"
425168,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Annotate not available for JSP files","2014-10-24 04:08:53"
427112,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","""Matching character"" doesn't work for '{' / '}' when there's a <%-- comment in between","2014-01-31 07:39:05"
428603,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Eclipse should not show warning when HTML start and end tag enclosed with JSTL EL","2015-05-20 13:05:26"
429687,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP editor typing preferences don't apply to jspf files","2014-03-05 12:05:51"
438309,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Eclipse Luna freezes when saving .tag file in jar project","2014-06-27 22:57:11"
440688,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Eclipse Juno JSP compilation errors don't show in overview column","2014-08-02 08:43:10"
441634,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","taglib using tag-file give ""Undefined attribute name"" when packaged in jar","2014-12-17 12:49:25"
442414,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Data loss when formatting JSP that is surrounded by comments","2018-05-24 14:26:17"
444033,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","deadlock or freeze when editing JSP file","2018-04-13 03:39:06"
457640,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Taglib URI proposals when adding namespaces to ""jsp:root"" element","2015-01-15 16:12:58"
458754,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","jsp breakpoint does not stop in debug mode in Kepler SR2 with Websphere 8 developer runtime","2015-02-05 11:30:52"
467261,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","""Waiting for JSP Index Manager"" in pure java project","2017-11-10 07:10:59"
468200,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","IllegalArgumentException in FileBufferModelManager.getBuffer (689)","2015-09-21 16:27:24"
470732,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP includes with absolute paths not working within web-fragment project","2015-06-23 15:49:45"
472742,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP with XML declaration: source code distortion","2015-07-15 09:30:06"
477516,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP formatter inserts strange string when formatting code using springs tablib","2015-09-16 11:26:08"
478043,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","No HTML rendering in JavaDoc hovers with JSP editor","2018-05-17 11:22:49"
483671,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","The First opening of a jsp file is very slow","2018-09-11 18:11:43"
376220,"WTP Source Editing","wst.xsd","keith.chong.ca","NEW"," ---","XSI types not correctly supported in Content Model - XSD component","2012-04-16 16:08:16"
376914,"WTP Source Editing","wst.xsd","keith.chong.ca","NEW"," ---","XSI types not correctly supported in Content Model - XSD component","2012-04-16 16:16:12"
417094,"WTP Source Editing","jst.jsp","nsand.dev","NEW"," ---","deadlock on org.eclipse.jst.jsp.core.taglib.TaglibIndex","2014-10-03 00:51:42"
420689,"WTP Source Editing","wst.xml","nsand.dev","NEW"," ---","Impossible to disable or lower severity on *.xml validation","2017-09-28 10:46:58"
422915,"WTP Source Editing","wst.xml","nsand.dev","NEW"," ---","[formatting] XML end tag should get aligned already on the first source format","2020-10-10 16:10:16"
399337,"WTP Source Editing","jst.jsp","thatnitind","NEW"," ---","Support tag libraries from Web Fragment projects","2014-01-15 10:50:19"
415792,"WTP Source Editing","wst.xml","thatnitind","NEW"," ---","org.eclipse.jst.standard.schemas is missing xml catalog entry for web-facesconfig_2_1.xsd","2020-07-22 19:42:15"
419545,"WTP Source Editing","wst.sse","thatnitind","NEW"," ---","[editor][performance] StructuredRegionProcessor gets and releases models too often","2013-10-15 22:54:34"
421146,"WTP Source Editing","jst.jsp","thatnitind","NEW"," ---","TaglibHelperManager fires unnecesary JSP resource changed event","2016-09-13 11:32:00"
434610,"WTP Source Editing","wst.sse","thatnitind","NEW"," ---","Open sse on own IFileStore implementation do not work","2015-08-10 17:49:14"
440888,"WTP Source Editing","jst.jsp","thatnitind","NEW"," ---","wrong support of UTF-8 encoding for JSP files","2020-12-16 19:52:19"
444538,"WTP Source Editing","jst.jsp","thatnitind","NEW"," ---","Deadlock on Taglib-Index accesses","2020-12-16 19:52:24"
415431,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","Single line comments","2014-01-10 15:08:55"
419862,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS editor refactoring capabilities","2013-10-18 11:23:25"
424726,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSSDeclerationItemParser::getCollapsedText throws exception","2014-01-06 11:36:52"
430395,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","[formatting] Style tag does not correctly indent outside of the head tag","2018-09-17 08:38:31"
432472,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS Formatter adds newline whitespace on some css tags after ever format","2019-02-20 18:48:09"
432696,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS Editor - content assist auto-activation","2014-04-14 07:44:25"
442852,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","Source Format breaks @keyframes","2019-02-20 18:48:08"
443288,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","[CSS editor] chokes on single long line","2014-09-04 05:35:39"
446745,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","Bug in CSS editor formatting","2019-02-20 18:48:26"
460281,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","Outline disappear after editor split","2015-02-18 13:42:43"
471996,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","No option to disable auto-close in CSS editor","2015-07-07 01:21:00"
472056,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","TAB handling in CSS editor - smart indent and block indent (shift left/right)","2019-02-20 18:48:31"
481719,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS Editor Turns Valid Styles Into Invalid Styles","2019-02-20 18:48:12"
481991,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","Indentation in CSS editor does not respect the nesting level","2019-02-20 18:48:26"
419106,"WTP Source Editing","wst.css","wst.css-triaged","NEW"," ---","Auto formmater: allow opening { on new line","2013-10-18 17:09:04"
419300,"WTP Source Editing","wst.dtd","wst.dtd-inbox","NEW"," ---","Minor error while developing java web applications","2013-10-16 10:53:41"
373215,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Editor view corruption","2012-03-05 03:09:16"
377683,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","No CSH for Inline Elements section of HTML Editor preference page","2012-04-25 14:40:20"
383165,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Web Content Settings not available at project level","2012-06-21 11:21:00"
384171,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Calling html code assist starting with ""<"" between php tags, causes ""<<"" appearance.","2019-02-20 18:48:18"
417739,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","XHTML 1.1 DTD is old?","2014-05-28 13:09:31"
417777,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","[editor] Template doesn`t replace selected text","2017-02-15 17:48:27"
422584,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Allow adding native HTML/XHTML like tags","2014-07-08 13:17:48"
424757,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","formatting introduces unwanted whitespace","2017-02-15 17:45:28"
427664,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","ConcurrentModificationException in HTMLAttributeValidator","2017-02-15 17:45:09"
428784,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Context Menu Items get doubled in HTML Editor","2017-02-15 17:44:35"
432607,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Custom Content Assist","2014-04-11 08:38:43"
435269,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Pop-up menu has repetition of ""Validate""","2017-02-15 17:43:31"
438687,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","I hope code completion for target attribute in <a> tag","2017-02-15 16:51:12"
439661,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","[validation] XHTML files validated as HTML instead as XML","2014-07-22 18:44:39"
441372,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Add suport for HTML5 Polyglot Markup in HTML Syntax Validator","2020-03-02 13:32:36"
448516,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","No way to turn off html validation for specific files or file patterns. (especially gwt-generated .js)","2014-10-23 12:05:45"
452770,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Open quick fix with hover (and not Ctr+1)","2017-02-15 16:42:57"
457068,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Format Code Error HTML/JS","2017-02-15 16:42:40"
461633,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Problems occurred when invoking code from plug-in: ""org.eclipse.jface""","2015-03-17 15:09:11"
465878,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Eclipse shows uppercase tags for code completion when editing HTML5 xhtml files","2017-02-15 16:41:35"
466359,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","HTML5 <label> element nested inside <a> element is invalid and the editor should validate it","2017-02-15 14:37:04"
480517,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","""Unknown tag"" warnings in HTML textarea elements (RCDATA)","2017-02-15 16:38:08"
483502,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","Warning popup is not displayed on hover(in left column)","2017-02-15 16:37:40"
484065,"WTP Source Editing","wst.html","wst.html-inbox","NEW"," ---","""Invalid location of tag (div)."" when DIV in A","2017-02-15 16:36:44"
369559,"WTP Source Editing","wst.sse","wst.sse-inbox","NEW"," ---","ArrayIndexOutOfBoundsException caused by concurrent threads","2013-06-19 11:13:34"
369948,"WTP Source Editing","wst.sse","wst.sse-inbox","NEW"," ---","could not open xml file - IllegalStateException: ""IStructuredDocument::getParser. Parser needs to be set before use""","2013-06-19 11:12:48"
