"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
253867,"WTP Website","website","raghunathan.srinivasan","NEW"," ---","broken link in tutorial","2008-11-05 14:42:52"
233267,"WTP Website","website","webtools.website-inbox","NEW"," ---","[p2] Unable to select required dependencies for Eclipse XML Editors and Tools using p2","2008-09-04 23:30:14"
241454,"WTP Website","website","webtools.website-inbox","NEW"," ---","Project meta-data needs improvement.","2008-07-21 18:48:39"
261721,"WTP Website","website","bob.fraser","RESOLVED","FIXED","Investigate move to Nova theme","2011-04-01 22:04:30"
307950,"WTP Website","website","bob.fraser","RESOLVED","FIXED","need jsdt website","2010-07-27 13:23:58"
295000,"WTP Website","website","david_williams","RESOLVED","FIXED","Committers page is inaccurate and not maintained","2009-11-30 23:50:56"
300049,"WTP Website","website","david_williams","RESOLVED","FIXED","About this project links to 'ws' instead of 'webservices'","2010-01-19 10:11:30"
323244,"WTP Website","website","david_williams","RESOLVED","FIXED","eclipse.org/webtools/documentation: Outdated links","2011-04-01 22:05:05"
338597,"WTP Website","website","david_williams","RESOLVED","FIXED","Please add Web Tools 3.2.3 to /webtools/repository/helios/ site's metadata","2011-03-02 10:37:56"
286342,"WTP Website","website","d_a_carver","RESOLVED","FIXED","WTP Incubator still lists XSL as incubating","2009-09-18 16:42:00"
305942,"WTP Website","website","raghunathan.srinivasan","RESOLVED","FIXED","[website] [url]  eclipse.org/jsf should redirect to eclipse.org/webtools/jsf (or equivalent)","2011-04-04 01:48:28"
308100,"WTP Website","website","raghunathan.srinivasan","RESOLVED","DUPLICATE","http://www.eclipse.org/jsf/ needs redirect?","2011-04-01 22:07:14"
304812,"WTP Website","website","ugur.yildirim","RESOLVED","WORKSFORME","Sub Project Pages not displaying correctly on FireFox","2010-03-10 09:29:29"
217963,"WTP Website","website","webtools.website-inbox","RESOLVED","WORKSFORME","Unable to access ""http://download.eclipse.org/webtools/updates"".","2010-04-28 23:57:59"
238520,"WTP Website","website","webtools.website-inbox","RESOLVED","DUPLICATE","Feature with name ""featureName""  Web Tools Update Site","2008-06-26 03:45:43"
241126,"WTP Website","website","webtools.website-inbox","RESOLVED","DUPLICATE","webtools update site jar file error","2008-07-16 18:59:08"
241455,"WTP Website","website","webtools.website-inbox","RESOLVED","DUPLICATE","Project meta-data needs improvement.","2008-07-21 18:48:39"
249626,"WTP Website","website","webtools.website-inbox","RESOLVED","FIXED","webtools.common meta-data creates infinite loop in project plan","2008-10-03 13:05:07"
260696,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID",01,"2010-04-28 23:57:28"
263638,"WTP Website","website","webtools.website-inbox","RESOLVED","FIXED","What's 2.0.2RC3 doing on archive.eclipse.org?","2009-02-04 10:05:22"
272652,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID","Investigate move to Nova theme","2009-04-17 11:11:22"
285196,"WTP Website","website","webtools.website-inbox","RESOLVED","WORKSFORME","not responding when clicking on Welcome->Community","2011-06-09 14:46:28"
289427,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID","test","2009-09-15 08:30:57"
309233,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID","fcSDZXcZ","2010-04-28 23:58:28"
309470,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID","aas asdasd asda","2010-04-28 23:59:16"
309615,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID","teste","2010-04-28 23:58:41"
312764,"WTP Website","website","webtools.website-inbox","RESOLVED","FIXED","wst/components: unknown location in http://www.eclipse.org/webtools/wst/components.html","2011-04-25 16:47:33"
316833,"WTP Website","website","webtools.website-inbox","RESOLVED","DUPLICATE","Project meta-data needs improvement.","2011-04-01 22:03:20"
323209,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID","Address is not found / Page is not displayed","2010-08-20 08:28:01"
323212,"WTP Website","website","webtools.website-inbox","RESOLVED","INVALID","Adress is not found (This is a test bug not a real bug)","2010-08-20 08:28:25"
339431,"WTP Website","website","webtools.website-inbox","RESOLVED","DUPLICATE","documentation page has broken links and is not very helpful","2011-04-01 21:15:06"
341686,"WTP Website","website","webtools.website-inbox","RESOLVED","DUPLICATE","documentation page has broken links and is not very helpful","2011-04-01 21:13:57"
215350,"WTP Website","website","bob.fraser","CLOSED","FIXED","Need to incorportate standard left nav bar item","2008-08-18 12:08:56"
222009,"WTP Website","website","bob.fraser","CLOSED","FIXED","Java Web development with the Eclipse Web Tool Platform (WTP) - Tutorial","2008-05-22 16:53:39"
228819,"WTP Website","website","bob.fraser","CLOSED","FIXED","Adopters page needs updating on non-API policy","2008-05-22 16:54:14"
223687,"WTP Website","website","for.work.things","CLOSED","FIXED","xml tutorials need to be updated for 3.0 changes","2008-04-04 21:44:38"
270108,"WTP Website","website","webtools.website-inbox","CLOSED","DUPLICATE","Wrong link to user doc","2011-04-21 11:24:49"
