"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
239753,"Web Tools","documentation","hmstadel","NEW"," ---","docs mention some features we don't have?","2010-07-14 13:58:29"
217774,"Web Tools","documentation","katep","NEW"," ---","Document schema for wst settings files","2009-06-22 10:09:23"
236301,"Web Tools","documentation","katep","NEW"," ---","Incorrect mapping properties file description for Java bottom-up documentation","2008-08-16 21:09:19"
236648,"Web Tools","documentation","katep","NEW"," ---","Help documentation could not be indexed completely.","2008-08-16 21:09:21"
238572,"Web Tools","documentation","katep","NEW"," ---","in help topic/org.eclipse.jst.ejb.doc.user/topics/ceresrc.html: org.xml.sax.SAXParseException: The element type ""dd"" must be terminated","2008-08-16 21:09:23"
239503,"Web Tools","documentation","katep","NEW"," ---","Better documentation for HTML and JSP validators","2008-08-16 21:09:28"
285586,"Web Tools","documentation","katep","NEW"," ---","Userdoc problems when only XML Editor features are installed (broken links, missing TOC)","2009-10-09 05:30:36"
256491,"Web Tools","documentation","lovering","NEW"," ---","Type in the text for a link under Help Index","2009-03-09 13:58:06"
282665,"Web Tools","documentation","lovering","NEW"," ---","Document in Web Tools Platform User Guide needs to be updated","2010-06-22 13:41:37"
357570,"Web Tools","documentation","lovering","NEW"," ---","Documentation for bug 121460","2011-11-29 16:03:57"
294411,"Web Tools","documentation","neil.hauge","NEW"," ---","F1 help results in NPE in the .log file","2010-04-27 15:08:49"
265767,"Web Tools","documentation","webtools.documentation-inbox","NEW"," ---","Seperate XML Related and Web Related Content","2009-03-09 13:57:12"
286531,"Web Tools","documentation","webtools.documentation-inbox","NEW"," ---","DVT35:TCT561: CHS - Help Contents - Broken linkage","2013-07-18 14:26:48"
287155,"Web Tools","documentation","webtools.documentation-inbox","NEW"," ---","TVT35:TCT668: DVT_KOR: Incorrect Font size for Web tool platform user guide plugin","2009-08-20 05:42:43"
297380,"Web Tools","documentation","webtools.documentation-inbox","NEW"," ---","Dali docs are out of date","2013-09-09 08:56:11"
323980,"Web Tools","documentation","webtools.documentation-inbox","NEW"," ---","Documentation explaining project dependencies","2010-10-08 15:14:40"
324847,"Web Tools","documentation","webtools.documentation-inbox","NEW"," ---","Clarify project references for Web projects","2010-09-09 09:35:45"
301940,"Web Tools","Education","webtools.education-inbox","NEW"," ---","WTP LOGO Contest","2013-02-14 12:18:43"
253353,"Web Tools","General","david_williams","RESOLVED","FIXED","Confirm Intent (to join Galileo)","2008-12-11 17:37:52"
253377,"Web Tools","General","david_williams","RESOLVED","FIXED","Communicate","2009-01-24 21:53:00"
253404,"Web Tools","General","david_williams","RESOLVED","FIXED","Intent","2009-01-24 21:55:24"
253429,"Web Tools","General","david_williams","RESOLVED","FIXED","Attendance","2009-01-24 21:57:49"
253454,"Web Tools","General","david_williams","RESOLVED","FIXED","Ramp Down Policy","2009-01-24 23:37:14"
253478,"Web Tools","General","david_williams","RESOLVED","FIXED","IP","2009-02-15 15:43:07"
253527,"Web Tools","General","david_williams","RESOLVED","FIXED","Message Bundles","2009-01-24 21:58:39"
253552,"Web Tools","General","david_williams","RESOLVED","FIXED","Version Numbering","2009-01-24 22:49:21"
253579,"Web Tools","General","david_williams","RESOLVED","FIXED","Leverage OSGi","2009-01-24 22:51:26"
253604,"Web Tools","General","david_williams","RESOLVED","FIXED","Execution Environment","2009-01-24 22:52:25"
253629,"Web Tools","General","david_williams","RESOLVED","FIXED","Signing","2009-01-24 22:00:00"
253855,"Web Tools","General","david_williams","RESOLVED","FIXED","Use Jars","2009-05-14 13:04:47"
254019,"Web Tools","General","david_williams","RESOLVED","FIXED","Builds","2009-01-24 22:40:59"
254047,"Web Tools","General","david_williams","RESOLVED","FIXED","Orbit","2009-01-24 22:57:43"
254074,"Web Tools","General","david_williams","RESOLVED","FIXED","Optimization","2009-01-24 22:58:45"
254099,"Web Tools","General","david_williams","RESOLVED","FIXED","New & Noteworthy","2009-01-24 23:00:41"
254126,"Web Tools","General","david_williams","RESOLVED","FIXED","Work Together","2009-05-20 11:53:48"
254178,"Web Tools","General","david_williams","RESOLVED","FIXED","Localization - Babel","2009-01-24 23:18:24"
254204,"Web Tools","General","david_williams","RESOLVED","FIXED","Localization - ICU4J","2009-01-24 23:02:58"
254311,"Web Tools","General","david_williams","RESOLVED","FIXED","Branding","2009-05-31 23:54:22"
253502,"Web Tools","General","deboer","RESOLVED","FIXED","APIs","2009-05-31 23:51:24"
254260,"Web Tools","General","david_williams","RESOLVED","FIXED","Accessibility","2009-04-01 15:59:36"
254285,"Web Tools","General","david_williams","RESOLVED","WONTFIX","Performance","2009-05-02 22:12:29"
254364,"Web Tools","General","david_williams","RESOLVED","FIXED","Localization - UI freeze","2009-01-24 23:19:43"
254391,"Web Tools","General","david_williams","RESOLVED","FIXED","Localization - bidi","2009-01-24 23:16:45"
254234,"Web Tools","General","kaloyan","RESOLVED","FIXED","Usability","2009-03-17 10:33:54"
