"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
537693,"WindowBuilder","Swing","wb.swing-inbox","UNCONFIRMED"," ---","WindowBuilder (Swing) shows empty designer when dynamically changing FormLayout constraints","2018-08-04 17:58:51"
497845,"WindowBuilder","Core","pde-apitools-inbox","NEW"," ---","Form displaying process slows down (WindowBuilder Editor) on particular forms opening","2016-07-13 10:47:55"
500685,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","Error with window builder 4.6 (neon)","2016-09-01 11:26:55"
522552,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","unable to parse source bug in  eclipse windowbuilder","2017-09-21 01:53:10"
527769,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","WB @ Java8: Failure on adding event handler to UI with existing handler using method refs","2017-11-26 16:59:01"
539692,"WindowBuilder","Releng","wb.core-inbox","NEW"," ---","Please include source plug-ins in the download section.","2020-09-18 13:33:43"
558280,"WindowBuilder","Releng","wb.core-inbox","NEW"," ---","Add WB 1.9.3 to the release train","2019-12-12 16:04:41"
558824,"WindowBuilder","Releng","wb.core-inbox","NEW"," ---","New Activator plugin message strings","2020-11-03 05:52:03"
567131,"WindowBuilder","Releng","wb.core-inbox","NEW"," ---","WindowBuilder 1.9.5 Releng","2020-09-18 14:31:36"
567207,"WindowBuilder","Releng","wb.core-inbox","NEW"," ---","[Releng] Include Windowbuilder 1.9.5 in 4.18 Release Train","2020-10-28 05:52:26"
568386,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","WindowBuilder Designer not showing","2020-10-30 11:13:41"
568441,"WindowBuilder","Releng","wb.core-inbox","NEW"," ---","Revive the WindowBuilder tests","2020-11-02 09:45:58"
527771,"WindowBuilder","Docs","wb.docs-inbox","NEW"," ---","WB: Update installation instructions and system requirements in the docs","2017-11-26 17:45:21"
526016,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","Cannot configure CellEditor in EMF Databinding due to 'Property Class is abstract.'","2017-12-20 13:19:52"
527786,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","ClassCastException when IValidator is also IConverter","2017-11-30 06:25:01"
528407,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","Create Oomph installer to contribute to WindowBuilder","2017-12-11 06:27:05"
485995,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Window Builder not displaying RGBA transparency when using transparent background color","2016-01-16 16:24:35"
485996,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","JLabel icon not recognized when created in Constructor","2016-01-16 16:24:21"
489432,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder parse error","2016-03-11 08:45:36"
490176,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Window Builder error. No detailed description found for error.","2019-11-07 03:44:09"
491449,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder crash on background color change","2016-06-23 17:51:33"
499250,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder crashes when creating a JRadioButton","2016-08-05 14:15:46"
520089,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Absolute layout - checkbox Use ""free"" component placemente style inverted","2017-07-24 04:50:35"
526599,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Error not Resolve","2017-10-28 09:56:04"
527076,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder - No detailed description found for error (1100)","2017-11-09 13:31:23"
527994,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Two different exceptions when adding swing component with Layout assistant open","2017-12-01 03:06:27"
547971,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder : Can't open the design page of a class","2020-11-02 09:24:08"
566625,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder can't open design page and somtimes Eclipse has NullPointerException","2020-11-02 06:20:38"
569259,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Windowbuilder","2020-11-28 06:49:58"
563488,"WindowBuilder","XWT","wb.xwt-inbox","NEW"," ---","XWT designer NoClassDefFoundError: Table","2020-09-18 13:41:19"
568303,"WindowBuilder","XWT","wb.xwt-inbox","NEW"," ---","Remove XWT Support","2020-10-27 09:55:27"
520261,"WindowBuilder","RCP","laurent.caron","ASSIGNED"," ---","Cannot build simple forms pages","2020-11-15 06:34:55"
526098,"WindowBuilder","Swing","borlander","RESOLVED","FIXED","WindowBuilder fails to work on Java 9","2018-02-21 16:33:04"
527631,"WindowBuilder","Core","borlander","RESOLVED","FIXED","WindowBuilder : make `org.eclipse.wb.tests`compilable to run them as part of gerrit validate job","2020-05-18 08:10:11"
535642,"WindowBuilder","RCP","borlander","RESOLVED","FIXED","WB not working in Photon RC2","2018-12-21 06:52:28"
539286,"WindowBuilder","Swing","borlander","RESOLVED","WORKSFORME","Internal Error: oe.jdt.internal.core.JavaModel cannot be cast to oe.jdt.core.IJavaProject","2020-01-20 09:39:10"
495071,"WindowBuilder","RCP","Lars.Vogel","RESOLVED","FIXED","Remove ercp from org.eclipse.wb.tests","2016-06-01 02:51:18"
495079,"WindowBuilder","Core","Lars.Vogel","RESOLVED","FIXED","Retire VistaTreeFixer","2016-06-01 02:50:23"
495080,"WindowBuilder","Core","Lars.Vogel","RESOLVED","FIXED","org.eclipse.wb.swing.FormLayout.lib build.properties include src which does not match anything","2016-06-07 13:53:46"
495082,"WindowBuilder","Core","Lars.Vogel","RESOLVED","FIXED","Solve syntax error in DesignerMethodBinding and DesignerMethodBinding","2017-12-13 09:28:07"
