"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
496745,"Yasson","General","eclipselink.oxm-inbox","NEW"," ---","JSONB - Annotation inheritance, CustomPrperty naming, known bugifx","2018-06-29 05:53:46"
497157,"Yasson","General","eclipselink.oxm-inbox","NEW"," ---","JSONB - build error without deploy properties","2018-06-29 05:53:52"
507761,"Yasson","General","eclipselink.oxm-inbox","NEW"," ---","Jsonb serialization performance optimizations","2018-06-29 05:53:51"
485054,"Yasson","General","david.k.kral","RESOLVED","FIXED","Jsonb message catalog and logger system","2018-06-29 05:53:38"
488686,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONP in JSONB marshaller","2018-06-29 05:53:41"
488696,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB PropertyVisibilityStrategy","2018-06-29 05:53:50"
490068,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB CDI in adapters","2018-06-29 05:53:40"
490362,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB polymorphic adapters","2018-06-29 05:53:43"
490793,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB demo bugfix","2018-06-29 05:53:39"
491958,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB Date format customization","2018-06-29 05:53:37"
492074,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB unmarshalling JSONP","2018-06-29 05:53:36"
494277,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB user serializers / deserializers","2018-06-29 05:53:42"
494278,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB custom constructor / factory method support","2018-06-29 05:53:45"
495891,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","Adapt JSONB-RI implementation to (De)Serializer api","2018-06-29 05:53:48"
497102,"Yasson","General","eclipselink.oxm-inbox","RESOLVED","FIXED","JSONB - fix for JSONB_SPEC-41","2018-06-29 05:53:49"
484332,"Yasson","General","roman.grigoriadi","RESOLVED","FIXED","JSOB default unmarshalling","2018-06-29 05:55:05"
484977,"Yasson","General","roman.grigoriadi","RESOLVED","FIXED","JSONB property propagation, default unmarshalling - inheritance","2018-06-29 05:53:41"
486481,"Yasson","General","roman.grigoriadi","RESOLVED","FIXED","T-1186 (annotation processor), T-1188 (JsonbContext)","2018-06-29 05:53:47"
487437,"Yasson","General","roman.grigoriadi","RESOLVED","FIXED","JSONB adapters implementation","2018-06-29 05:53:46"
488238,"Yasson","General","roman.grigoriadi","RESOLVED","FIXED","JSONB API chanes compilation fix","2018-06-29 05:53:52"
505875,"Yasson","General","yasson-inbox","RESOLVED","FIXED","Code cleanup","2018-06-29 05:55:34"
505883,"Yasson","General","yasson-inbox","RESOLVED","FIXED","Manual synchronization of code github -> eclipse repo","2018-06-29 05:56:00"
