"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
488276,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","NullPointerException in DefaultPositionUpdater.java:220","2016-02-23 04:36:07"
496919,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","ic_launcher.png missing from res/drawable-*","2016-10-24 08:52:08"
496966,"andmore","General","d_a_carver","UNCONFIRMED"," ---","NoClassDefFoundError for Dagger-2 generated class although the class is there in the correct path","2016-07-06 14:48:25"
497171,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Can't create an Android Activity via Menu","2016-09-04 08:48:32"
497172,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Graphical Layout says ""This version of the rendering library is more recent than your version of ADT plug-in. Please update ADT plug-in""","2016-08-22 13:42:56"
497443,"andmore","General","d_a_carver","UNCONFIRMED"," ---","Errors running builder 'Android Resource Manager' on project","2018-09-26 07:14:30"
498278,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","""No DEX File Found"" since ""MultiDex support for Android APK"" commit.","2016-07-28 15:33:24"
508630,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Support for virtual folders","2016-12-02 22:20:08"
511720,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","unable to create android projects with new\android project","2017-02-05 12:41:10"
515562,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Old 'ADT' project bug","2017-04-21 05:21:23"
532865,"andmore","General","d_a_carver","UNCONFIRMED"," ---","Project Set easier import in Eclipse","2018-03-25 07:26:04"
540411,"andmore","General","d_a_carver","UNCONFIRMED"," ---","Java 8 support","2018-10-23 17:07:10"
560756,"andmore","General","d_a_carver","UNCONFIRMED"," ---","I just can't get it to work for me","2020-03-03 21:21:49"
526437,"andmore","General","andrewbowley","NEW"," ---","Android SWT Libraries need to be forked","2017-12-02 03:19:16"
485071,"andmore","General","cdtdoug","NEW"," ---","Welcome and Preferences dialogs both come up on fresh start","2016-01-01 13:03:53"
485072,"andmore","General","cdtdoug","NEW"," ---","Use ~/Library/Android/sdk as default on Mac","2016-01-01 13:05:25"
485073,"andmore","General","cdtdoug","NEW"," ---","Don't ask to create AVD on startup","2016-01-01 13:10:24"
487208,"andmore","General","d_a_carver","NEW"," ---","Use ~/.eclipse/org.eclipse.andmore.android.certmanager instead of ~/.org.eclipse.andmore.android.certmanager","2016-05-18 08:02:31"
489447,"andmore","Core","d_a_carver","NEW"," ---","Support Jack and Jill tools from Android N","2016-03-11 12:21:30"
489826,"andmore","General","d_a_carver","NEW"," ---","Move Android specific actions for ""Signing and Keys"" view to separate bundle","2016-03-17 05:43:44"
497202,"andmore","General","d_a_carver","NEW"," ---","Eclipse Neon V4.6 Getting Error While Create A Blank Project For Android","2016-10-13 16:21:24"
511091,"andmore","Core","d_a_carver","NEW"," ---","Java build path error when starting IDE for the first time","2017-01-27 10:37:50"
513131,"andmore","General","d_a_carver","NEW"," ---","andmore vs. Android SDK >= 25.3.0 / andmore dosn't work any more.","2017-10-28 07:13:06"
513892,"andmore","releng","d_a_carver","NEW"," ---","Use latest HttpComponents bundles from Orbit","2017-10-03 07:25:16"
517174,"andmore","Core","d_a_carver","NEW"," ---","Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench""","2017-05-25 02:35:42"
517176,"andmore","Core","d_a_carver","NEW"," ---","Exception while dispatching event org.osgi.service.event.Event","2017-05-24 07:56:06"
517177,"andmore","General","d_a_carver","NEW"," ---","Unable to execute early startup code for the org.eclipse.ui.IStartup extension contributed by the 'org.eclipse.sequoyah.device.framework.wizard' plug-in","2017-10-31 07:13:13"
517178,"andmore","Core","d_a_carver","NEW"," ---","Failed to load properties file for project 'TestProject'","2017-05-25 02:37:05"
526788,"andmore","General","d_a_carver","NEW"," ---","Sequoyah project needs to be resurrected","2018-02-15 20:51:16"
528075,"andmore","Core","d_a_carver","NEW"," ---","SDK Management needs update","2018-01-14 01:00:38"
530432,"andmore","Core","d_a_carver","NEW"," ---","m2e-android Project Configurator Fails to Install","2018-02-11 04:15:32"
530760,"andmore","General","d_a_carver","NEW"," ---","Proposal for incorporating Sequoyah into Andmore","2018-03-01 21:45:37"
533721,"andmore","Core","d_a_carver","NEW"," ---","Update required to Android build version 3.1.1 and tools version 26.1.1","2018-04-17 22:15:46"
519169,"andmore","Core","d_a_carver","ASSIGNED"," ---","XXE Vulnerability found in Eclipse","2020-01-10 11:49:27"
530070,"andmore","Core","andrewbowley","ASSIGNED"," ---","Andmore gets stuck when trying to launch Android app","2018-02-11 04:16:48"
486922,"andmore","General","d_a_carver","ASSIGNED"," ---","Update FAQ on ADT conversion","2016-05-04 08:26:02"
488251,"andmore","General","d_a_carver","ASSIGNED"," ---","LogCat View only shows log level letters, but messages are complete when saving log to a file","2017-01-20 09:45:50"
532368,"andmore","Core","d_a_carver","ASSIGNED"," ---","New Android Java 8 tool chain needs to be applied to Andmore","2018-04-09 02:30:59"
509628,"andmore","General","d_a_carver","REOPENED"," ---","Eclipse is not picking ANDROID_HOME from global env nor Run Configurations Environment","2016-12-22 09:46:06"
509663,"andmore","General","d_a_carver","RESOLVED","FIXED","Support for aapt --no-version-vectors option","2017-01-25 11:21:34"
509666,"andmore","Core","d_a_carver","RESOLVED","FIXED","NPE in visual editor causes load failures","2017-01-25 11:21:26"
509683,"andmore","General","d_a_carver","RESOLVED","FIXED","Andmore NDK plugin is missing an execution environment","2017-01-25 11:21:14"
525493,"andmore","Core","d_a_carver","RESOLVED","FIXED","Projects containing aar libraries currently fail with robolectric 3.2.1","2018-01-29 01:05:18"
489253,"andmore","General","matthew","RESOLVED","FIXED","Add Preference Page Entry for Selected Debug Port","2016-03-23 07:31:57"
505930,"andmore","General","matthew","RESOLVED","FIXED","Exception While Linting","2017-01-25 11:21:54"
494600,"andmore","General","d_a_carver","CLOSED","INVALID","Please FIX!!!","2016-06-02 11:52:07"
496073,"andmore","Core","d_a_carver","CLOSED","DUPLICATE","Getting Error in Create New Android Application in Eclipse Neon 4.6.0RC3 Recently Installed in PC","2016-10-20 00:59:08"
497081,"andmore","Core","d_a_carver","CLOSED","NOT_ECLIPSE","Projects in the Build Path fails to generate apk","2016-10-20 00:54:28"
500326,"andmore","Core","d_a_carver","CLOSED","INVALID","Unhandled event loop exception","2017-02-23 18:51:22"
499875,"andmore","Core","jdt-core-inbox","CLOSED","WONTFIX","Unable to import/open projects from Eclipse Java SE to Eclipse Android","2016-10-20 00:45:06"
499876,"andmore","Core","jdt-core-inbox","CLOSED","WONTFIX",".classpath file must be updated on import/open project (Eclipse for Android)","2016-10-20 00:49:10"
