"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529519,"uDig","General","udig-inbox","UNCONFIRMED"," ---","Leaked JDBC connection during feature copy command","2018-01-08 07:14:25"
536390,"uDig","General","udig-inbox","UNCONFIRMED"," ---","TableView sorting and selection does not work as expected","2018-06-28 03:07:35"
528532,"uDig","General","udig-inbox","NEW"," ---","Unify naming of test bundles","2016-01-06 02:06:11"
528533,"uDig","General","udig-inbox","NEW"," ---","Convert test bundles (*.tests) to fragments to have access to internal classes","2016-01-06 02:09:09"
528541,"uDig","General","udig-inbox","NEW"," ---","IllegalStateException when closing udig while Map with MySQL layer is open","2017-06-06 07:34:31"
528543,"uDig","General","udig-inbox","NEW"," ---","obsolete property test id in org.locationtech.udig.info plugin.xml","2017-10-02 07:12:22"
528537,"uDig","General","udig-inbox","RESOLVED","FIXED","Features modification & copy/paste fails for shapefile layers","2017-05-28 17:04:06"
528540,"uDig","General","udig-inbox","RESOLVED","FIXED","Problem with Map restoration from file system when reopening udig","2017-06-06 07:38:08"
528534,"uDig","General","udig-inbox","RESOLVED","FIXED","Exporting scratch layer to shape file fails in Udig 1.5 RC1","2017-03-18 07:41:41"
528535,"uDig","General","udig-inbox","RESOLVED","FIXED","Make DB2 Plugin working again","2017-03-18 07:55:11"
528536,"uDig","General","udig-inbox","RESOLVED","FIXED","Style Theme Page Null Pointer Exception","2017-03-18 07:56:26"
528539,"uDig","General","udig-inbox","RESOLVED","INVALID","cannot build uDig following getting started guide (initial checkout)","2017-03-21 16:17:42"
528542,"uDig","General","udig-inbox","RESOLVED","FIXED","Map project file not deleted from file system","2017-08-23 07:21:09"
528538,"uDig","General","udig-inbox","CLOSED","MOVED","Windows Installer for 64bit install to 32 PROGRAMFILES folder","2018-01-31 03:38:28"
528612,"uDig","General","webmaster","CLOSED","WONTFIX","Grand access in bugzilla to add version, component, target milestone by uDig project steering comittee (PST) members","2018-01-31 03:36:08"
