, qt, openstack, jdt, platform, gerrit, go
all, 0.607266, 0.677854, 0.664416, 0.696235, 0.658685, 0.642641, 
ns, 0.545116, 0.526174, 0.569354, 0.593257, 0.571463, 0.544517, 
nd, 0.59191, 0.675966, 0.660738, 0.677072, 0.615176, 0.599558, 
nf, 0.657488, 0.681853, 0.652736, 0.655095, 0.661727, 0.641953, 
entrophy, 0.637841, 0.66272, 0.665634, 0.687587, 0.651635, 0.625967, 
la, 0.743841, 0.749124, 0.675692, 0.746065, 0.749503, 0.683108, 
ld, 0.66682, 0.623459, 0.653587, 0.67502, 0.669891, 0.622169, 
lt, 0.645912, 0.660135, 0.560901, 0.647459, 0.605942, 0.600608, 
fix, 0.530152, 0.574123, 0.56118, 0.6377, 0.533808, 0.563674, 
ndev, 0.600758, 0.644108, 0.53921, 0.603324, 0.583235, 0.605382, 
age, 0.558442, 0.511631, 0.45892, 0.393716, 0.446324, 0.547572, 
nuc, 0.371108, 0.348796, 0.573362, 0.524453, 0.61203, 0.623335, 
exp, 0.477994, 0.498001, 0.529604, 0.430862, 0.405482, 0.505441, 
rexp, 0.45143, 0.446606, 0.4631, 0.390212, 0.476786, 0.464053, 
sexp, 0.560464, 0.589281, 0.582382, 0.596319, 0.455668, 0.536075, 
