, qt, openstack, jdt, platform, gerrit, go
all, 0.688317, 0.723841, 0.694969, 0.755565, 0.768683, 0.683458, 
ns, 0.567531, 0.512298, 0.623147, 0.562216, 0.481007, 0.530404, 
nd, 0.621555, 0.668278, 0.646841, 0.516256, 0.637089, 0.589194, 
nf, 0.675969, 0.680528, 0.673575, 0.608887, 0.721892, 0.651089, 
entrophy, 0.661386, 0.663751, 0.659154, 0.562437, 0.703593, 0.639902, 
la, 0.73383, 0.746729, 0.672032, 0.711521, 0.758783, 0.714822, 
ld, 0.672353, 0.47128, 0.613475, 0.62444, 0.669006, 0.640356, 
lt, 0.633252, 0.669034, 0.632141, 0.679355, 0.654935, 0.63784, 
fix, 0.537927, 0.56537, 0.601453, 0.661343, 0.537763, 0.565912, 
ndev, 0.626069, 0.601299, 0.608569, 0.520364, 0.538019, 0.633685, 
age, 0.516706, 0.530906, 0.511627, 0.599623, 0.524209, 0.532382, 
nuc, 0.650066, 0.611906, 0.64036, 0.547099, 0.624508, 0.655774, 
exp, 0.50122, 0.539308, 0.543382, 0.565022, 0.616629, 0.488839, 
rexp, 0.517254, 0.477634, 0.477116, 0.545276, 0.577229, 0.510944, 
sexp, 0.539812, 0.557068, 0.451204, 0.500908, 0.587711, 0.538225, 
